county_fips,county_name,year,heatwave_events_started,heatwave_days,first_event_start_date,last_event_end_date,longest_event_duration_days,event_durations,event_ids
48061,Cameron (Brownsville),2015,15,47,2015-04-23,2015-12-26,7,"2,2,2,2,2,2,2,2,3,3,3,4,5,6,7",CAMERON_2015_001;CAMERON_2015_002;CAMERON_2015_003;CAMERON_2015_004;CAMERON_2015_005;CAMERON_2015_006;CAMERON_2015_007;CAMERON_2015_008;CAMERON_2015_009;CAMERON_2015_010;CAMERON_2015_011;CAMERON_2015_012;CAMERON_2015_013;CAMERON_2015_014;CAMERON_2015_015
48061,Cameron (Brownsville),2016,25,117,2016-01-31,2016-12-29,11,"2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,6,6,6,7,7,7,8,8,10,11",CAMERON_2016_001;CAMERON_2016_002;CAMERON_2016_003;CAMERON_2016_004;CAMERON_2016_005;CAMERON_2016_006;CAMERON_2016_007;CAMERON_2016_008;CAMERON_2016_009;CAMERON_2016_010;CAMERON_2016_011;CAMERON_2016_012;CAMERON_2016_013;CAMERON_2016_014;CAMERON_2016_015;CAMERON_2016_016;CAMERON_2016_017;CAMERON_2016_018;CAMERON_2016_019;CAMERON_2016_020;CAMERON_2016_021;CAMERON_2016_022;CAMERON_2016_023;CAMERON_2016_024;CAMERON_2016_025
48061,Cameron (Brownsville),2017,30,108,2017-01-01,2017-12-22,7,"2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5,6,6,7,7,7,7",CAMERON_2017_001;CAMERON_2017_002;CAMERON_2017_003;CAMERON_2017_004;CAMERON_2017_005;CAMERON_2017_006;CAMERON_2017_007;CAMERON_2017_008;CAMERON_2017_009;CAMERON_2017_010;CAMERON_2017_011;CAMERON_2017_012;CAMERON_2017_013;CAMERON_2017_014;CAMERON_2017_015;CAMERON_2017_016;CAMERON_2017_017;CAMERON_2017_018;CAMERON_2017_019;CAMERON_2017_020;CAMERON_2017_021;CAMERON_2017_022;CAMERON_2017_023;CAMERON_2017_024;CAMERON_2017_025;CAMERON_2017_026;CAMERON_2017_027;CAMERON_2017_028;CAMERON_2017_029;CAMERON_2017_030
48061,Cameron (Brownsville),2018,24,98,2018-02-15,2018-11-08,10,"2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,5,5,5,5,6,7,8,9,10",CAMERON_2018_001;CAMERON_2018_002;CAMERON_2018_003;CAMERON_2018_004;CAMERON_2018_005;CAMERON_2018_006;CAMERON_2018_007;CAMERON_2018_008;CAMERON_2018_009;CAMERON_2018_010;CAMERON_2018_011;CAMERON_2018_012;CAMERON_2018_013;CAMERON_2018_014;CAMERON_2018_015;CAMERON_2018_016;CAMERON_2018_017;CAMERON_2018_018;CAMERON_2018_019;CAMERON_2018_020;CAMERON_2018_021;CAMERON_2018_022;CAMERON_2018_023;CAMERON_2018_024
48061,Cameron (Brownsville),2019,24,99,2019-01-07,2019-12-16,14,"2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,5,6,6,6,9,10,14",CAMERON_2019_001;CAMERON_2019_002;CAMERON_2019_003;CAMERON_2019_004;CAMERON_2019_005;CAMERON_2019_006;CAMERON_2019_007;CAMERON_2019_008;CAMERON_2019_009;CAMERON_2019_010;CAMERON_2019_011;CAMERON_2019_012;CAMERON_2019_013;CAMERON_2019_014;CAMERON_2019_015;CAMERON_2019_016;CAMERON_2019_017;CAMERON_2019_018;CAMERON_2019_019;CAMERON_2019_020;CAMERON_2019_021;CAMERON_2019_022;CAMERON_2019_023;CAMERON_2019_024
48061,Cameron (Brownsville),2020,21,79,2020-01-09,2020-12-30,9,"2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,6,7,8,9,9",CAMERON_2020_001;CAMERON_2020_002;CAMERON_2020_003;CAMERON_2020_004;CAMERON_2020_005;CAMERON_2020_006;CAMERON_2020_007;CAMERON_2020_008;CAMERON_2020_009;CAMERON_2020_010;CAMERON_2020_011;CAMERON_2020_012;CAMERON_2020_013;CAMERON_2020_014;CAMERON_2020_015;CAMERON_2020_016;CAMERON_2020_017;CAMERON_2020_018;CAMERON_2020_019;CAMERON_2020_020;CAMERON_2020_021
48061,Cameron (Brownsville),2021,19,67,2021-01-24,2022-01-01,9,"2,2,2,2,2,2,3,3,3,3,3,3,3,5,5,5,5,6,9",CAMERON_2021_001;CAMERON_2021_002;CAMERON_2021_003;CAMERON_2021_004;CAMERON_2021_005;CAMERON_2021_006;CAMERON_2021_007;CAMERON_2021_008;CAMERON_2021_009;CAMERON_2021_010;CAMERON_2021_011;CAMERON_2021_012;CAMERON_2021_013;CAMERON_2021_014;CAMERON_2021_015;CAMERON_2021_016;CAMERON_2021_017;CAMERON_2021_018;CAMERON_2021_019
48061,Cameron (Brownsville),2022,16,72,2022-03-29,2022-12-13,10,"2,2,2,3,3,3,3,4,4,4,5,5,6,7,8,10",CAMERON_2022_001;CAMERON_2022_002;CAMERON_2022_003;CAMERON_2022_004;CAMERON_2022_005;CAMERON_2022_006;CAMERON_2022_007;CAMERON_2022_008;CAMERON_2022_009;CAMERON_2022_010;CAMERON_2022_011;CAMERON_2022_012;CAMERON_2022_013;CAMERON_2022_014;CAMERON_2022_015;CAMERON_2022_016
48061,Cameron (Brownsville),2023,20,124,2023-01-01,2023-11-09,20,"2,2,2,2,2,3,3,3,3,4,4,5,5,5,5,9,12,14,19,20",CAMERON_2023_001;CAMERON_2023_002;CAMERON_2023_003;CAMERON_2023_004;CAMERON_2023_005;CAMERON_2023_006;CAMERON_2023_007;CAMERON_2023_008;CAMERON_2023_009;CAMERON_2023_010;CAMERON_2023_011;CAMERON_2023_012;CAMERON_2023_013;CAMERON_2023_014;CAMERON_2023_015;CAMERON_2023_016;CAMERON_2023_017;CAMERON_2023_018;CAMERON_2023_019;CAMERON_2023_020
48061,Cameron (Brownsville),2024,19,84,2024-02-26,2024-12-28,11,"2,2,2,2,2,3,3,3,3,4,4,5,5,5,6,6,7,9,11",CAMERON_2024_001;CAMERON_2024_002;CAMERON_2024_003;CAMERON_2024_004;CAMERON_2024_005;CAMERON_2024_006;CAMERON_2024_007;CAMERON_2024_008;CAMERON_2024_009;CAMERON_2024_010;CAMERON_2024_011;CAMERON_2024_012;CAMERON_2024_013;CAMERON_2024_014;CAMERON_2024_015;CAMERON_2024_016;CAMERON_2024_017;CAMERON_2024_018;CAMERON_2024_019
