county_fips,county_name,date,year,month,day,tmax_f,tmin_f,tmean_f,rmax_pct,rmin_pct,rh_mean_pct,hi_mean_f,threshold_value_f,exceedance_f,relative_exceedance,candidate_day_flag,run_length,heatwave_day_flag,event_id,event_duration_days,event_day_number,event_onset_flag,event_final_day_flag,qc_status,definition_id,window_method
48061,Cameron (Brownsville),2015-04-25,2015,4,25,90.86,73.67,82.265,87.87759,53.519543,70.6985665,87.10219668416354,85.36186876379428,1.7403279203692676,1,1,3,1,48_061_2015_001_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,3,1,1,0,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-04-26,2015,4,26,89.54,77.48,83.51,85.098854,55.47586,70.287357,89.51935380475473,85.52684230854148,3.992511496213254,1,1,3,1,48_061_2015_001_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,3,2,0,0,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-04-27,2015,4,27,88.67,74.99,81.83,99.051155,52.227013,75.639084,87.35265638445951,85.67742745487276,1.6752289295867513,1,1,3,1,48_061_2015_001_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,3,3,0,1,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-05-19,2015,5,19,89.83999999999999,77.828,83.834,85.36667,54.856323,70.1114965,90.15342133978362,89.62374207892852,0.5296792608551044,1,1,2,1,48_061_2015_002_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,2,1,1,0,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-05-20,2015,5,20,88.97000000000001,78.53,83.75,88.61322,53.11494,70.86408,90.20880104022402,89.7241769830845,0.48462405713951284,1,1,2,1,48_061_2015_002_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,2,2,0,1,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-07-18,2015,7,18,95.0,78.584,86.792,92.82414,50.33908,71.58161,97.81350234726688,96.31847888347056,1.495023463796315,1,1,2,1,48_061_2015_003_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,2,1,1,0,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-07-19,2015,7,19,93.2,79.412,86.30600000000001,99.401726,50.52184,74.961783,98.16555440389742,96.49097140345197,1.6745830004454518,1,1,2,1,48_061_2015_003_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,2,2,0,1,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-07-21,2015,7,21,93.83,78.5,86.16499999999999,94.675285,50.881035,72.77816,96.737853781407,96.66227968508448,0.07557409632251222,1,1,2,1,48_061_2015_004_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,2,1,1,0,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-07-22,2015,7,22,93.35,78.89,86.12,95.668396,51.254597,73.4614965,96.93850619234291,96.66227968508448,0.27622650725842846,1,1,2,1,48_061_2015_004_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,2,2,0,1,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-07-28,2015,7,28,96.188,78.476,87.332,89.97529,47.209198,68.592244,97.7210135712668,97.44038274566216,0.28063082560463215,1,1,2,1,48_061_2015_005_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,2,1,1,0,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-07-29,2015,7,29,94.31,79.22,86.765,99.381615,46.6046,72.9931075,98.44703717546524,97.48200653634314,0.9650306391221051,1,1,2,1,48_061_2015_005_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,2,2,0,1,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-08-05,2015,8,5,95.51,78.5,87.005,94.191956,49.337357,71.7646565,98.47244090096856,98.24091567760388,0.2315252233646845,1,1,2,1,48_061_2015_006_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,2,1,1,0,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-08-06,2015,8,6,95.54,79.88000000000001,87.71000000000001,93.18621,47.714943,70.4505765,99.6794939907768,98.39027970902377,1.2892142817530328,1,1,2,1,48_061_2015_006_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,2,2,0,1,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-08-23,2015,8,23,94.67,79.04,86.855,100.0,53.03793,76.51896500000001,100.5468847908579,98.00058091961152,2.54630387124638,1,1,2,1,48_061_2015_007_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,2,1,1,0,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-08-24,2015,8,24,95.18,77.51,86.345,99.37242,52.47816,75.92529,98.75461727043512,97.94267911020835,0.8119381602267737,1,1,2,1,48_061_2015_007_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,2,2,0,1,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-09-05,2015,9,5,93.86,77.66000000000001,85.76,95.789085,51.78276,73.7859225,96.13556952393182,95.45499294502363,0.6805765789081875,1,1,3,1,48_061_2015_008_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,3,1,1,0,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-09-06,2015,9,6,94.52,78.35000000000001,86.435,98.1977,51.71207,74.95488499999999,98.52217579251388,95.45190900874553,3.0702667837683464,1,1,3,1,48_061_2015_008_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,3,2,0,0,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-09-07,2015,9,7,94.46,77.045,85.7525,95.77012,51.2,73.48506,95.98119863521278,95.45499294502363,0.5262056901891441,1,1,3,1,48_061_2015_008_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,3,3,0,1,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-09-09,2015,9,9,94.82,77.0,85.91,93.03218,51.249428,72.140804,95.78741991935938,95.31493806719527,0.4724818521641083,1,1,3,1,48_061_2015_009_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,3,1,1,0,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-09-10,2015,9,10,94.388,78.188,86.28800000000001,90.139656,51.436783,70.7882195,96.1343666732114,95.2185966723817,0.9157700008297098,1,1,3,1,48_061_2015_009_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,3,2,0,0,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-09-11,2015,9,11,96.224,76.208,86.21600000000001,100.0,50.031036,75.015518,97.9419595840242,95.03100443271751,2.9109551513066947,1,1,3,1,48_061_2015_009_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,3,3,0,1,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-10-13,2015,10,13,93.32,75.29,84.305,99.05862,50.12126,74.58994,92.75933721072693,88.5248267422636,4.234510468463327,1,1,2,1,48_061_2015_010_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,2,1,1,0,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-10-14,2015,10,14,92.84,72.38,82.61,98.35747,52.08621,75.22184,88.96666799218019,88.18703694082727,0.7796310513529221,1,1,2,1,48_061_2015_010_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,2,2,0,1,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
48061,Cameron (Brownsville),2015-10-29,2015,10,29,87.98,72.212,80.096,92.17931,56.15345,74.16638,83.64320770122643,80.39901593665,3.2441917645764278,1,1,2,1,48_061_2015_011_relMeanHI_p85_2d_walkforward__w15__PRIMARY_nofloor_artifactmissing,2,1,1,0,valid,relMeanHI_p85_2d_walkforward,centered_15day_total_pm7
