event_label,county_fips,county_name,start_date,end_date,event_duration_days,peak_mean_hi_f,mean_mean_hi_f,peak_exceedance_f,cumulative_exceedance_f,onset_year
CAMERON_2015_001,48061,Cameron (Brownsville),2015-04-25,2015-04-27,3.0,89.5,88.0,3.64,6.23,2015
CAMERON_2015_002,48061,Cameron (Brownsville),2015-07-18,2015-07-19,2.0,98.2,98.0,1.51,2.75,2015
CAMERON_2015_003,48061,Cameron (Brownsville),2015-07-21,2015-07-22,2.0,96.9,96.8,0.14,0.15,2015
CAMERON_2015_004,48061,Cameron (Brownsville),2015-07-28,2015-07-29,2.0,98.4,98.1,0.87,1.11,2015
CAMERON_2015_005,48061,Cameron (Brownsville),2015-08-05,2015-08-06,2.0,99.7,99.1,1.55,1.89,2015
CAMERON_2015_006,48061,Cameron (Brownsville),2015-08-23,2015-08-24,2.0,100.5,99.7,2.57,3.42,2015
CAMERON_2015_007,48061,Cameron (Brownsville),2015-09-06,2015-09-07,2.0,98.5,97.3,2.45,2.68,2015
CAMERON_2015_008,48061,Cameron (Brownsville),2015-09-09,2015-09-11,3.0,97.9,96.6,2.74,3.98,2015
CAMERON_2015_009,48061,Cameron (Brownsville),2015-10-13,2015-10-14,2.0,92.8,90.9,4.41,5.3,2015
CAMERON_2015_010,48061,Cameron (Brownsville),2015-10-29,2015-10-30,2.0,83.6,82.2,2.81,2.91,2015
CAMERON_2015_011,48061,Cameron (Brownsville),2015-11-05,2015-11-06,2.0,84.8,84.7,5.38,10.66,2015
CAMERON_2015_012,48061,Cameron (Brownsville),2015-11-11,2015-11-12,2.0,84.6,82.1,5.95,7.19,2015
CAMERON_2015_013,48061,Cameron (Brownsville),2015-11-16,2015-11-17,2.0,79.9,79.4,2.68,4.19,2015
CAMERON_2015_014,48061,Cameron (Brownsville),2015-11-26,2015-11-27,2.0,79.0,77.6,3.07,3.15,2015
CAMERON_2015_015,48061,Cameron (Brownsville),2015-12-11,2015-12-12,2.0,76.9,76.1,3.97,5.76,2015
CAMERON_2015_016,48061,Cameron (Brownsville),2015-12-21,2015-12-27,7.0,81.9,76.5,11.33,39.67,2015
CAMERON_2016_001,48061,Cameron (Brownsville),2016-01-31,2016-02-01,2.0,73.9,72.3,3.63,4.31,2016
CAMERON_2016_002,48061,Cameron (Brownsville),2016-02-20,2016-02-23,4.0,74.7,74.3,1.83,4.76,2016
CAMERON_2016_003,48061,Cameron (Brownsville),2016-03-07,2016-03-08,2.0,79.2,77.8,4.27,5.77,2016
CAMERON_2016_004,48061,Cameron (Brownsville),2016-03-13,2016-03-18,6.0,79.9,78.0,3.8,11.84,2016
CAMERON_2016_005,48061,Cameron (Brownsville),2016-04-27,2016-05-01,5.0,89.4,87.9,2.58,6.77,2016
CAMERON_2016_006,48061,Cameron (Brownsville),2016-05-21,2016-05-22,2.0,92.5,92.1,0.76,1.06,2016
CAMERON_2016_007,48061,Cameron (Brownsville),2016-05-24,2016-05-28,5.0,96.8,95.2,4.52,13.13,2016
CAMERON_2016_008,48061,Cameron (Brownsville),2016-06-11,2016-06-18,8.0,99.3,97.7,3.45,15.44,2016
CAMERON_2016_009,48061,Cameron (Brownsville),2016-07-01,2016-07-15,15.0,101.1,98.7,5.08,35.97,2016
CAMERON_2016_010,48061,Cameron (Brownsville),2016-07-24,2016-07-29,6.0,101.7,99.8,4.32,14.66,2016
