event_label,county_fips,county_name,start_date,end_date,event_duration_days,peak_mean_hi_f,peak_day_date,peak_day_tmax_f,peak_day_tmin_f,peak_day_tmean_f,peak_day_rmax_pct,peak_day_rmin_pct,peak_day_threshold_f,tmax_max_f,tmean_mean_f,peak_exceedance_f,cumulative_exceedance_f,onset_year,definition_id,construct_label
CAMERON_2015_001,48061,Cameron (Brownsville),2015-04-23,2015-04-27,5,89.52,2015-04-26,89.5,77.5,83.5,85.1,55.5,81.2,90.86,81.98,8.31,27.8,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_002,48061,Cameron (Brownsville),2015-05-19,2015-05-20,2,90.21,2015-05-20,89.0,78.5,83.8,88.6,53.1,90.1,89.84,83.79,0.16,0.25,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_003,48061,Cameron (Brownsville),2015-05-26,2015-05-28,3,93.89,2015-05-28,90.0,78.5,84.2,96.2,59.8,90.1,89.99,83.61,3.83,6.11,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_004,48061,Cameron (Brownsville),2015-07-18,2015-07-19,2,98.17,2015-07-19,93.2,79.4,86.3,99.4,50.5,96.5,95.0,86.55,1.66,2.96,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_005,48061,Cameron (Brownsville),2015-07-21,2015-07-22,2,96.94,2015-07-22,93.4,78.9,86.1,95.7,51.3,96.5,93.83,86.14,0.43,0.66,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_006,48061,Cameron (Brownsville),2015-07-28,2015-07-29,2,98.45,2015-07-29,94.3,79.2,86.8,99.4,46.6,96.5,96.19,87.05,1.94,3.15,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_007,48061,Cameron (Brownsville),2015-08-05,2015-08-06,2,99.68,2015-08-06,95.5,79.9,87.7,93.2,47.7,98.2,95.54,87.36,1.44,1.67,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_008,48061,Cameron (Brownsville),2015-08-23,2015-08-24,2,100.55,2015-08-23,94.7,79.0,86.9,100.0,53.0,98.2,95.18,86.6,2.31,2.82,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_009,48061,Cameron (Brownsville),2015-09-05,2015-09-11,7,98.52,2015-09-06,94.5,78.4,86.4,98.2,51.7,94.6,96.22,86.02,3.93,13.25,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_010,48061,Cameron (Brownsville),2015-10-13,2015-10-14,2,92.76,2015-10-13,93.3,75.3,84.3,99.1,50.1,87.5,93.32,83.46,5.22,6.65,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
