event_label,county_fips,county_name,start_date,end_date,event_duration_days,peak_mean_hi_f,peak_day_date,peak_day_tmax_f,peak_day_tmin_f,peak_day_tmean_f,peak_day_rmax_pct,peak_day_rmin_pct,peak_day_threshold_f,tmax_max_f,tmean_mean_f,peak_exceedance_f,cumulative_exceedance_f,onset_year,definition_id,construct_label
CAMERON_2015_001,48061,Cameron (Brownsville),2015-04-25,2015-04-27,3,89.52,2015-04-26,89.5,77.5,83.5,85.1,55.5,85.5,90.86,82.54,3.99,7.41,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_002,48061,Cameron (Brownsville),2015-05-19,2015-05-20,2,90.21,2015-05-20,89.0,78.5,83.8,88.6,53.1,89.7,89.84,83.79,0.53,1.01,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_003,48061,Cameron (Brownsville),2015-07-18,2015-07-19,2,98.17,2015-07-19,93.2,79.4,86.3,99.4,50.5,96.5,95.0,86.55,1.67,3.17,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_004,48061,Cameron (Brownsville),2015-07-21,2015-07-22,2,96.94,2015-07-22,93.4,78.9,86.1,95.7,51.3,96.7,93.83,86.14,0.28,0.35,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_005,48061,Cameron (Brownsville),2015-07-28,2015-07-29,2,98.45,2015-07-29,94.3,79.2,86.8,99.4,46.6,97.5,96.19,87.05,0.97,1.25,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_006,48061,Cameron (Brownsville),2015-08-05,2015-08-06,2,99.68,2015-08-06,95.5,79.9,87.7,93.2,47.7,98.4,95.54,87.36,1.29,1.52,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_007,48061,Cameron (Brownsville),2015-08-23,2015-08-24,2,100.55,2015-08-23,94.7,79.0,86.9,100.0,53.0,98.0,95.18,86.6,2.55,3.36,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_008,48061,Cameron (Brownsville),2015-09-05,2015-09-07,3,98.52,2015-09-06,94.5,78.4,86.4,98.2,51.7,95.5,94.52,85.98,3.07,4.28,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_009,48061,Cameron (Brownsville),2015-09-09,2015-09-11,3,97.94,2015-09-11,96.2,76.2,86.2,100.0,50.0,95.0,96.22,86.14,2.91,4.3,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_010,48061,Cameron (Brownsville),2015-10-13,2015-10-14,2,92.76,2015-10-13,93.3,75.3,84.3,99.1,50.1,88.5,93.32,83.46,4.23,5.01,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_011,48061,Cameron (Brownsville),2015-10-29,2015-10-30,2,83.64,2015-10-29,88.0,72.2,80.1,92.2,56.2,80.4,87.98,79.71,3.24,3.78,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_012,48061,Cameron (Brownsville),2015-11-05,2015-11-06,2,84.84,2015-11-05,88.0,74.5,81.2,85.9,51.6,79.3,88.02,81.27,5.51,10.99,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_013,48061,Cameron (Brownsville),2015-11-11,2015-11-12,2,84.6,2015-11-11,88.0,74.2,81.1,87.5,50.2,77.9,88.01,79.62,6.66,8.49,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
CAMERON_2015_014,48061,Cameron (Brownsville),2015-11-16,2015-11-17,2,79.89,2015-11-17,87.7,69.9,78.8,100.0,50.7,77.5,87.68,78.64,2.37,3.67,2015,relMeanHI_p85_2d_walkforward,persistent_apparent_heat_anomaly
