county_fips,county_name,analysis_days,temp_imputed_days,pct_analysis_days_imputed,native_analysis_days,fully_imputed_county
48011,Armstrong,4018,4018,100.0,0,True
48077,Clay,4018,4018,100.0,0,True
48119,Delta,4018,4018,100.0,0,True
48173,Glasscock,4018,4018,100.0,0,True
48155,Foard,4018,4018,100.0,0,True
48247,Jim Hogg,4018,4018,100.0,0,True
48197,Hardeman,4018,4018,100.0,0,True
48211,Hemphill,4018,4018,100.0,0,True
48239,Jackson,4018,4018,100.0,0,True
48185,Grimes,4018,4018,100.0,0,True
48161,Freestone,4018,4018,100.0,0,True
48133,Eastland,4018,4018,100.0,0,True
48301,Loving,4018,4018,100.0,0,True
48255,Karnes,4018,4018,100.0,0,True
48393,Roberts,4018,4018,100.0,0,True
48407,San Jacinto,4018,4018,100.0,0,True
48473,Waller,4018,4018,100.0,0,True
48455,Trinity,4018,4018,100.0,0,True
48317,Martin,4018,4018,100.0,0,True
48335,Mitchell,4018,4018,100.0,0,True
48487,Wilbarger,4018,4018,100.0,0,True
48507,Zavala,4018,4018,100.0,0,True
48009,Archer,4018,3592,89.4,426,False
48145,Falls,4018,3565,88.7,453,False
48373,Polk,4018,3454,86.0,564,False
48063,Camp,4018,3314,82.5,704,False
48281,Lampasas,4018,3228,80.3,790,False
48505,Zapata,4018,3133,78.0,885,False
48065,Carson,4018,3107,77.3,911,False
48129,Donley,4018,3086,76.8,932,False
48431,Sterling,4018,2910,72.4,1108,False
48323,Maverick,4018,2910,72.4,1108,False
48087,Collingsworth,4018,2839,70.7,1179,False
48047,Brooks,4018,2819,70.2,1199,False
48293,Limestone,4018,2783,69.3,1235,False
48435,Sutton,4018,2719,67.7,1299,False
48483,Wheeler,4018,2707,67.4,1311,False
48115,Dawson,4018,2618,65.2,1400,False
48111,Dallam,4018,2506,62.4,1512,False
48493,Wilson,4018,2481,61.7,1537,False
48193,Hamilton,4018,2449,61.0,1569,False
48035,Bosque,4018,2436,60.6,1582,False
48421,Sherman,4018,2368,58.9,1650,False
48151,Fisher,4018,2353,58.6,1665,False
48419,Shelby,4018,2200,54.8,1818,False
48163,Frio,4018,1962,48.8,2056,False
48271,Kinney,4018,1747,43.5,2271,False
48447,Throckmorton,4018,1648,41.0,2370,False
48341,Moore,4018,1569,39.0,2449,False
48357,Ochiltree,4018,1440,35.8,2578,False
48261,Kenedy,4018,1325,33.0,2693,False
48489,Willacy,4018,1206,30.0,2812,False
48331,Milam,4018,1071,26.7,2947,False
48397,Rockwall,4018,1006,25.0,3012,False
48015,Austin,4018,960,23.9,3058,False
48033,Borden,4018,934,23.2,3084,False
48235,Irion,4018,914,22.7,3104,False
48031,Blanco,4018,773,19.2,3245,False
48051,Burleson,4018,760,18.9,3258,False
48425,Somervell,4018,734,18.3,3284,False
48019,Bandera,4018,660,16.4,3358,False
48461,Upton,4018,560,13.9,3458,False
48137,Edwards,4018,555,13.8,3463,False
48207,Haskell,4018,475,11.8,3543,False
48275,Knox,4018,452,11.2,3566,False
48117,Deaf Smith,4018,441,11.0,3577,False
48049,Brown,4018,389,9.7,3629,False
48405,San Augustine,4018,371,9.2,3647,False
48381,Randall,4018,325,8.1,3693,False
48091,Comal,4018,313,7.8,3705,False
48503,Young,4018,294,7.3,3724,False
48315,Marion,4018,294,7.3,3724,False
48313,Madison,4018,286,7.1,3732,False
48495,Winkler,4018,268,6.7,3750,False
48409,San Patricio,4018,257,6.4,3761,False
48237,Jack,4018,255,6.3,3763,False
48241,Jasper,4018,228,5.7,3790,False
48395,Robertson,4018,212,5.3,3806,False
