county_fips,county_name,year,heatwave_events_started,heatwave_days,first_event_start_date,last_event_end_date,longest_event_duration_days,heatwave_days_imputed
48001,Anderson,2015,2,5,2015-09-06,2015-12-12,3,0
48001,Anderson,2016,9,27,2016-07-06,2016-12-26,5,0
48001,Anderson,2017,5,14,2017-01-11,2017-11-06,5,0
48001,Anderson,2018,4,12,2018-02-19,2018-10-08,5,0
48001,Anderson,2019,2,9,2019-02-04,2019-10-06,6,0
48001,Anderson,2020,4,9,2020-03-12,2020-04-08,3,0
48001,Anderson,2021,4,13,2021-04-28,2021-12-29,6,0
48001,Anderson,2022,3,10,2022-07-11,2022-12-10,5,0
48001,Anderson,2023,9,22,2023-01-01,2023-11-08,5,0
48001,Anderson,2024,7,26,2024-02-26,2024-12-17,9,0
48001,Anderson,2025,6,24,2025-02-03,2025-12-27,6,0
48003,Andrews,2015,6,12,2015-01-28,2015-12-12,2,0
48003,Andrews,2016,3,9,2016-02-19,2016-11-03,3,0
48003,Andrews,2017,6,16,2017-01-10,2017-11-07,4,0
48003,Andrews,2018,3,9,2018-03-23,2018-10-05,4,0
48003,Andrews,2019,6,12,2019-02-14,2019-10-02,2,0
48003,Andrews,2020,6,14,2020-03-25,2020-11-09,3,0
48003,Andrews,2021,8,19,2021-04-26,2021-12-27,4,0
48003,Andrews,2022,6,17,2022-03-27,2022-12-09,5,5
48003,Andrews,2023,10,31,2023-01-01,2023-12-08,5,0
48003,Andrews,2024,8,19,2024-02-25,2024-12-30,3,3
48003,Andrews,2025,5,15,2025-04-12,2025-12-27,5,0
48005,Angelina,2015,2,4,2015-08-11,2015-12-26,2,0
48005,Angelina,2016,10,29,2016-01-31,2016-12-26,4,0
48005,Angelina,2017,5,16,2017-01-10,2017-11-06,5,0
48005,Angelina,2018,7,21,2018-02-19,2018-10-07,6,0
48005,Angelina,2019,6,18,2019-02-04,2019-10-06,6,0
48005,Angelina,2020,8,20,2020-03-12,2020-11-10,5,0
48005,Angelina,2021,13,37,2021-02-27,2022-01-01,7,0
48005,Angelina,2022,3,15,2022-07-09,2022-12-10,6,0
48005,Angelina,2023,13,52,2023-01-16,2023-11-09,11,0
48005,Angelina,2024,11,34,2024-02-26,2024-12-17,8,0
48005,Angelina,2025,10,32,2025-02-03,2025-12-27,6,0
48007,Aransas,2015,5,12,2015-05-27,2015-12-26,4,0
48007,Aransas,2016,12,31,2016-02-20,2016-12-28,4,0
48007,Aransas,2017,17,46,2017-01-13,2017-12-04,6,0
48007,Aransas,2018,5,13,2018-02-17,2018-10-14,4,1
48007,Aransas,2019,7,21,2019-05-29,2019-10-03,5,0
48007,Aransas,2020,11,39,2020-01-14,2020-09-04,8,0
48007,Aransas,2021,9,23,2021-01-24,2022-01-01,4,0
48007,Aransas,2022,9,22,2022-03-29,2022-12-13,3,0
48007,Aransas,2023,11,61,2023-02-21,2023-09-24,14,0
48007,Aransas,2024,18,67,2024-02-26,2024-12-17,13,0
48007,Aransas,2025,12,49,2025-02-05,2025-12-28,11,0
48009,Archer,2016,5,12,2016-02-19,2016-11-03,3,3
48009,Archer,2017,2,7,2017-03-18,2017-12-04,5,2
48009,Archer,2018,1,3,2018-10-03,2018-10-05,3,3
48009,Archer,2019,2,6,2019-02-04,2019-10-03,3,6
48009,Archer,2020,1,2,2020-03-26,2020-03-27,2,2
48009,Archer,2021,3,11,2021-12-03,2021-12-29,6,11
48009,Archer,2022,5,12,2022-04-21,2022-12-09,3,12
48009,Archer,2023,9,20,2023-01-01,2023-11-08,3,20
48009,Archer,2024,4,12,2024-02-21,2024-11-04,5,12
48009,Archer,2025,4,13,2025-05-24,2025-12-28,6,13
48011,Armstrong,2015,8,28,2015-01-27,2015-12-12,5,28
48011,Armstrong,2016,7,19,2016-01-30,2016-11-17,4,19
48011,Armstrong,2017,6,18,2017-01-10,2017-12-04,5,18
48011,Armstrong,2018,7,24,2018-03-23,2018-10-04,6,24
48011,Armstrong,2019,7,25,2019-02-04,2019-10-03,7,25
48011,Armstrong,2020,4,13,2020-03-26,2020-11-09,6,13
48011,Armstrong,2021,9,29,2021-04-26,2021-12-27,4,29
48011,Armstrong,2022,10,32,2022-04-21,2022-12-07,5,32
48011,Armstrong,2023,14,43,2023-01-01,2023-11-08,6,43
48011,Armstrong,2024,11,33,2024-02-21,2024-10-13,5,33
48011,Armstrong,2025,10,30,2025-02-03,2025-12-28,6,30
48013,Atascosa,2015,1,3,2015-09-05,2015-09-07,3,0
48013,Atascosa,2016,4,12,2016-02-19,2016-12-28,4,0
48013,Atascosa,2017,9,26,2017-01-11,2017-12-04,6,0
48013,Atascosa,2018,5,12,2018-02-19,2018-10-06,4,0
48013,Atascosa,2019,8,23,2019-06-20,2019-10-03,5,0
48013,Atascosa,2020,6,21,2020-01-15,2020-09-04,8,0
48013,Atascosa,2021,12,37,2021-03-11,2022-01-01,7,0
48013,Atascosa,2022,8,22,2022-04-23,2022-12-11,5,0
48013,Atascosa,2023,8,27,2023-01-02,2023-09-25,6,0
48013,Atascosa,2024,4,13,2024-05-22,2024-12-17,4,0
48013,Atascosa,2025,7,22,2025-02-06,2025-12-28,5,0
48015,Austin,2015,3,8,2015-08-12,2015-12-27,3,0
48015,Austin,2016,6,15,2016-02-20,2016-12-28,4,4
48015,Austin,2017,7,23,2017-01-11,2017-11-06,6,0
48015,Austin,2018,4,13,2018-03-17,2018-11-08,5,0
48015,Austin,2019,6,17,2019-02-06,2019-10-07,7,0
48015,Austin,2020,6,17,2020-01-15,2020-09-02,5,2
48015,Austin,2021,4,16,2021-09-01,2022-01-01,7,3
48015,Austin,2022,4,13,2022-05-21,2022-12-11,6,0
48015,Austin,2023,13,44,2023-02-21,2023-11-09,8,6
