county_fips,county_name,year,heatwave_events_started,heatwave_days,first_event_start_date,last_event_end_date,longest_event_duration_days,heatwave_days_imputed
48001,Anderson,2015,3,7,2015-04-07,2015-12-26,3,0
48001,Anderson,2016,7,22,2016-07-06,2016-12-26,5,0
48001,Anderson,2017,5,13,2017-01-11,2017-11-06,4,0
48001,Anderson,2018,3,9,2018-02-19,2018-10-07,4,0
48001,Anderson,2019,3,9,2019-02-04,2019-10-01,4,0
48001,Anderson,2020,6,14,2020-03-12,2020-10-19,3,0
48001,Anderson,2021,2,9,2021-12-15,2021-12-29,6,0
48001,Anderson,2022,4,12,2022-05-08,2022-12-10,5,0
48001,Anderson,2023,9,21,2023-02-21,2023-10-28,4,0
48001,Anderson,2024,9,25,2024-02-26,2024-12-17,5,0
48001,Anderson,2025,9,30,2025-02-03,2025-12-27,6,0
48003,Andrews,2015,4,8,2015-07-19,2015-12-12,2,0
48003,Andrews,2016,4,14,2016-02-19,2016-11-02,4,0
48003,Andrews,2017,7,17,2017-01-10,2017-11-06,4,0
48003,Andrews,2018,2,5,2018-03-25,2018-10-05,3,0
48003,Andrews,2019,6,15,2019-02-02,2019-08-26,5,0
48003,Andrews,2020,7,18,2020-04-27,2020-11-09,4,0
48003,Andrews,2021,5,16,2021-10-08,2021-12-28,7,0
48003,Andrews,2022,5,12,2022-03-27,2022-12-08,3,3
48003,Andrews,2023,10,26,2023-01-01,2023-11-08,4,0
48003,Andrews,2024,7,17,2024-02-26,2024-12-30,3,3
48003,Andrews,2025,5,15,2025-04-12,2025-12-27,5,0
48005,Angelina,2015,4,9,2015-04-02,2015-12-26,3,0
48005,Angelina,2016,8,23,2016-01-31,2016-12-26,4,0
48005,Angelina,2017,4,14,2017-01-10,2017-11-06,5,0
48005,Angelina,2018,7,17,2018-02-19,2018-10-07,4,0
48005,Angelina,2019,4,10,2019-02-04,2019-09-30,3,0
48005,Angelina,2020,7,19,2020-03-18,2020-11-10,5,0
48005,Angelina,2021,11,30,2021-02-27,2021-12-31,8,0
48005,Angelina,2022,5,18,2022-03-05,2022-12-10,6,0
48005,Angelina,2023,15,53,2023-01-16,2023-10-28,7,0
48005,Angelina,2024,9,29,2024-02-26,2024-12-17,8,0
48005,Angelina,2025,9,32,2025-02-03,2025-12-27,6,0
48007,Aransas,2015,4,10,2015-04-08,2015-12-26,4,0
48007,Aransas,2016,10,29,2016-01-31,2016-12-28,5,0
48007,Aransas,2017,15,42,2017-01-12,2017-12-04,6,0
48007,Aransas,2018,4,10,2018-02-17,2018-10-14,4,1
48007,Aransas,2019,6,19,2019-06-21,2019-10-01,5,0
48007,Aransas,2020,9,32,2020-01-14,2020-09-04,8,0
48007,Aransas,2021,9,28,2021-01-24,2022-01-01,9,0
48007,Aransas,2022,8,25,2022-04-11,2022-12-13,9,0
48007,Aransas,2023,18,73,2023-02-21,2023-10-28,10,0
48007,Aransas,2024,18,62,2024-02-09,2024-12-17,12,0
48007,Aransas,2025,14,57,2025-02-04,2025-12-28,8,0
48009,Archer,2016,6,15,2016-02-19,2016-11-03,3,3
48009,Archer,2017,3,8,2017-02-07,2017-03-21,4,0
48009,Archer,2019,3,11,2019-02-03,2019-10-02,5,11
48009,Archer,2020,2,4,2020-03-26,2020-05-04,2,4
48009,Archer,2021,2,10,2021-12-14,2021-12-29,6,10
48009,Archer,2022,3,7,2022-04-21,2022-11-10,3,7
48009,Archer,2023,7,15,2023-01-01,2023-11-08,3,15
48009,Archer,2024,6,13,2024-02-21,2024-10-30,3,13
48009,Archer,2025,2,13,2025-11-14,2025-12-28,7,13
48011,Armstrong,2015,9,25,2015-01-27,2015-12-12,5,25
48011,Armstrong,2016,9,22,2016-01-30,2016-11-17,4,22
48011,Armstrong,2017,6,16,2017-01-10,2017-12-04,5,16
48011,Armstrong,2018,8,23,2018-04-12,2018-10-04,7,23
48011,Armstrong,2019,8,30,2019-01-06,2019-12-27,7,30
48011,Armstrong,2020,4,14,2020-05-02,2020-11-20,6,14
48011,Armstrong,2021,9,24,2021-06-10,2021-12-27,4,24
48011,Armstrong,2022,11,34,2022-03-04,2022-12-07,5,34
48011,Armstrong,2023,15,42,2023-01-01,2023-11-08,5,42
48011,Armstrong,2024,17,48,2024-02-01,2024-10-30,6,48
48011,Armstrong,2025,9,26,2025-02-03,2025-12-28,6,26
48013,Atascosa,2016,4,11,2016-02-19,2016-12-28,5,0
48013,Atascosa,2017,8,25,2017-01-11,2017-11-17,6,0
48013,Atascosa,2018,4,8,2018-02-19,2018-10-04,2,0
48013,Atascosa,2019,8,22,2019-02-04,2019-10-01,4,0
48013,Atascosa,2020,7,23,2020-01-15,2020-12-30,8,0
48013,Atascosa,2021,11,33,2021-03-11,2022-01-01,7,0
48013,Atascosa,2022,7,21,2022-04-12,2022-12-11,5,0
48013,Atascosa,2023,10,33,2023-01-11,2023-10-28,6,0
48013,Atascosa,2024,6,14,2024-05-22,2024-12-17,3,0
48013,Atascosa,2025,5,25,2025-02-04,2025-12-28,6,0
48015,Austin,2015,3,8,2015-08-12,2015-12-27,3,0
48015,Austin,2016,5,16,2016-03-15,2016-12-28,5,4
48015,Austin,2017,6,20,2017-01-11,2017-11-06,6,0
48015,Austin,2018,6,13,2018-02-19,2018-11-07,3,0
48015,Austin,2019,5,12,2019-02-05,2019-10-01,3,1
48015,Austin,2020,5,15,2020-01-15,2020-04-10,4,2
48015,Austin,2021,3,12,2021-12-05,2022-01-01,7,3
48015,Austin,2022,3,12,2022-05-08,2022-12-10,5,0
48015,Austin,2023,10,39,2023-02-21,2023-10-29,7,8
48015,Austin,2024,10,25,2024-03-14,2024-12-17,5,12
48015,Austin,2025,6,27,2025-02-04,2025-12-28,6,8
48017,Bailey,2015,3,6,2015-02-07,2015-12-11,2,0
48017,Bailey,2016,2,5,2016-02-18,2016-11-02,3,0
48017,Bailey,2017,8,19,2017-01-10,2017-12-04,3,0
48017,Bailey,2018,3,7,2018-03-23,2018-08-28,3,0
48017,Bailey,2019,4,8,2019-02-05,2019-08-09,2,0
48017,Bailey,2020,5,14,2020-03-26,2020-11-20,6,0
48017,Bailey,2021,4,9,2021-02-03,2021-12-26,3,0
48017,Bailey,2022,4,12,2022-05-11,2022-12-06,5,0
48017,Bailey,2023,7,19,2023-01-01,2023-11-08,4,0
48017,Bailey,2024,3,8,2024-02-26,2024-10-30,3,0
48017,Bailey,2025,7,20,2025-02-02,2025-12-28,6,0
48019,Bandera,2015,3,7,2015-07-22,2015-11-27,3,0
48019,Bandera,2016,5,21,2016-02-19,2016-12-29,5,0
48019,Bandera,2017,10,26,2017-01-12,2017-12-05,5,0
48019,Bandera,2018,5,12,2018-06-03,2018-08-30,3,0
48019,Bandera,2019,5,16,2019-02-04,2019-10-01,4,0
48019,Bandera,2020,10,22,2020-01-15,2020-12-30,4,0
48019,Bandera,2021,3,8,2021-12-04,2022-01-01,4,0
48019,Bandera,2022,8,24,2022-04-12,2022-12-12,6,0
48019,Bandera,2023,7,25,2023-03-08,2023-10-29,8,0
48019,Bandera,2024,12,30,2024-03-14,2024-12-17,4,28
48019,Bandera,2025,6,24,2025-02-03,2025-12-28,6,24
48021,Bastrop,2016,7,24,2016-02-20,2016-12-28,6,0
48021,Bastrop,2017,10,26,2017-01-11,2017-11-18,4,0
48021,Bastrop,2018,1,2,2018-03-17,2018-03-18,2,0
48021,Bastrop,2019,4,10,2019-02-04,2019-10-01,3,0
48021,Bastrop,2020,8,18,2020-01-15,2020-11-14,4,0
48021,Bastrop,2021,6,16,2021-06-07,2021-12-31,4,0
48021,Bastrop,2022,4,11,2022-05-08,2022-12-10,5,0
48021,Bastrop,2023,12,34,2023-01-10,2023-10-28,6,0
48021,Bastrop,2024,16,46,2024-02-21,2024-12-17,7,0
48021,Bastrop,2025,9,33,2025-02-03,2025-12-27,6,0
48023,Baylor,2015,7,17,2015-02-08,2015-12-21,3,0
48023,Baylor,2016,14,33,2016-01-30,2016-12-26,4,0
48023,Baylor,2017,7,18,2017-01-10,2017-09-22,5,0
48023,Baylor,2018,1,2,2018-03-25,2018-03-26,2,0
48023,Baylor,2019,4,15,2019-02-03,2019-10-02,7,0
48023,Baylor,2020,3,7,2020-01-14,2020-05-04,3,0
48023,Baylor,2021,6,18,2021-03-10,2021-12-29,6,0
48023,Baylor,2022,7,18,2022-04-21,2022-11-10,4,0
48023,Baylor,2023,11,25,2023-01-01,2023-12-22,3,0
48023,Baylor,2024,11,33,2024-02-26,2024-12-24,5,0
48023,Baylor,2025,3,15,2025-10-12,2025-12-28,7,0
48025,Bee,2015,1,2,2015-12-25,2015-12-26,2,1
48025,Bee,2016,2,6,2016-11-02,2016-12-28,4,0
48025,Bee,2017,5,15,2017-01-11,2017-12-05,7,0
48025,Bee,2018,2,5,2018-03-26,2018-11-08,3,0
48025,Bee,2019,4,8,2019-02-06,2019-10-16,2,0
48025,Bee,2020,8,25,2020-01-15,2020-09-05,5,0
48025,Bee,2021,6,16,2021-03-13,2021-12-29,4,0
48025,Bee,2022,4,13,2022-04-05,2022-12-11,6,0
48025,Bee,2023,11,35,2023-02-22,2023-10-29,5,0
48025,Bee,2024,10,22,2024-03-14,2024-12-18,4,4
48025,Bee,2025,8,33,2025-02-04,2025-12-28,7,0
48027,Bell,2015,1,2,2015-12-23,2015-12-24,2,0
48027,Bell,2016,7,29,2016-02-19,2016-12-28,6,0
48027,Bell,2017,5,13,2017-01-11,2017-11-06,4,0
48027,Bell,2018,1,3,2018-03-24,2018-03-26,3,0
48027,Bell,2019,3,14,2019-02-03,2019-10-02,5,0
48027,Bell,2020,7,19,2020-01-09,2020-10-22,4,0
48027,Bell,2021,5,16,2021-03-11,2021-12-29,6,0
48027,Bell,2022,5,16,2022-05-07,2022-12-10,5,0
48027,Bell,2023,13,42,2023-01-01,2023-10-28,7,0
48027,Bell,2024,14,40,2024-02-25,2024-12-24,5,0
48027,Bell,2025,9,28,2025-02-03,2025-12-27,7,0
48029,Bexar,2015,1,2,2015-09-05,2015-09-06,2,0
48029,Bexar,2016,8,26,2016-02-19,2016-12-28,7,0
48029,Bexar,2017,10,29,2017-01-10,2017-12-04,7,0
48029,Bexar,2018,2,4,2018-02-19,2018-03-18,2,0
48029,Bexar,2019,2,5,2019-02-05,2019-10-01,3,0
48029,Bexar,2020,8,18,2020-01-09,2020-09-01,4,0
48029,Bexar,2021,2,6,2021-12-15,2021-12-31,3,0
48029,Bexar,2022,3,10,2022-04-12,2022-12-10,4,0
48029,Bexar,2023,5,11,2023-03-08,2023-10-28,3,0
48029,Bexar,2024,7,20,2024-05-21,2024-12-17,5,0
48029,Bexar,2025,6,26,2025-02-03,2025-12-28,7,0
48031,Blanco,2016,6,17,2016-02-19,2016-12-28,4,4
48031,Blanco,2017,3,8,2017-01-11,2017-07-01,4,0
48031,Blanco,2019,3,9,2019-02-04,2019-10-02,4,0
48031,Blanco,2020,5,13,2020-01-15,2020-09-02,4,3
48031,Blanco,2021,4,12,2021-06-24,2022-01-01,5,3
48031,Blanco,2022,13,48,2022-04-12,2022-12-10,13,0
48031,Blanco,2023,14,61,2023-01-10,2023-11-08,12,0
48031,Blanco,2024,15,45,2024-02-26,2024-12-24,8,6
48031,Blanco,2025,8,29,2025-02-03,2025-12-28,7,22
48033,Borden,2015,2,4,2015-01-27,2015-09-18,2,0
48033,Borden,2016,5,14,2016-02-18,2016-11-02,4,4
48033,Borden,2017,5,12,2017-02-07,2017-11-05,3,0
48033,Borden,2018,2,4,2018-05-31,2018-06-24,2,0
48033,Borden,2019,4,9,2019-08-07,2019-10-02,3,0
48033,Borden,2020,5,13,2020-05-01,2020-11-20,3,0
48033,Borden,2021,6,13,2021-10-08,2021-12-28,3,1
48033,Borden,2022,7,18,2022-03-27,2022-12-08,4,0
48033,Borden,2023,10,25,2023-01-01,2023-11-08,4,6
48033,Borden,2024,6,19,2024-02-26,2024-10-30,6,2
48033,Borden,2025,4,14,2025-02-02,2025-12-27,6,4
48035,Bosque,2016,4,13,2016-02-19,2016-12-26,5,9
48035,Bosque,2017,3,6,2017-01-11,2017-02-12,2,2
48035,Bosque,2018,1,2,2018-03-26,2018-03-27,2,0
48035,Bosque,2019,1,2,2019-02-05,2019-02-06,2,0
48035,Bosque,2020,2,4,2020-01-15,2020-04-09,2,0
48035,Bosque,2021,2,10,2021-12-14,2021-12-29,6,8
48035,Bosque,2022,2,6,2022-05-09,2022-12-09,4,2
48035,Bosque,2023,10,26,2023-01-17,2023-09-26,4,4
48035,Bosque,2024,4,12,2024-02-26,2024-12-17,5,12
48035,Bosque,2025,4,17,2025-02-03,2025-12-28,6,17
48037,Bowie,2015,4,11,2015-04-08,2015-12-27,5,0
48037,Bowie,2016,6,16,2016-02-19,2016-12-27,4,0
48037,Bowie,2017,4,11,2017-01-11,2017-11-06,4,0
48037,Bowie,2018,4,17,2018-02-20,2018-10-09,7,0
48037,Bowie,2019,3,13,2019-02-04,2019-10-04,7,0
48037,Bowie,2020,4,10,2020-01-15,2020-10-22,4,0
48037,Bowie,2021,6,21,2021-03-11,2022-01-01,9,0
48037,Bowie,2022,4,14,2022-05-09,2022-12-10,4,0
48037,Bowie,2023,8,18,2023-01-02,2023-09-08,3,0
48037,Bowie,2024,8,23,2024-02-09,2024-12-17,6,0
48037,Bowie,2025,7,26,2025-02-03,2025-12-28,6,0
48039,Brazoria,2015,11,30,2015-04-07,2015-12-26,4,0
48039,Brazoria,2016,17,80,2016-03-15,2016-12-28,16,0
48039,Brazoria,2017,15,53,2017-01-10,2017-11-07,9,0
48039,Brazoria,2018,7,20,2018-02-15,2018-11-07,6,0
48039,Brazoria,2019,12,31,2019-02-04,2019-11-30,4,0
48039,Brazoria,2020,10,35,2020-01-09,2020-09-04,8,0
48039,Brazoria,2021,9,28,2021-01-24,2022-01-01,9,0
48039,Brazoria,2022,5,16,2022-05-08,2022-12-09,4,0
