event_label,county_fips,county_name,start_date,end_date,event_duration_days,peak_mean_hi_f,peak_day_date,peak_day_tmax_f,peak_day_tmean_f,peak_day_rmin_pct,peak_day_threshold_f,tmax_max_f,tmean_mean_f,peak_exceedance_f,cumulative_exceedance_f,n_imputed_days,event_contains_imputed_day,onset_year
48001_2015_001,48001,Anderson,2015-04-07,2015-04-09,3.0,75.6,2015-04-07,83.7,75.4,48.4,74.5,83.7,74.86,1.1,1.87,0,False,2015
48001_2015_002,48001,Anderson,2015-12-11,2015-12-12,2.0,72.74,2015-12-12,76.0,72.2,60.6,67.2,78.8,71.57,5.58,8.88,0,False,2015
48001_2015_003,48001,Anderson,2015-12-25,2015-12-26,2.0,73.94,2015-12-26,78.2,73.6,57.9,64.3,78.17,69.32,9.68,10.47,0,False,2015
48001_2016_001,48001,Anderson,2016-07-06,2016-07-08,3.0,97.97,2016-07-06,94.1,86.4,49.0,95.5,95.36,86.4,2.51,5.89,0,False,2016
48001_2016_002,48001,Anderson,2016-07-13,2016-07-14,2.0,97.36,2016-07-13,96.1,86.6,43.5,96.2,97.02,86.61,1.18,1.88,0,False,2016
48001_2016_003,48001,Anderson,2016-07-23,2016-07-24,2.0,99.3,2016-07-24,98.0,87.7,39.6,96.5,98.87,87.76,2.77,3.83,0,False,2016
48001_2016_004,48001,Anderson,2016-08-08,2016-08-12,5.0,101.13,2016-08-12,102.5,90.5,30.5,97.0,102.47,89.3,4.17,10.0,0,False,2016
48001_2016_005,48001,Anderson,2016-09-18,2016-09-20,3.0,92.07,2016-09-19,96.2,85.2,40.2,89.8,96.17,84.34,2.28,5.27,0,False,2016
48001_2016_006,48001,Anderson,2016-10-16,2016-10-19,4.0,85.0,2016-10-18,89.4,81.3,48.7,78.6,89.42,80.69,6.38,19.43,0,False,2016
48001_2016_007,48001,Anderson,2016-12-24,2016-12-26,3.0,73.35,2016-12-26,77.6,72.8,52.4,64.3,78.17,71.51,9.03,21.64,0,False,2016
48001_2017_001,48001,Anderson,2017-01-11,2017-01-13,3.0,72.48,2017-01-12,78.6,72.6,46.3,63.5,78.98,71.1,8.98,22.07,0,False,2017
48001_2017_002,48001,Anderson,2017-02-06,2017-02-07,2.0,67.7,2017-02-07,80.2,68.4,29.3,65.9,80.19,67.73,1.84,2.79,0,False,2017
48001_2017_003,48001,Anderson,2017-02-11,2017-02-12,2.0,71.7,2017-02-12,77.7,71.9,46.5,66.8,82.44,72.0,5.49,10.37,0,False,2017
48001_2017_004,48001,Anderson,2017-08-15,2017-08-16,2.0,99.14,2017-08-16,97.8,87.6,43.1,97.0,97.79,87.62,2.12,2.34,0,False,2017
