county_fips,year,county_name,heatwave_events_started,first_event_start_date,last_event_end_date,longest_event_duration_days,heatwave_days,heatwave_days_imputed
48001,2015,Anderson,13,2015-01-28,2015-12-27,7,43,0
48001,2016,Anderson,20,2016-01-30,2016-12-28,15,78,0
48001,2017,Anderson,25,2017-01-01,2017-12-20,8,77,0
48001,2018,Anderson,15,2018-02-15,2018-10-08,8,49,0
48001,2019,Anderson,12,2019-01-07,2019-11-06,9,34,0
48001,2020,Anderson,14,2020-01-09,2020-12-29,5,38,0
48001,2021,Anderson,13,2021-01-24,2022-01-01,9,42,0
48001,2022,Anderson,14,2022-04-21,2022-12-11,7,47,0
48001,2023,Anderson,20,2023-01-01,2023-12-09,14,79,0
48001,2024,Anderson,19,2024-02-08,2024-12-17,13,65,0
48001,2025,Anderson,21,2025-01-29,2025-12-28,9,76,0
48003,2015,Andrews,13,2015-01-19,2015-12-12,5,37,2
48003,2016,Andrews,15,2016-01-30,2016-11-08,5,38,0
48003,2017,Andrews,17,2017-01-01,2017-12-05,7,53,0
48003,2018,Andrews,9,2018-02-15,2018-10-06,8,34,0
48003,2019,Andrews,15,2019-01-06,2019-12-25,7,43,0
48003,2020,Andrews,16,2020-01-14,2020-12-11,5,40,0
48003,2021,Andrews,16,2021-01-23,2021-12-29,8,50,0
48003,2022,Andrews,12,2022-03-27,2023-01-02,8,45,8
48003,2023,Andrews,17,2023-01-10,2023-12-08,10,66,0
48003,2024,Andrews,16,2024-02-01,2024-12-30,6,53,8
48003,2025,Andrews,18,2025-02-06,2025-12-28,7,59,0
48005,2015,Angelina,15,2015-03-19,2015-12-27,5,44,0
48005,2016,Angelina,21,2016-01-30,2016-12-28,12,77,0
48005,2017,Angelina,21,2017-01-01,2017-11-17,8,67,0
48005,2018,Angelina,18,2018-01-20,2018-11-07,8,59,0
48005,2019,Angelina,12,2019-01-07,2019-11-06,6,39,0
48005,2020,Angelina,16,2020-01-09,2020-12-30,7,58,0
48005,2021,Angelina,22,2021-01-24,2022-01-01,9,77,0
48005,2022,Angelina,19,2022-02-21,2023-01-03,8,66,0
48005,2023,Angelina,19,2023-01-10,2023-12-09,20,111,0
48005,2024,Angelina,24,2024-01-23,2024-12-17,12,99,0
48005,2025,Angelina,23,2025-01-29,2025-12-28,8,87,0
48007,2015,Aransas,11,2015-04-08,2015-12-26,4,29,0
48007,2016,Aransas,17,2016-01-31,2016-12-28,10,70,0
48007,2017,Aransas,28,2017-01-01,2017-12-04,10,98,0
48007,2018,Aransas,14,2018-02-15,2018-11-08,6,43,1
48007,2019,Aransas,15,2019-01-07,2019-10-10,6,50,0
48007,2020,Aransas,22,2020-01-09,2020-12-11,9,78,0
48007,2021,Aransas,18,2021-01-24,2022-01-01,9,57,0
48007,2022,Aransas,22,2022-02-21,2022-12-13,9,78,0
48007,2023,Aransas,24,2023-01-01,2023-12-23,19,125,0
48007,2024,Aransas,24,2024-02-09,2024-12-26,17,111,0
48007,2025,Aransas,26,2025-01-04,2025-12-28,12,112,0
48009,2015,Archer,11,2015-01-27,2015-12-24,5,31,31
48009,2016,Archer,14,2016-01-29,2016-12-28,5,41,11
48009,2017,Archer,17,2017-01-02,2017-12-04,7,48,11
48009,2018,Archer,7,2018-01-20,2018-10-07,7,27,27
48009,2019,Archer,7,2019-01-06,2019-12-28,6,23,23
48009,2020,Archer,10,2020-01-09,2020-12-11,3,21,21
48009,2021,Archer,12,2021-03-11,2021-12-31,8,40,40
48009,2022,Archer,11,2022-03-28,2022-12-13,6,38,38
48009,2023,Archer,17,2023-01-01,2023-12-24,5,58,58
48009,2024,Archer,23,2024-01-30,2024-12-30,7,62,62
48009,2025,Archer,13,2025-02-03,2025-12-28,9,50,50
48011,2015,Armstrong,20,2015-01-19,2015-12-24,8,70,70
48011,2016,Armstrong,19,2016-01-29,2016-12-25,6,62,62
48011,2017,Armstrong,18,2017-01-10,2017-12-04,8,62,62
48011,2018,Armstrong,17,2018-01-10,2018-10-06,8,62,62
48011,2019,Armstrong,18,2019-01-06,2019-12-27,8,64,64
48011,2020,Armstrong,18,2020-01-09,2020-12-11,10,65,65
48011,2021,Armstrong,19,2021-01-30,2021-12-29,6,56,56
48011,2022,Armstrong,21,2022-03-04,2022-12-29,9,89,89
48011,2023,Armstrong,25,2023-01-01,2023-12-23,11,98,98
48011,2024,Armstrong,25,2024-01-29,2024-12-31,15,106,106
48011,2025,Armstrong,24,2025-02-02,2025-12-28,9,83,83
48013,2015,Atascosa,9,2015-07-18,2015-12-12,6,30,0
