county_fips,year,county_name,heatwave_events_started,first_event_start_date,last_event_end_date,longest_event_duration_days,heatwave_days,heatwave_days_imputed
48001,2015,Anderson,13,2015-01-28,2015-12-27,7,46,0
48001,2016,Anderson,17,2016-01-30,2016-12-28,15,79,0
48001,2017,Anderson,24,2017-01-01,2017-12-20,7,69,0
48001,2018,Anderson,19,2018-02-15,2018-12-27,8,62,0
48001,2019,Anderson,10,2019-01-07,2019-12-28,14,36,0
48001,2020,Anderson,21,2020-01-09,2020-12-30,5,56,0
48001,2021,Anderson,13,2021-01-24,2022-01-01,10,42,0
48001,2022,Anderson,14,2022-03-05,2022-12-30,9,48,0
48001,2023,Anderson,22,2023-01-01,2023-11-08,8,83,0
48001,2024,Anderson,18,2024-02-08,2024-12-28,14,70,0
48001,2025,Anderson,20,2025-01-29,2025-12-28,9,72,0
48003,2015,Andrews,13,2015-01-28,2015-12-26,6,42,1
48003,2016,Andrews,14,2016-01-31,2016-12-29,11,45,0
48003,2017,Andrews,18,2017-01-01,2017-12-22,12,57,0
48003,2018,Andrews,15,2018-01-09,2018-12-01,11,52,0
48003,2019,Andrews,13,2019-01-06,2019-12-27,6,42,2
48003,2020,Andrews,17,2020-01-14,2020-11-20,4,43,0
48003,2021,Andrews,22,2021-01-23,2021-12-29,8,65,0
48003,2022,Andrews,16,2022-03-27,2023-01-02,8,57,8
48003,2023,Andrews,22,2023-01-09,2023-12-08,10,72,0
48003,2024,Andrews,23,2024-02-01,2024-12-30,6,68,11
48003,2025,Andrews,16,2025-02-02,2025-12-28,8,51,1
48005,2015,Angelina,15,2015-02-08,2015-12-27,5,46,0
48005,2016,Angelina,19,2016-01-30,2016-12-28,8,73,0
48005,2017,Angelina,23,2017-01-01,2017-11-17,7,65,0
48005,2018,Angelina,21,2018-02-15,2018-12-27,7,67,0
48005,2019,Angelina,14,2019-01-07,2019-12-28,9,41,0
48005,2020,Angelina,18,2020-01-09,2020-12-30,6,59,0
48005,2021,Angelina,21,2021-01-24,2022-01-01,9,80,0
48005,2022,Angelina,22,2022-01-08,2023-01-03,9,78,0
48005,2023,Angelina,23,2023-01-06,2023-12-23,14,116,0
