county_fips,year,county_name,heatwave_events_started,first_event_start_date,last_event_end_date,longest_event_duration_days,heatwave_days,heatwave_days_imputed
48001,2015,Anderson,8,2015-01-28,2015-12-27,4,20,0
48001,2016,Anderson,16,2016-02-19,2016-12-28,9,56,0
48001,2017,Anderson,13,2017-01-01,2017-11-06,7,46,0
48001,2018,Anderson,8,2018-02-19,2018-10-08,6,27,0
48001,2019,Anderson,5,2019-01-07,2019-10-06,8,17,0
48001,2020,Anderson,11,2020-01-09,2020-11-21,3,25,0
48001,2021,Anderson,10,2021-02-27,2022-01-01,6,29,0
48001,2022,Anderson,8,2022-04-21,2022-12-10,6,28,0
48001,2023,Anderson,14,2023-01-01,2023-11-08,8,54,0
48001,2024,Anderson,13,2024-02-26,2024-12-17,13,44,0
48001,2025,Anderson,16,2025-02-03,2025-12-27,8,51,0
48003,2015,Andrews,11,2015-01-28,2015-12-12,4,29,1
48003,2016,Andrews,9,2016-02-18,2016-11-03,4,24,0
48003,2017,Andrews,14,2017-01-10,2017-12-04,7,40,0
48003,2018,Andrews,8,2018-02-15,2018-10-06,7,29,0
48003,2019,Andrews,8,2019-02-03,2019-10-06,4,22,0
48003,2020,Andrews,11,2020-03-11,2020-11-09,3,26,0
48003,2021,Andrews,12,2021-03-12,2021-12-28,7,38,0
48003,2022,Andrews,12,2022-03-27,2023-01-02,6,36,6
48003,2023,Andrews,16,2023-01-10,2023-12-08,10,53,0
48003,2024,Andrews,13,2024-02-20,2024-12-30,4,34,8
48003,2025,Andrews,11,2025-02-25,2025-12-27,6,36,0
48005,2015,Angelina,10,2015-03-30,2015-12-26,4,25,0
48005,2016,Angelina,18,2016-01-30,2016-12-28,6,59,0
48005,2017,Angelina,14,2017-01-10,2017-11-07,7,42,0
48005,2018,Angelina,11,2018-02-19,2018-11-07,8,36,0
48005,2019,Angelina,9,2019-01-07,2019-10-06,6,25,0
48005,2020,Angelina,11,2020-01-09,2020-11-10,5,31,0
48005,2021,Angelina,19,2021-01-24,2022-01-01,9,58,0
48005,2022,Angelina,13,2022-02-21,2022-12-10,7,40,0
48005,2023,Angelina,16,2023-01-01,2023-11-09,14,81,0
48005,2024,Angelina,17,2024-02-21,2024-12-17,8,68,0
48005,2025,Angelina,15,2025-02-03,2025-12-28,8,61,0
48007,2015,Aransas,10,2015-04-26,2015-12-26,4,26,0
48007,2016,Aransas,16,2016-01-31,2016-12-28,5,53,0
48007,2017,Aransas,22,2017-01-10,2017-12-04,10,81,0
48007,2018,Aransas,11,2018-02-17,2018-11-08,5,33,1
48007,2019,Aransas,11,2019-01-07,2019-10-10,6,38,0
48007,2020,Aransas,16,2020-01-09,2020-11-14,8,60,0
48007,2021,Aransas,15,2021-01-24,2022-01-01,9,47,0
48007,2022,Aransas,16,2022-03-28,2022-12-13,9,58,0
48007,2023,Aransas,22,2023-01-01,2023-12-09,19,106,0
48007,2024,Aransas,19,2024-02-09,2024-12-18,13,85,0
48007,2025,Aransas,21,2025-02-04,2025-12-28,11,83,0
48009,2015,Archer,7,2015-01-27,2015-12-13,4,18,18
48009,2016,Archer,11,2016-01-30,2016-12-28,4,29,6
48009,2017,Archer,10,2017-01-11,2017-12-04,6,28,9
48009,2018,Archer,3,2018-03-24,2018-10-06,6,14,14
48009,2019,Archer,5,2019-02-03,2019-10-06,4,13,13
48009,2020,Archer,6,2020-01-09,2020-11-09,2,12,12
48009,2021,Archer,10,2021-03-11,2021-12-29,6,33,33
48009,2022,Archer,8,2022-03-28,2022-12-10,6,25,25
48009,2023,Archer,16,2023-01-01,2023-12-23,5,43,43
48009,2024,Archer,13,2024-02-21,2024-12-24,6,34,34
48009,2025,Archer,7,2025-03-26,2025-12-28,7,30,30
48011,2015,Armstrong,14,2015-01-19,2015-12-13,8,52,52
48011,2016,Armstrong,16,2016-01-29,2016-11-17,5,41,41
48011,2017,Armstrong,14,2017-01-10,2017-12-04,8,44,44
