county_fips,year,county_name,heatwave_events_started,first_event_start_date,last_event_end_date,longest_event_duration_days,heatwave_days,heatwave_days_imputed
48001,2015,Anderson,11,2015-01-27,2015-12-27,8,46,0
48001,2016,Anderson,13,2016-01-29,2016-12-28,10,47,0
48001,2017,Anderson,19,2017-01-02,2017-12-05,6,54,0
48001,2018,Anderson,11,2018-02-19,2018-10-07,14,57,0
48001,2019,Anderson,8,2019-01-07,2019-11-06,7,27,0
48001,2020,Anderson,8,2020-01-05,2020-12-10,5,24,0
48001,2021,Anderson,12,2021-02-23,2022-01-01,9,40,0
48001,2022,Anderson,17,2022-02-21,2022-12-10,20,102,0
48001,2023,Anderson,22,2023-01-01,2023-12-09,18,97,0
48001,2024,Anderson,13,2024-01-29,2024-12-17,7,48,0
48001,2025,Anderson,15,2025-02-02,2025-12-28,18,71,0
48003,2015,Andrews,12,2015-01-28,2015-12-12,6,42,2
48003,2016,Andrews,11,2016-01-30,2016-12-18,5,33,0
48003,2017,Andrews,17,2017-01-10,2017-12-05,8,55,0
48003,2018,Andrews,11,2018-01-09,2018-10-05,9,39,0
48003,2019,Andrews,12,2019-01-16,2019-12-15,8,36,3
48003,2020,Andrews,21,2020-01-13,2020-12-10,8,65,0
48003,2021,Andrews,14,2021-03-12,2021-12-27,6,39,0
48003,2022,Andrews,15,2022-01-13,2023-01-02,9,50,3
48003,2023,Andrews,14,2023-01-09,2023-12-08,13,69,0
48003,2024,Andrews,16,2024-02-20,2024-12-30,5,39,9
48003,2025,Andrews,18,2025-02-02,2025-12-27,6,54,1
48005,2015,Angelina,12,2015-01-27,2015-12-27,7,46,0
48005,2016,Angelina,16,2016-01-29,2016-12-28,6,57,0
48005,2017,Angelina,18,2017-01-02,2017-12-22,7,57,0
48005,2018,Angelina,15,2018-02-14,2018-11-07,10,71,0
48005,2019,Angelina,5,2019-02-04,2019-10-06,6,20,0
48005,2020,Angelina,13,2020-01-05,2020-12-10,6,40,0
48005,2021,Angelina,15,2021-02-23,2022-01-01,10,54,0
48005,2022,Angelina,26,2022-01-13,2022-12-29,15,114,0
48005,2023,Angelina,18,2023-01-01,2023-11-09,42,104,0
48005,2024,Angelina,17,2024-01-30,2024-12-28,5,51,0
48005,2025,Angelina,18,2025-02-02,2025-12-28,9,75,0
48007,2015,Aransas,13,2015-01-27,2015-12-27,5,42,0
48007,2016,Aransas,21,2016-01-20,2016-12-28,9,82,0
48007,2017,Aransas,30,2017-01-01,2017-12-20,16,126,0
48007,2018,Aransas,11,2018-02-17,2018-12-02,8,37,1
48007,2019,Aransas,19,2019-01-06,2019-12-16,11,67,0
48007,2020,Aransas,23,2020-01-09,2020-12-11,12,108,0
48007,2021,Aransas,17,2021-01-24,2022-01-01,7,48,0
48007,2022,Aransas,28,2022-01-05,2022-12-13,20,119,0
48007,2023,Aransas,18,2023-01-01,2023-12-09,44,168,0
48007,2024,Aransas,22,2024-02-21,2024-12-30,22,139,0
48007,2025,Aransas,26,2025-01-04,2025-12-28,14,138,0
48009,2015,Archer,9,2015-01-18,2015-12-23,5,29,29
48009,2016,Archer,8,2016-01-29,2016-11-17,5,25,9
48009,2017,Archer,9,2017-01-11,2017-12-04,7,29,6
48009,2018,Archer,8,2018-01-20,2018-07-23,9,32,32
48009,2019,Archer,5,2019-01-06,2019-12-25,3,11,11
48009,2020,Archer,8,2020-01-09,2020-12-11,4,21,21
48009,2021,Archer,7,2021-02-23,2021-12-31,9,27,27
48009,2022,Archer,13,2022-01-13,2022-12-06,13,65,65
48009,2023,Archer,20,2023-01-01,2023-12-08,15,83,83
48009,2024,Archer,12,2024-01-30,2024-12-17,13,49,49
48009,2025,Archer,12,2025-02-02,2025-12-28,7,44,44
48011,2015,Armstrong,15,2015-01-17,2015-12-12,6,53,53
48011,2016,Armstrong,18,2016-01-24,2016-12-25,7,55,55
48011,2017,Armstrong,19,2017-01-10,2017-12-12,8,58,58
48011,2018,Armstrong,16,2018-01-09,2018-10-04,9,56,56
48011,2019,Armstrong,14,2019-01-05,2019-12-26,8,51,51
48011,2020,Armstrong,17,2020-01-14,2020-12-11,11,72,72
48011,2021,Armstrong,16,2021-02-03,2021-12-27,6,49,49
48011,2022,Armstrong,20,2022-01-13,2022-12-29,14,86,86
48011,2023,Armstrong,25,2023-01-01,2023-12-08,15,97,97
48011,2024,Armstrong,19,2024-01-29,2024-12-31,15,81,81
48011,2025,Armstrong,19,2025-02-02,2025-12-28,8,66,66
48013,2015,Atascosa,10,2015-01-27,2015-12-23,10,35,0
48013,2016,Atascosa,13,2016-01-30,2016-12-28,4,38,0
48013,2017,Atascosa,21,2017-01-02,2017-12-04,6,74,0
48013,2018,Atascosa,10,2018-03-17,2018-12-02,9,38,0
48013,2019,Atascosa,11,2019-01-07,2019-12-16,15,50,0
48013,2020,Atascosa,16,2020-01-10,2020-12-29,7,55,0
48013,2021,Atascosa,13,2021-01-30,2022-01-01,8,40,0
48013,2022,Atascosa,15,2022-03-25,2023-01-07,23,94,0
48013,2023,Atascosa,17,2023-01-11,2023-11-09,21,107,0
48013,2024,Atascosa,10,2024-02-21,2024-12-31,10,48,0
48013,2025,Atascosa,17,2025-02-03,2025-12-28,10,74,0
48015,2015,Austin,6,2015-01-28,2015-12-27,9,28,0
48015,2016,Austin,10,2016-01-30,2016-12-29,5,33,6
48015,2017,Austin,14,2017-01-03,2017-11-19,6,44,2
48015,2018,Austin,13,2018-02-19,2018-12-02,5,35,0
48015,2019,Austin,7,2019-03-25,2019-10-11,8,30,16
48015,2020,Austin,9,2020-01-10,2020-10-12,5,21,4
48015,2021,Austin,5,2021-09-01,2021-12-30,6,17,3
48015,2022,Austin,15,2022-01-01,2022-12-11,13,80,20
48015,2023,Austin,17,2023-01-01,2023-12-10,47,111,34
48015,2024,Austin,14,2024-02-22,2024-12-29,7,42,31
48015,2025,Austin,16,2025-02-02,2025-12-28,12,77,32
48017,2015,Bailey,10,2015-01-19,2015-12-12,5,32,0
48017,2016,Bailey,9,2016-01-29,2016-11-17,6,30,0
48017,2017,Bailey,10,2017-01-09,2017-12-04,8,44,0
48017,2018,Bailey,11,2018-01-09,2018-10-04,9,39,0
48017,2019,Bailey,12,2019-01-05,2019-12-24,6,34,0
48017,2020,Bailey,16,2020-03-26,2020-12-11,11,57,0
48017,2021,Bailey,9,2021-04-26,2021-12-27,6,32,0
48017,2022,Bailey,11,2022-01-13,2022-08-04,7,43,0
48017,2023,Bailey,16,2023-01-01,2023-12-08,10,61,0
48017,2024,Bailey,17,2024-01-30,2024-12-16,6,54,0
48017,2025,Bailey,15,2025-02-02,2025-12-28,9,57,0
48019,2015,Bandera,13,2015-01-20,2015-12-24,9,45,0
48019,2016,Bandera,15,2016-01-30,2016-12-29,7,49,0
48019,2017,Bandera,21,2017-01-01,2017-12-22,12,77,0
48019,2018,Bandera,14,2018-03-17,2018-12-02,7,53,0
48019,2019,Bandera,15,2019-03-10,2019-12-16,8,54,0
48019,2020,Bandera,16,2020-01-15,2020-12-11,6,51,0
48019,2021,Bandera,10,2021-03-27,2022-01-01,4,23,0
48019,2022,Bandera,20,2022-01-14,2022-12-09,12,87,0
48019,2023,Bandera,17,2023-01-01,2023-10-22,29,104,0
48019,2024,Bandera,12,2024-02-26,2024-12-30,15,57,52
48019,2025,Bandera,15,2025-02-02,2025-12-28,9,68,68
48021,2015,Bastrop,11,2015-01-27,2015-12-27,7,37,0
48021,2016,Bastrop,8,2016-01-30,2016-12-29,5,27,0
48021,2017,Bastrop,19,2017-01-10,2017-12-22,12,68,0
48021,2018,Bastrop,8,2018-02-19,2018-08-24,7,30,0
48021,2019,Bastrop,10,2019-01-07,2019-12-16,8,36,0
48021,2020,Bastrop,13,2020-01-15,2020-12-28,6,40,0
48021,2021,Bastrop,13,2021-01-04,2022-01-01,4,34,0
48021,2022,Bastrop,19,2022-01-13,2023-01-03,22,92,1
48021,2023,Bastrop,20,2023-01-06,2023-12-09,25,107,0
48021,2024,Bastrop,20,2024-01-30,2024-12-28,15,75,0
48021,2025,Bastrop,19,2025-02-02,2025-12-28,15,91,0
48023,2015,Baylor,12,2015-01-18,2015-12-23,5,43,0
48023,2016,Baylor,9,2016-01-29,2016-12-26,5,25,0
48023,2017,Baylor,16,2017-01-10,2017-12-11,8,44,0
48023,2018,Baylor,12,2018-01-20,2018-10-05,9,38,0
48023,2019,Baylor,6,2019-02-04,2019-12-26,3,15,0
48023,2020,Baylor,10,2020-01-09,2020-12-10,5,28,0
48023,2021,Baylor,8,2021-09-01,2021-12-31,9,34,0
48023,2022,Baylor,18,2022-01-13,2022-12-29,13,80,0
48023,2023,Baylor,20,2023-01-01,2023-12-08,21,84,0
48023,2024,Baylor,17,2024-01-30,2024-12-16,14,71,0
48023,2025,Baylor,13,2025-02-02,2025-12-28,8,49,0
48025,2015,Bee,5,2015-01-28,2015-12-29,3,12,1
48025,2016,Bee,11,2016-01-31,2016-12-29,6,34,1
48025,2017,Bee,18,2017-01-02,2017-12-05,7,58,0
48025,2018,Bee,9,2018-02-16,2018-11-08,7,33,0
48025,2019,Bee,13,2019-04-10,2019-12-16,11,43,0
48025,2020,Bee,19,2020-01-15,2020-12-30,6,65,0
48025,2021,Bee,12,2021-01-26,2021-12-30,6,33,0
48025,2022,Bee,16,2022-01-01,2022-12-14,9,59,0
48025,2023,Bee,22,2023-01-01,2023-12-10,43,137,7
48025,2024,Bee,17,2024-02-21,2024-12-31,11,61,10
48025,2025,Bee,22,2025-02-03,2025-12-29,8,81,2
48027,2015,Bell,11,2015-01-19,2015-12-24,6,38,0
48027,2016,Bell,11,2016-01-29,2017-01-02,5,32,0
48027,2017,Bell,15,2017-01-10,2017-12-04,7,53,0
48027,2018,Bell,9,2018-03-16,2018-10-15,14,52,1
48027,2019,Bell,9,2019-02-04,2019-11-06,9,33,0
48027,2020,Bell,16,2020-01-09,2020-12-10,6,46,0
48027,2021,Bell,9,2021-02-23,2022-01-01,9,29,0
48027,2022,Bell,19,2022-01-13,2023-01-02,22,100,0
48027,2023,Bell,19,2023-01-10,2023-11-08,38,111,0
48027,2024,Bell,20,2024-01-29,2024-12-30,8,76,0
48027,2025,Bell,22,2025-02-01,2025-12-28,8,74,0
48029,2015,Bexar,14,2015-01-19,2015-12-27,9,51,0
48029,2016,Bexar,14,2016-01-29,2016-12-28,6,50,0
48029,2017,Bexar,22,2017-01-01,2017-12-22,12,79,0
48029,2018,Bexar,11,2018-02-27,2018-09-02,10,44,0
48029,2019,Bexar,10,2019-04-09,2019-12-15,7,36,0
48029,2020,Bexar,16,2020-01-09,2020-12-10,6,47,0
48029,2021,Bexar,10,2021-01-25,2022-01-01,4,27,0
48029,2022,Bexar,19,2022-01-13,2023-01-06,10,94,0
48029,2023,Bexar,18,2023-01-10,2023-11-08,23,109,0
48029,2024,Bexar,16,2024-02-25,2024-12-30,15,70,0
48029,2025,Bexar,24,2025-02-02,2025-12-28,12,95,0
48031,2015,Blanco,13,2015-01-20,2015-12-28,6,40,0
48031,2016,Blanco,7,2016-01-30,2016-11-17,3,17,0
48031,2017,Blanco,13,2017-01-11,2017-12-05,6,39,0
48031,2018,Blanco,9,2018-03-17,2018-07-30,7,34,0
48031,2019,Blanco,7,2019-01-07,2019-12-16,8,31,0
48031,2020,Blanco,7,2020-01-09,2020-12-10,7,23,7
48031,2021,Blanco,10,2021-02-04,2022-01-02,6,29,10
48031,2022,Blanco,27,2022-01-14,2023-01-07,16,147,1
48031,2023,Blanco,18,2023-01-09,2023-11-08,45,133,0
48031,2024,Blanco,16,2024-01-29,2024-12-30,14,77,18
48031,2025,Blanco,15,2025-01-30,2025-12-28,13,77,62
48033,2015,Borden,10,2015-01-26,2015-12-11,6,29,7
48033,2016,Borden,11,2016-01-29,2016-12-17,4,27,11
48033,2017,Borden,14,2017-02-06,2017-12-04,4,34,9
48033,2018,Borden,9,2018-01-09,2018-10-05,8,31,7
48033,2019,Borden,11,2019-02-14,2019-10-10,8,31,1
48033,2020,Borden,14,2020-02-16,2020-12-10,9,50,4
