county_fips,year,county_name,heatwave_events_started,first_event_start_date,last_event_end_date,longest_event_duration_days,heatwave_days,heatwave_days_imputed
48001,2015,Anderson,9,2015-01-27,2015-12-27,6,35,0
48001,2016,Anderson,9,2016-01-29,2016-12-28,5,29,0
48001,2017,Anderson,15,2017-01-10,2017-12-04,6,44,0
48001,2018,Anderson,9,2018-02-19,2018-10-07,10,45,0
48001,2019,Anderson,5,2019-04-09,2019-10-10,6,19,0
48001,2020,Anderson,6,2020-03-12,2020-12-10,4,16,0
48001,2021,Anderson,6,2021-02-27,2022-01-01,9,25,0
48001,2022,Anderson,16,2022-03-26,2022-12-10,16,82,0
48001,2023,Anderson,14,2023-01-01,2023-12-09,18,67,0
48001,2024,Anderson,10,2024-01-30,2024-12-17,7,33,0
48001,2025,Anderson,13,2025-02-02,2025-12-28,8,57,0
48003,2015,Andrews,12,2015-01-28,2015-12-12,5,30,1
48003,2016,Andrews,8,2016-01-30,2016-12-18,5,24,0
48003,2017,Andrews,12,2017-01-10,2017-12-05,8,41,0
48003,2018,Andrews,8,2018-02-15,2018-10-05,8,32,0
48003,2019,Andrews,12,2019-02-14,2019-12-15,4,29,2
48003,2020,Andrews,16,2020-03-25,2020-11-09,8,49,0
48003,2021,Andrews,9,2021-06-10,2021-12-27,3,22,0
48003,2022,Andrews,9,2022-03-25,2022-08-04,6,30,0
48003,2023,Andrews,12,2023-01-09,2023-12-08,10,55,0
48003,2024,Andrews,8,2024-02-20,2024-12-30,5,21,5
48003,2025,Andrews,15,2025-02-02,2025-12-27,6,45,1
48005,2015,Angelina,8,2015-01-27,2015-12-27,5,29,0
48005,2016,Angelina,10,2016-01-29,2016-12-26,4,29,0
48005,2017,Angelina,13,2017-01-10,2017-11-18,6,40,0
48005,2018,Angelina,11,2018-02-19,2018-10-06,10,46,0
48005,2019,Angelina,4,2019-04-09,2019-10-06,6,15,0
48005,2020,Angelina,5,2020-03-23,2020-12-10,5,18,0
48005,2021,Angelina,12,2021-02-23,2022-01-01,7,38,0
48005,2022,Angelina,19,2022-02-21,2022-12-10,9,85,0
