county_fips,year,county_name,heatwave_events_started,first_event_start_date,last_event_end_date,longest_event_duration_days,heatwave_days,heatwave_days_imputed
48001,2015,Anderson,13,2015-01-27,2015-12-27,6,42,0
48001,2016,Anderson,10,2016-01-29,2016-12-28,7,35,0
48001,2017,Anderson,15,2017-01-10,2017-12-04,6,41,0
48001,2018,Anderson,6,2018-03-16,2018-07-27,11,36,0
48001,2019,Anderson,8,2019-02-04,2019-12-16,9,26,0
48001,2020,Anderson,6,2020-03-12,2020-12-10,4,15,0
48001,2021,Anderson,6,2021-04-11,2022-01-01,9,26,0
48001,2022,Anderson,15,2022-03-05,2022-12-10,10,80,0
48001,2023,Anderson,14,2023-01-01,2023-10-22,17,65,0
48001,2024,Anderson,9,2024-01-30,2024-12-17,9,37,0
48001,2025,Anderson,15,2025-02-02,2025-12-28,8,61,0
48003,2015,Andrews,10,2015-01-28,2015-12-12,6,30,1
48003,2016,Andrews,8,2016-01-31,2016-12-18,7,31,0
48003,2017,Andrews,16,2017-01-10,2017-12-05,4,46,0
48003,2018,Andrews,10,2018-02-01,2018-11-30,8,35,0
48003,2019,Andrews,11,2019-02-04,2019-12-15,4,27,2
48003,2020,Andrews,18,2020-01-13,2020-11-09,8,52,0
48003,2021,Andrews,12,2021-02-02,2021-12-27,6,32,0
48003,2022,Andrews,10,2022-03-26,2023-01-02,8,30,0
48003,2023,Andrews,15,2023-01-09,2023-12-08,9,58,0
48003,2024,Andrews,10,2024-02-20,2024-12-30,5,26,7
48003,2025,Andrews,11,2025-02-02,2025-12-28,7,34,1
48005,2015,Angelina,10,2015-01-27,2015-12-27,6,32,0
48005,2016,Angelina,9,2016-01-29,2016-12-28,7,36,0
48005,2017,Angelina,11,2017-01-10,2017-12-22,6,37,0
48005,2018,Angelina,13,2018-02-14,2018-07-27,11,49,0
48005,2019,Angelina,5,2019-02-04,2019-10-06,5,16,0
48005,2020,Angelina,9,2020-03-24,2020-12-30,5,28,0
48005,2021,Angelina,12,2021-02-27,2022-01-01,9,38,0
48005,2022,Angelina,22,2022-01-13,2022-12-29,10,96,0
48005,2023,Angelina,22,2023-01-01,2023-11-08,22,91,0
48005,2024,Angelina,13,2024-01-30,2024-12-17,7,36,0
48005,2025,Angelina,14,2025-02-02,2025-12-28,9,56,0
48007,2015,Aransas,8,2015-01-27,2015-12-27,5,27,0
48007,2016,Aransas,19,2016-01-31,2016-12-28,9,74,0
48007,2017,Aransas,26,2017-01-01,2017-12-20,14,100,0
48007,2018,Aransas,13,2018-02-17,2018-12-02,12,46,1
48007,2019,Aransas,20,2019-01-07,2019-12-16,8,61,0
48007,2020,Aransas,27,2020-01-14,2020-11-27,8,95,0
48007,2021,Aransas,10,2021-01-25,2022-01-01,10,34,0
48007,2022,Aransas,21,2022-01-05,2023-01-01,17,94,0
48007,2023,Aransas,20,2023-01-03,2023-10-29,38,161,0
48007,2024,Aransas,20,2024-03-05,2024-12-31,31,139,0
48007,2025,Aransas,27,2025-01-04,2025-12-28,14,125,0
48009,2015,Archer,6,2015-01-27,2015-12-23,5,17,17
48009,2016,Archer,6,2016-01-30,2016-11-24,8,20,4
48009,2017,Archer,6,2017-01-11,2017-12-04,7,18,4
48009,2018,Archer,6,2018-03-24,2018-11-30,8,22,22
48009,2019,Archer,3,2019-02-03,2019-12-25,4,9,9
48009,2020,Archer,6,2020-02-02,2020-12-10,4,17,17
48009,2021,Archer,6,2021-10-08,2021-12-31,9,25,25
48009,2022,Archer,8,2022-03-27,2022-10-23,14,45,45
48009,2023,Archer,18,2023-01-01,2023-11-08,7,58,58
48009,2024,Archer,13,2024-02-21,2024-12-17,9,42,42
48009,2025,Archer,7,2025-02-02,2025-12-28,7,26,26
48011,2015,Armstrong,12,2015-01-19,2015-12-12,5,35,35
48011,2016,Armstrong,15,2016-01-30,2016-12-28,4,40,40
48011,2017,Armstrong,15,2017-01-10,2017-12-04,5,41,41
48011,2018,Armstrong,14,2018-01-20,2018-11-30,9,46,46
48011,2019,Armstrong,10,2019-01-05,2019-12-26,7,36,36
48011,2020,Armstrong,19,2020-01-14,2020-12-10,9,60,60
48011,2021,Armstrong,13,2021-02-03,2021-12-27,6,41,41
48011,2022,Armstrong,17,2022-03-03,2022-10-23,14,64,64
48011,2023,Armstrong,22,2023-01-01,2023-12-08,13,78,78
48011,2024,Armstrong,17,2024-02-01,2024-12-31,15,63,63
48011,2025,Armstrong,15,2025-02-02,2025-12-28,8,46,46
48013,2015,Atascosa,7,2015-01-27,2015-12-27,5,22,0
48013,2016,Atascosa,11,2016-01-31,2016-12-28,7,31,0
48013,2017,Atascosa,15,2017-01-02,2017-12-04,6,41,0
48013,2018,Atascosa,7,2018-03-17,2018-07-24,14,31,0
48013,2019,Atascosa,13,2019-01-07,2019-10-03,8,41,0
48013,2020,Atascosa,14,2020-01-15,2020-12-30,5,44,0
48013,2021,Atascosa,10,2021-03-27,2022-01-01,8,30,0
48013,2022,Atascosa,16,2022-03-05,2023-01-07,15,74,0
48013,2023,Atascosa,18,2023-01-11,2023-10-29,20,100,0
48013,2024,Atascosa,13,2024-02-25,2024-12-31,8,48,0
48013,2025,Atascosa,15,2025-02-02,2025-12-28,6,53,0
48015,2015,Austin,5,2015-02-10,2015-12-28,6,17,0
48015,2016,Austin,7,2016-02-01,2016-12-29,6,23,5
48015,2017,Austin,10,2017-01-11,2017-11-19,6,35,1
48015,2018,Austin,6,2018-02-28,2018-11-08,4,18,0
48015,2019,Austin,6,2019-02-06,2019-10-07,7,19,7
48015,2020,Austin,5,2020-01-15,2020-05-20,4,12,3
48015,2021,Austin,3,2021-12-10,2022-01-02,9,13,3
48015,2022,Austin,10,2022-03-06,2022-12-10,12,53,13
48015,2023,Austin,15,2023-01-07,2023-10-22,15,72,23
48015,2024,Austin,9,2024-02-25,2024-12-29,8,30,17
48015,2025,Austin,13,2025-02-02,2025-12-28,10,57,28
48017,2015,Bailey,7,2015-01-27,2015-12-12,5,20,0
48017,2016,Bailey,8,2016-01-30,2016-11-17,5,24,0
48017,2017,Bailey,12,2017-01-09,2017-12-04,8,37,0
48017,2018,Bailey,8,2018-03-23,2018-11-30,7,26,0
48017,2019,Bailey,9,2019-01-05,2019-12-25,5,25,0
48017,2020,Bailey,14,2020-03-26,2020-12-11,9,49,0
48017,2021,Bailey,8,2021-06-10,2021-12-27,6,28,0
48017,2022,Bailey,10,2022-03-03,2022-08-04,7,32,0
48017,2023,Bailey,16,2023-01-01,2023-12-08,6,48,0
48017,2024,Bailey,12,2024-02-21,2024-11-24,5,33,0
48017,2025,Bailey,13,2025-02-02,2025-12-28,9,42,0
48019,2015,Bandera,9,2015-01-20,2015-12-27,6,30,0
48019,2016,Bandera,10,2016-01-31,2016-12-29,6,35,0
48019,2017,Bandera,18,2017-01-01,2017-12-22,9,61,0
48019,2018,Bandera,10,2018-03-17,2018-07-25,5,34,0
48019,2019,Bandera,11,2019-03-10,2019-12-16,12,39,0
48019,2020,Bandera,9,2020-01-15,2020-10-23,5,30,0
48019,2021,Bandera,5,2021-04-07,2022-01-01,4,12,0
48019,2022,Bandera,18,2022-01-14,2022-11-08,10,76,0
48019,2023,Bandera,14,2023-01-02,2023-10-22,23,83,0
48019,2024,Bandera,12,2024-02-26,2024-12-30,11,50,45
48019,2025,Bandera,14,2025-02-02,2025-12-28,9,55,55
48021,2015,Bastrop,6,2015-01-27,2015-12-27,6,26,0
48021,2016,Bastrop,7,2016-01-31,2016-12-29,5,21,0
48021,2017,Bastrop,12,2017-01-11,2017-12-22,12,41,0
48021,2018,Bastrop,7,2018-03-05,2018-07-24,6,23,0
48021,2019,Bastrop,7,2019-01-07,2019-12-16,7,22,0
48021,2020,Bastrop,14,2020-01-15,2020-12-29,5,39,0
48021,2021,Bastrop,7,2021-04-08,2022-01-01,4,19,0
48021,2022,Bastrop,17,2022-01-13,2023-01-02,9,74,0
48021,2023,Bastrop,20,2023-01-06,2023-11-08,16,96,0
48021,2024,Bastrop,17,2024-02-24,2024-12-28,16,75,0
48021,2025,Bastrop,21,2025-02-02,2025-12-28,8,78,0
48023,2015,Baylor,9,2015-01-27,2015-12-23,5,25,0
48023,2016,Baylor,7,2016-01-29,2016-12-26,4,21,0
48023,2017,Baylor,9,2017-01-10,2017-12-05,5,23,0
48023,2018,Baylor,9,2018-01-20,2018-11-30,5,23,0
48023,2019,Baylor,4,2019-02-03,2019-12-26,4,13,0
48023,2020,Baylor,11,2020-01-09,2020-12-10,4,28,0
48023,2021,Baylor,6,2021-10-08,2021-12-31,5,22,0
48023,2022,Baylor,16,2022-01-13,2022-10-23,14,63,0
48023,2023,Baylor,19,2023-01-01,2023-12-08,9,70,0
48023,2024,Baylor,17,2024-02-01,2024-12-16,12,62,0
48023,2025,Baylor,13,2025-02-01,2025-12-28,8,39,0
48025,2015,Bee,3,2015-10-13,2015-12-29,3,8,1
48025,2016,Bee,8,2016-02-01,2016-12-29,7,30,0
48025,2017,Bee,16,2017-01-03,2017-12-05,6,48,0
48025,2018,Bee,6,2018-03-19,2018-11-08,9,26,0
48025,2019,Bee,11,2019-08-12,2019-12-16,5,27,0
48025,2020,Bee,17,2020-01-15,2020-12-30,6,55,0
48025,2021,Bee,8,2021-01-26,2021-12-30,6,21,0
48025,2022,Bee,11,2022-01-01,2022-12-10,13,44,0
48025,2023,Bee,26,2023-01-01,2023-11-09,16,122,4
48025,2024,Bee,19,2024-02-26,2024-12-31,5,54,4
48025,2025,Bee,18,2025-02-03,2025-12-29,11,68,1
48027,2015,Bell,8,2015-02-09,2015-12-27,6,23,0
48027,2016,Bell,8,2016-01-29,2016-12-28,7,32,0
48027,2017,Bell,12,2017-01-10,2017-11-18,6,36,0
48027,2018,Bell,9,2018-03-17,2018-07-23,8,35,0
48027,2019,Bell,8,2019-02-04,2019-10-20,18,35,0
48027,2020,Bell,12,2020-01-14,2020-12-10,5,35,0
48027,2021,Bell,6,2021-04-08,2022-01-01,9,20,0
48027,2022,Bell,16,2022-01-13,2023-01-02,13,81,0
48027,2023,Bell,19,2023-01-10,2023-10-21,16,98,0
48027,2024,Bell,16,2024-02-25,2024-12-30,9,58,0
48027,2025,Bell,18,2025-02-01,2025-12-28,8,66,0
48029,2015,Bexar,10,2015-01-27,2015-12-27,8,34,0
48029,2016,Bexar,11,2016-01-31,2016-12-28,8,41,0
48029,2017,Bexar,23,2017-01-01,2017-12-22,6,65,0
48029,2018,Bexar,8,2018-03-17,2018-12-01,9,31,0
48029,2019,Bexar,9,2019-04-09,2019-12-15,7,26,0
48029,2020,Bexar,11,2020-01-09,2020-10-22,5,33,0
48029,2021,Bexar,8,2021-04-07,2022-01-01,4,23,0
48029,2022,Bexar,20,2022-01-13,2023-01-04,16,79,0
48029,2023,Bexar,18,2023-01-10,2023-10-22,18,100,0
48029,2024,Bexar,15,2024-02-25,2024-12-30,12,69,0
48029,2025,Bexar,22,2025-02-02,2025-12-28,8,77,0
48031,2015,Blanco,8,2015-01-28,2015-12-28,6,25,0
48031,2016,Blanco,5,2016-01-31,2016-11-17,2,10,0
48031,2017,Blanco,9,2017-01-11,2017-12-02,6,24,0
48031,2018,Blanco,7,2018-03-17,2018-07-24,6,22,0
48031,2019,Blanco,4,2019-09-06,2019-12-16,19,28,0
48031,2020,Blanco,6,2020-03-26,2020-12-28,6,17,8
48031,2021,Blanco,9,2021-02-04,2022-01-02,10,29,10
48031,2022,Blanco,24,2022-01-14,2023-01-02,16,118,1
48031,2023,Blanco,21,2023-01-06,2023-10-28,45,134,0
48031,2024,Blanco,18,2024-02-25,2024-12-30,12,77,10
48031,2025,Blanco,17,2025-01-31,2025-12-28,8,68,59
48033,2015,Borden,6,2015-03-28,2015-12-24,2,12,5
48033,2016,Borden,8,2016-01-29,2016-12-17,7,24,10
48033,2017,Borden,9,2017-02-06,2017-11-05,4,24,4
48033,2018,Borden,7,2018-01-09,2018-07-23,7,24,7
48033,2019,Borden,7,2019-02-03,2019-10-10,4,20,1
48033,2020,Borden,11,2020-03-25,2020-12-10,8,35,4
48033,2021,Borden,9,2021-02-02,2021-12-27,5,30,1
48033,2022,Borden,11,2022-03-26,2023-01-02,9,37,2
48033,2023,Borden,16,2023-01-09,2023-11-08,10,61,13
48033,2024,Borden,10,2024-02-20,2024-10-28,10,33,16
48033,2025,Borden,12,2025-02-02,2025-12-28,7,32,7
