county_fips,year,month,heatwave_events_started,heatwave_events_active,longest_event_duration_days,heatwave_days,heatwave_days_imputed
48001,2015,1,1,1,3,3,0
48001,2015,8,1,1,3,3,0
48001,2015,10,1,1,5,5,0
48001,2015,12,1,1,2,2,0
48001,2016,3,1,1,2,2,0
48001,2016,11,2,2,2,4,0
48001,2016,12,1,1,2,2,0
48001,2017,1,1,1,3,3,0
48001,2017,2,2,2,2,4,0
48001,2017,3,1,1,3,3,0
48001,2017,4,1,1,2,2,0
48001,2017,11,1,1,5,5,0
48001,2018,3,1,1,2,2,0
48001,2018,5,2,2,6,10,0
48001,2018,7,1,1,3,3,0
48001,2019,4,1,1,2,2,0
48001,2019,9,1,1,3,3,0
48001,2019,10,1,1,6,6,0
48001,2020,3,1,1,4,4,0
48001,2020,4,1,1,3,3,0
48001,2020,8,1,1,2,2,0
48001,2021,10,1,1,3,3,0
48001,2021,12,3,3,8,12,0
48001,2022,1,0,1,8,1,0
48001,2022,3,1,1,3,3,0
48001,2022,5,1,1,2,2,0
48001,2022,6,2,2,9,11,0
48001,2022,7,3,3,5,13,0
48001,2022,9,1,1,4,4,0
48001,2022,11,1,1,3,3,0
48001,2022,12,1,1,5,5,0
48001,2023,2,1,1,3,3,0
48001,2023,7,2,2,16,5,0
48001,2023,8,1,2,16,25,0
48001,2023,9,2,2,4,6,0
48001,2024,2,1,1,3,3,0
48001,2024,10,3,3,7,11,0
48001,2024,11,1,1,2,2,0
48001,2024,12,1,1,3,3,0
48001,2025,2,1,1,3,3,0
48001,2025,3,3,3,4,8,0
48001,2025,5,1,1,3,3,0
48001,2025,10,2,2,4,7,0
48001,2025,11,1,1,6,6,0
48001,2025,12,2,2,3,5,0
48003,2015,8,2,2,2,4,0
48003,2015,12,1,1,2,2,0
48003,2016,2,1,1,3,3,0
48003,2016,7,2,2,5,9,0
48003,2016,10,1,1,3,3,0
48003,2016,11,1,1,2,2,0
48003,2017,2,2,2,3,5,0
48003,2017,3,2,2,4,6,0
48003,2017,6,1,1,3,3,0
48003,2017,9,1,1,2,2,0
48003,2017,11,2,2,5,7,0
48003,2017,12,1,1,2,2,0
48003,2018,3,1,1,3,3,0
48003,2018,5,2,2,7,8,0
48003,2018,6,0,1,7,1,0
48003,2018,7,1,1,5,5,0
48003,2018,10,1,1,2,2,0
48003,2019,8,3,3,2,6,0
48003,2020,3,1,1,2,2,0
48003,2020,5,1,1,2,2,0
48003,2020,7,1,1,8,8,0
48003,2020,8,3,3,5,10,0
48003,2020,9,1,1,2,2,0
48003,2020,10,3,3,3,7,0
48003,2020,11,1,1,2,2,0
48003,2021,10,1,1,3,3,0
48003,2021,11,2,2,2,4,0
48003,2021,12,3,3,3,8,0
48003,2022,3,1,1,4,4,0
48003,2022,4,1,1,2,2,0
48003,2022,5,1,1,3,3,0
48003,2022,7,1,1,2,2,0
48003,2023,6,2,2,4,6,0
48003,2023,7,2,2,4,6,0
48003,2023,8,3,3,5,11,0
48003,2023,9,1,1,6,6,0
48003,2023,11,1,1,3,3,0
48003,2023,12,1,1,2,2,0
48003,2024,2,2,2,2,4,0
48003,2024,8,1,1,4,4,0
48003,2024,10,1,1,4,4,4
48003,2024,12,1,1,2,2,0
48003,2025,2,2,2,4,6,0
48003,2025,4,1,1,2,2,0
48003,2025,10,1,1,2,2,0
48003,2025,11,2,2,4,7,0
48003,2025,12,1,1,6,6,0
48005,2015,1,1,1,2,2,0
48005,2015,8,1,1,3,3,0
48005,2015,10,1,1,5,5,0
48005,2015,12,1,1,2,2,0
48005,2016,3,1,1,2,2,0
48005,2016,11,1,1,3,3,0
48005,2016,12,1,1,3,3,0
48005,2017,1,1,1,5,5,0
48005,2017,2,4,4,3,9,0
48005,2017,3,1,1,2,2,0
