county_fips,year,county_name,heatwave_events_started,first_event_start_date,last_event_end_date,longest_event_duration_days,heatwave_days,heatwave_days_imputed
48001,2015,Anderson,16,2015-03-17,2015-12-26,5,48,0
48001,2016,Anderson,17,2016-01-07,2016-12-28,11,71,0
48001,2017,Anderson,23,2017-01-01,2017-12-04,13,87,0
48001,2018,Anderson,19,2018-01-20,2018-11-30,9,69,0
48001,2019,Anderson,16,2019-01-07,2019-11-06,7,50,0
48001,2020,Anderson,15,2020-01-09,2020-12-29,6,50,0
48001,2021,Anderson,14,2021-01-22,2021-12-29,6,45,0
48001,2022,Anderson,13,2022-04-21,2022-12-30,9,61,0
48001,2023,Anderson,17,2023-01-01,2023-12-23,14,79,0
48001,2024,Anderson,21,2024-01-23,2024-12-26,5,60,0
48001,2025,Anderson,15,2025-01-29,2025-12-27,8,60,0
48003,2015,Andrews,9,2015-01-28,2015-12-12,5,24,1
48003,2016,Andrews,10,2016-02-18,2016-11-08,8,39,0
48003,2017,Andrews,13,2017-01-10,2017-12-04,5,41,0
48003,2018,Andrews,10,2018-02-15,2018-12-01,8,42,0
48003,2019,Andrews,16,2019-01-06,2019-12-28,5,49,5
48003,2020,Andrews,16,2020-01-09,2020-11-09,5,43,0
48003,2021,Andrews,13,2021-01-23,2021-12-29,8,37,0
48003,2022,Andrews,17,2022-03-27,2023-01-02,9,73,9
48003,2023,Andrews,21,2023-01-10,2023-12-08,8,76,0
48003,2024,Andrews,22,2024-02-01,2024-12-30,9,72,12
48003,2025,Andrews,17,2025-03-25,2025-12-27,7,50,2
48005,2015,Angelina,19,2015-03-18,2015-12-26,5,56,0
48005,2016,Angelina,24,2016-01-30,2016-12-28,8,83,0
48005,2017,Angelina,21,2017-01-10,2017-11-17,13,73,0
48005,2018,Angelina,15,2018-01-20,2018-12-26,9,54,0
48005,2019,Angelina,17,2019-01-07,2019-11-06,7,56,0
48005,2020,Angelina,22,2020-01-09,2020-12-30,8,80,0
48005,2021,Angelina,18,2021-01-19,2022-01-01,9,70,0
48005,2022,Angelina,21,2022-02-21,2023-01-03,11,80,0
48005,2023,Angelina,19,2023-01-16,2023-12-24,24,105,0
48005,2024,Angelina,24,2024-01-23,2024-12-25,9,91,0
48005,2025,Angelina,18,2025-01-03,2025-12-28,8,66,0
48007,2015,Aransas,13,2015-02-20,2015-12-26,4,34,0
48007,2016,Aransas,18,2016-01-31,2016-12-28,10,68,0
48007,2017,Aransas,25,2017-01-12,2017-12-04,9,81,0
48007,2018,Aransas,17,2018-02-15,2018-12-26,6,51,1
48007,2019,Aransas,17,2019-01-07,2019-12-28,13,59,0
48007,2020,Aransas,16,2020-01-09,2020-11-14,10,60,0
48007,2021,Aransas,21,2021-01-19,2022-01-01,9,67,0
48007,2022,Aransas,21,2022-02-21,2022-12-13,6,63,0
48007,2023,Aransas,20,2023-01-01,2023-12-23,9,80,0
48007,2024,Aransas,21,2024-01-23,2024-12-17,9,74,0
48007,2025,Aransas,23,2025-01-03,2025-12-28,9,88,0
48009,2015,Archer,9,2015-01-28,2015-12-24,5,25,25
48009,2016,Archer,14,2016-02-18,2016-12-28,9,44,15
48009,2017,Archer,12,2017-01-02,2017-12-20,5,35,17
48009,2018,Archer,11,2018-02-15,2018-10-08,8,44,44
48009,2019,Archer,13,2019-01-07,2019-12-28,9,46,46
48009,2020,Archer,11,2020-01-09,2020-11-21,5,32,32
48009,2021,Archer,12,2021-01-19,2021-12-29,7,42,42
48009,2022,Archer,13,2022-04-11,2022-12-13,16,65,65
48009,2023,Archer,20,2023-01-01,2023-12-24,9,76,76
48009,2024,Archer,23,2024-01-24,2024-12-28,10,85,85
48009,2025,Archer,13,2025-01-29,2025-12-28,8,52,52
48011,2015,Armstrong,19,2015-01-19,2015-12-24,8,76,76
48011,2016,Armstrong,21,2016-01-30,2016-12-04,9,79,79
48011,2017,Armstrong,20,2017-01-10,2017-12-04,9,75,75
48011,2018,Armstrong,18,2018-02-15,2018-12-27,9,74,74
48011,2019,Armstrong,22,2019-01-06,2019-12-28,10,88,88
48011,2020,Armstrong,19,2020-01-02,2020-12-29,9,67,67
48011,2021,Armstrong,19,2021-01-19,2021-12-29,7,72,72
48011,2022,Armstrong,19,2022-04-21,2022-12-29,12,97,97
48011,2023,Armstrong,26,2023-01-01,2023-12-24,9,100,100
48011,2024,Armstrong,28,2024-01-23,2024-12-30,15,122,122
48011,2025,Armstrong,16,2025-02-26,2025-12-28,17,75,75
48013,2015,Atascosa,20,2015-01-30,2015-12-26,8,69,0
48013,2016,Atascosa,14,2016-02-19,2016-12-29,9,48,0
48013,2017,Atascosa,25,2017-01-11,2017-12-05,7,75,0
48013,2018,Atascosa,18,2018-01-27,2018-11-07,9,57,0
48013,2019,Atascosa,18,2019-01-08,2019-12-28,11,84,0
48013,2020,Atascosa,21,2020-01-10,2020-12-30,8,73,0
48013,2021,Atascosa,22,2021-01-20,2022-01-01,14,98,0
48013,2022,Atascosa,22,2022-03-05,2022-12-13,12,94,0
48013,2023,Atascosa,26,2023-01-02,2023-12-24,15,112,0
48013,2024,Atascosa,25,2024-02-09,2024-12-25,8,93,2
48013,2025,Atascosa,16,2025-01-03,2025-12-28,8,68,0
48015,2015,Austin,12,2015-02-21,2015-12-27,4,31,4
48015,2016,Austin,18,2016-01-31,2016-12-29,6,61,10
48015,2017,Austin,26,2017-01-01,2017-12-20,8,76,1
48015,2018,Austin,15,2018-01-21,2018-12-01,9,52,8
48015,2019,Austin,13,2019-01-07,2019-10-15,18,63,22
48015,2020,Austin,23,2020-01-14,2020-12-30,12,91,20
48015,2021,Austin,20,2021-01-22,2022-01-01,9,73,16
48015,2022,Austin,22,2022-02-16,2022-12-30,13,90,10
48015,2023,Austin,22,2023-01-02,2023-12-24,18,123,31
48015,2024,Austin,22,2024-01-23,2024-12-25,13,93,45
48015,2025,Austin,17,2025-01-29,2025-12-28,8,64,28
48017,2015,Bailey,11,2015-01-19,2015-12-24,5,33,0
48017,2016,Bailey,11,2016-01-06,2016-12-04,9,44,0
48017,2017,Bailey,15,2017-01-10,2017-12-04,6,48,0
48017,2018,Bailey,10,2018-02-15,2018-10-08,8,33,0
48017,2019,Bailey,21,2019-01-07,2019-12-28,7,55,0
48017,2020,Bailey,11,2020-03-11,2020-11-24,10,47,0
48017,2021,Bailey,13,2021-01-20,2021-12-10,5,37,0
48017,2022,Bailey,18,2022-04-22,2023-01-02,7,55,0
48017,2023,Bailey,24,2023-01-10,2023-12-24,13,80,0
48017,2024,Bailey,16,2024-01-24,2024-12-30,11,57,0
48017,2025,Bailey,13,2025-02-26,2025-12-27,10,48,0
48019,2015,Bandera,15,2015-02-21,2015-11-27,8,42,0
48019,2016,Bandera,12,2016-02-19,2016-12-29,13,60,0
48019,2017,Bandera,21,2017-01-01,2017-12-05,8,61,0
48019,2018,Bandera,8,2018-02-15,2018-10-09,10,43,0
48019,2019,Bandera,16,2019-01-07,2019-12-28,7,58,0
48019,2020,Bandera,12,2020-01-14,2020-12-30,9,48,2
48019,2021,Bandera,11,2021-01-22,2022-01-01,8,37,0
48019,2022,Bandera,12,2022-03-05,2022-12-14,12,45,0
48019,2023,Bandera,16,2023-01-07,2023-12-24,7,53,0
48019,2024,Bandera,22,2024-02-09,2024-12-25,11,97,83
48019,2025,Bandera,18,2025-01-29,2025-12-28,7,71,71
48021,2015,Bastrop,18,2015-03-18,2015-12-26,8,71,0
48021,2016,Bastrop,16,2016-02-14,2016-12-28,14,84,0
48021,2017,Bastrop,26,2017-01-01,2017-12-05,10,96,0
48021,2018,Bastrop,22,2018-01-21,2018-12-27,9,76,0
48021,2019,Bastrop,16,2019-01-07,2019-12-28,22,91,0
48021,2020,Bastrop,19,2020-01-14,2020-12-29,13,76,0
48021,2021,Bastrop,19,2021-01-21,2021-12-31,9,71,0
48021,2022,Bastrop,18,2022-03-05,2022-12-13,15,97,1
48021,2023,Bastrop,21,2023-01-01,2023-12-23,16,115,0
48021,2024,Bastrop,24,2024-01-23,2024-12-25,7,102,0
48021,2025,Bastrop,23,2025-01-03,2025-12-28,8,85,0
48023,2015,Baylor,20,2015-01-27,2015-12-24,9,68,0
48023,2016,Baylor,22,2016-01-30,2016-12-26,11,93,0
48023,2017,Baylor,23,2017-01-10,2017-12-05,8,77,0
48023,2018,Baylor,18,2018-02-27,2018-12-02,8,68,0
48023,2019,Baylor,21,2019-01-06,2019-12-28,7,64,0
48023,2020,Baylor,17,2020-01-02,2020-11-20,7,48,0
48023,2021,Baylor,14,2021-01-19,2021-12-31,8,53,0
48023,2022,Baylor,18,2022-01-31,2022-12-13,9,74,0
48023,2023,Baylor,23,2023-01-01,2023-12-24,8,80,0
48023,2024,Baylor,28,2024-01-24,2024-12-30,13,107,0
48023,2025,Baylor,15,2025-01-29,2025-12-28,7,59,0
48025,2015,Bee,6,2015-05-10,2015-12-26,3,13,1
48025,2016,Bee,10,2016-02-20,2016-12-28,8,37,0
48025,2017,Bee,15,2017-01-01,2017-12-05,7,44,0
48025,2018,Bee,7,2018-02-16,2018-11-08,6,26,0
48025,2019,Bee,8,2019-02-03,2019-12-29,7,31,0
48025,2020,Bee,11,2020-01-14,2020-12-30,5,36,3
48025,2021,Bee,13,2021-01-22,2022-01-01,8,46,0
48025,2022,Bee,9,2022-04-12,2022-12-14,9,33,0
48025,2023,Bee,16,2023-01-02,2023-12-24,6,58,4
48025,2024,Bee,16,2024-01-26,2024-12-18,8,56,25
48025,2025,Bee,12,2025-01-04,2025-12-28,7,46,1
48027,2015,Bell,12,2015-01-27,2015-12-24,7,40,0
48027,2016,Bell,21,2016-02-19,2017-01-02,10,83,0
48027,2017,Bell,24,2017-01-10,2017-12-20,7,78,0
48027,2018,Bell,18,2018-01-20,2018-12-01,8,64,0
48027,2019,Bell,16,2019-01-07,2019-12-28,9,64,0
48027,2020,Bell,19,2020-01-01,2020-11-21,10,65,1
48027,2021,Bell,16,2021-01-21,2021-12-31,9,57,0
48027,2022,Bell,17,2022-03-28,2022-12-13,12,83,0
48027,2023,Bell,22,2023-01-01,2023-12-24,15,108,0
