county_fips,year,county_name,heatwave_events_started,first_event_start_date,last_event_end_date,longest_event_duration_days,heatwave_days,heatwave_days_imputed
48001,2015,Anderson,9,2015-03-17,2015-11-06,5,35,0
48001,2016,Anderson,11,2016-02-19,2016-12-28,15,63,0
48001,2017,Anderson,12,2017-01-10,2017-11-17,13,63,0
48001,2018,Anderson,10,2018-03-24,2018-10-08,9,48,0
48001,2019,Anderson,8,2019-02-03,2019-10-06,7,37,0
48001,2020,Anderson,10,2020-01-14,2020-12-29,7,42,0
48001,2021,Anderson,9,2021-01-22,2021-12-29,6,34,0
48001,2022,Anderson,11,2022-04-21,2022-12-13,9,58,0
48001,2023,Anderson,11,2023-01-01,2023-11-08,14,68,0
48001,2024,Anderson,12,2024-01-23,2024-12-26,5,41,0
48001,2025,Anderson,11,2025-02-03,2025-12-27,8,49,0
48003,2015,Andrews,3,2015-09-06,2015-12-12,4,10,0
48003,2016,Andrews,6,2016-02-18,2016-11-08,8,29,0
48003,2017,Andrews,6,2017-01-10,2017-12-04,5,23,0
48003,2018,Andrews,4,2018-03-23,2018-10-08,8,20,0
48003,2019,Andrews,8,2019-01-06,2019-10-03,5,29,3
48003,2020,Andrews,6,2020-03-17,2020-08-15,5,22,0
48003,2021,Andrews,5,2021-06-09,2021-12-29,8,21,0
48003,2022,Andrews,13,2022-03-27,2023-01-02,9,55,9
48003,2023,Andrews,13,2023-01-15,2023-11-08,10,63,0
48003,2024,Andrews,10,2024-02-25,2024-12-30,10,45,6
48003,2025,Andrews,6,2025-03-25,2025-12-27,7,28,2
48005,2015,Angelina,11,2015-03-18,2015-12-13,5,39,0
48005,2016,Angelina,16,2016-01-30,2016-12-28,8,70,0
48005,2017,Angelina,10,2017-01-10,2017-11-06,13,50,0
48005,2018,Angelina,8,2018-02-18,2018-10-09,9,40,0
48005,2019,Angelina,10,2019-02-04,2019-10-06,7,42,0
48005,2020,Angelina,11,2020-01-14,2020-09-15,7,53,0
48005,2021,Angelina,13,2021-01-19,2022-01-01,9,59,0
48005,2022,Angelina,14,2022-04-21,2023-01-03,11,66,0
48005,2023,Angelina,13,2023-01-16,2023-12-24,24,92,0
48005,2024,Angelina,12,2024-02-08,2024-12-17,9,68,0
48005,2025,Angelina,13,2025-02-03,2025-12-28,8,54,0
48007,2015,Aransas,6,2015-05-17,2015-12-26,4,20,0
48007,2016,Aransas,11,2016-02-20,2016-12-28,10,54,0
48007,2017,Aransas,12,2017-01-12,2017-11-07,6,51,0
48007,2018,Aransas,8,2018-02-15,2018-11-08,6,32,0
48007,2019,Aransas,7,2019-02-04,2019-10-03,13,38,0
48007,2020,Aransas,8,2020-01-13,2020-10-20,9,43,0
48007,2021,Aransas,11,2021-01-22,2022-01-01,9,46,0
48007,2022,Aransas,9,2022-04-20,2022-12-13,6,37,0
48007,2023,Aransas,13,2023-02-21,2023-12-23,9,64,0
48007,2024,Aransas,12,2024-02-08,2024-12-17,9,52,0
48007,2025,Aransas,14,2025-02-04,2025-12-28,9,70,0
48009,2015,Archer,3,2015-04-07,2015-12-13,5,12,12
48009,2016,Archer,7,2016-02-18,2016-12-28,9,30,11
48009,2017,Archer,6,2017-01-20,2017-12-04,5,22,12
48009,2018,Archer,7,2018-03-23,2018-10-08,8,36,36
48009,2019,Archer,8,2019-02-02,2019-12-28,9,36,36
48009,2020,Archer,7,2020-01-14,2020-08-14,5,24,24
48009,2021,Archer,7,2021-01-19,2021-12-29,7,32,32
