county_fips,year,county_name,heatwave_events_started,first_event_start_date,last_event_end_date,longest_event_duration_days,heatwave_days,heatwave_days_imputed
48001,2015,Anderson,10,2015-03-30,2015-12-27,5,39,0
48001,2016,Anderson,13,2016-02-19,2016-12-28,11,64,0
48001,2017,Anderson,11,2017-01-10,2017-11-17,8,55,0
48001,2018,Anderson,12,2018-03-24,2018-10-08,10,57,0
48001,2019,Anderson,7,2019-02-02,2019-12-28,7,33,0
48001,2020,Anderson,11,2020-01-14,2020-12-29,6,44,0
48001,2021,Anderson,7,2021-01-22,2021-12-29,7,26,0
48001,2022,Anderson,12,2022-04-21,2022-12-13,9,58,0
48001,2023,Anderson,12,2023-01-01,2023-12-23,14,74,0
48001,2024,Anderson,12,2024-01-23,2024-12-28,10,50,0
48001,2025,Anderson,10,2025-02-03,2025-12-27,9,47,0
48003,2015,Andrews,1,2015-09-06,2015-09-09,4,4,0
48003,2016,Andrews,4,2016-02-18,2016-11-07,12,25,0
48003,2017,Andrews,8,2017-01-10,2017-10-06,5,29,0
48003,2018,Andrews,8,2018-03-23,2018-12-01,8,33,0
48003,2019,Andrews,9,2019-01-06,2019-12-28,8,40,5
48003,2020,Andrews,7,2020-03-01,2020-08-15,5,26,0
48003,2021,Andrews,7,2021-02-02,2021-12-29,8,27,0
48003,2022,Andrews,13,2022-03-27,2023-01-04,9,64,9
48003,2023,Andrews,15,2023-01-15,2023-12-24,8,69,0
48003,2024,Andrews,14,2024-02-25,2024-12-30,9,58,6
48003,2025,Andrews,9,2025-03-25,2025-12-28,7,37,1
48005,2015,Angelina,13,2015-03-19,2015-12-26,5,44,0
48005,2016,Angelina,15,2016-01-30,2016-12-28,7,66,0
48005,2017,Angelina,13,2017-01-10,2017-11-17,13,60,0
48005,2018,Angelina,10,2018-03-16,2018-12-27,11,45,0
48005,2019,Angelina,12,2019-02-03,2019-11-30,7,49,0
48005,2020,Angelina,14,2020-01-14,2020-10-20,7,65,0
48005,2021,Angelina,13,2021-01-21,2022-01-01,9,55,0
48005,2022,Angelina,15,2022-04-30,2023-01-03,9,67,0
48005,2023,Angelina,14,2023-02-20,2023-12-24,24,97,0
48005,2024,Angelina,15,2024-02-08,2024-12-26,9,74,0
48005,2025,Angelina,12,2025-02-03,2025-12-28,8,52,0
48007,2015,Aransas,9,2015-04-06,2015-12-26,4,32,0
48007,2016,Aransas,11,2016-02-20,2016-12-29,9,51,0
48007,2017,Aransas,12,2017-01-10,2017-11-07,8,51,0
48007,2018,Aransas,11,2018-02-04,2018-12-27,6,39,0
48007,2019,Aransas,10,2019-02-03,2019-12-28,8,44,0
48007,2020,Aransas,9,2020-01-13,2020-10-22,11,50,0
48007,2021,Aransas,12,2021-01-22,2022-01-01,9,49,0
48007,2022,Aransas,8,2022-04-20,2022-12-13,13,42,0
48007,2023,Aransas,14,2023-02-21,2023-12-23,10,70,0
48007,2024,Aransas,14,2024-02-08,2024-12-26,10,70,0
48007,2025,Aransas,14,2025-02-04,2025-12-28,10,81,0
48009,2015,Archer,5,2015-02-08,2015-12-13,5,19,19
48009,2016,Archer,5,2016-02-18,2016-12-28,9,27,11
48009,2017,Archer,7,2017-01-20,2017-12-04,6,29,17
48009,2018,Archer,10,2018-03-23,2018-12-01,9,43,43
48009,2019,Archer,6,2019-01-06,2019-12-28,13,35,35
48009,2020,Archer,6,2020-01-14,2020-08-15,6,22,22
48009,2021,Archer,6,2021-01-19,2021-12-31,8,30,30
48009,2022,Archer,10,2022-04-21,2022-12-13,13,54,54
48009,2023,Archer,14,2023-01-01,2023-12-24,8,60,60
48009,2024,Archer,20,2024-01-24,2024-12-28,10,82,82
48009,2025,Archer,7,2025-01-29,2025-12-27,8,35,35
48011,2015,Armstrong,14,2015-01-26,2015-12-26,7,65,65
48011,2016,Armstrong,14,2016-02-18,2016-12-26,15,66,66
48011,2017,Armstrong,13,2017-01-10,2017-12-04,10,68,68
48011,2018,Armstrong,15,2018-03-23,2018-12-27,11,71,71
48011,2019,Armstrong,11,2019-01-06,2019-12-28,25,68,68
48011,2020,Armstrong,10,2020-03-08,2020-11-24,10,53,53
48011,2021,Armstrong,11,2021-01-21,2021-12-31,8,47,47
48011,2022,Armstrong,14,2022-04-21,2022-12-13,12,85,85
48011,2023,Armstrong,23,2023-01-01,2023-12-24,8,99,99
48011,2024,Armstrong,21,2024-01-23,2024-12-30,15,113,113
