,TMAX_P90_2D__w05,TMAX_P90_2D__w15,TMAX_P90_2D__month,TMAX_P90_2D__month_pm7,TMIN_P90_2D__w05,TMIN_P90_2D__w15,TMIN_P90_2D__month,TMIN_P90_2D__month_pm7,TMAX_P85_2D__w05,TMAX_P85_2D__w15,TMAX_P85_2D__month,TMAX_P85_2D__month_pm7,TMIN_P85_2D__w05,TMIN_P85_2D__w15,TMIN_P85_2D__month,TMIN_P85_2D__month_pm7,TMAX_P95_2D__w05,TMAX_P95_2D__w15,TMAX_P95_2D__month,TMAX_P95_2D__month_pm7,TMIN_P95_2D__w05,TMIN_P95_2D__w15,TMIN_P95_2D__month,TMIN_P95_2D__month_pm7,MHI_P90_2D__w05,MHI_P90_2D__w15,MHI_P90_2D__month,MHI_P90_2D__month_pm7,TMAX_P90_3D__w05,TMAX_P90_3D__w15,TMAX_P90_3D__month,TMAX_P90_3D__month_pm7,TMIN_P90_3D__w05,TMIN_P90_3D__w15,TMIN_P90_3D__month,TMIN_P90_3D__month_pm7,TMAX_P85_3D__w05,TMAX_P85_3D__w15,TMAX_P85_3D__month,TMAX_P85_3D__month_pm7,TMIN_P85_3D__w05,TMIN_P85_3D__w15,TMIN_P85_3D__month,TMIN_P85_3D__month_pm7,TMAX_P95_3D__w05,TMAX_P95_3D__w15,TMAX_P95_3D__month,TMAX_P95_3D__month_pm7,TMIN_P95_3D__w05,TMIN_P95_3D__w15,TMIN_P95_3D__month,TMIN_P95_3D__month_pm7,MHI_P90_3D__w05,MHI_P90_3D__w15,MHI_P90_3D__month,MHI_P90_3D__month_pm7
TMAX_P90_2D__w05,1.0,0.8637476908159256,0.6596717722648313,0.6454546159874001,0.25227983930102144,0.25037689040291566,0.2372071653448753,0.2341240836683363,0.6875547449634634,0.7093815123548676,0.6161238180386398,0.6227672093899148,0.25569387466402604,0.25548977531997186,0.24357067751381378,0.2424834435661203,0.5489995898885719,0.493669450188913,0.46147426742605435,0.41310051255320995,0.21094134386510818,0.20545572782968818,0.19041228005098704,0.18272133752461225,0.3910479522461272,0.3829272943101232,0.3471459457517084,0.33824035005469605,0.7499716412310323,0.665711703415699,0.5374804912269638,0.5137919870497775,0.23302011692891705,0.22848732019274978,0.2158046885057875,0.21185107813475484,0.6649725816766678,0.6723946436429934,0.5687295818627901,0.5655363237113682,0.2486407102526568,0.24735155130340472,0.23529803276506328,0.23312141069241615,0.38373341012015394,0.3392232315035383,0.32384898870183576,0.2834251594990034,0.17499763840748733,0.16736824131198172,0.15353485178313148,0.14607285039252893,0.3394416364191458,0.3279310868454838,0.29808180046453264,0.2832185719816382
TMAX_P90_2D__w15,0.8637476908159256,1.0,0.6817517335188674,0.674724183942461,0.24988758338667613,0.24980856644780788,0.23761961979144317,0.2349191782942308,0.6499853023222331,0.6730205460733895,0.610137464305766,0.6206480545730166,0.24992387718853082,0.25158389800862885,0.24053939836336394,0.23999964884095568,0.57964344674297,0.522116298600024,0.48941844694659614,0.4404589783495566,0.21244959156240306,0.20924222576603257,0.19446899861093572,0.18720445663204716,0.384336823466483,0.3831630231895979,0.34856660109640064,0.34174935282079755,0.6973095737246681,0.7452542013123045,0.5583911783883722,0.5405755481512412,0.23331803524197153,0.23039158242720661,0.21806301868317185,0.21456376380602343,0.639806092278072,0.6572917110893144,0.5704190211600966,0.5712191769293349,0.24552006138365756,0.2458505350071615,0.23453640868862516,0.23272934598322573,0.40558595299827455,0.3587703836321856,0.34355749604122615,0.30161861219674063,0.17797984390391755,0.1720002794228366,0.1579919832029013,0.15090930332178043,0.33838539406073675,0.33235988834013314,0.30235502483707155,0.2889551595286002
TMAX_P90_2D__month,0.6596717722648313,0.6817517335188674,1.0,0.8930689949208468,0.23835782697026464,0.23968582865945606,0.25934760504548077,0.25700344008750403,0.5857839583852841,0.6067215495205751,0.6742638096861995,0.7202272129311682,0.23745879936183736,0.23998313492490309,0.2590666126481697,0.25907880700307484,0.5174788277693815,0.4906188972641492,0.517659620301773,0.45012128988751415,0.20402876505087766,0.2026917881163916,0.21650451126192727,0.20859844337249564,0.3462617722860515,0.3446434103723899,0.39604406062515674,0.3881758280218338,0.5572416690907915,0.562908387785038,0.753505230919087,0.6682337826766962,0.2249517925902642,0.22351297380509308,0.24012207073651826,0.236969936507127,0.5627234705051918,0.5774627740010626,0.6597421049232558,0.6812180209049753,0.23483017058034136,0.23580224314416184,0.25541009086561456,0.2538489501466876,0.3734898044718188,0.34353898380133574,0.35989847240303835,0.30768294167782784,0.17212221858264837,0.16798130066682823,0.17713774765871335,0.1690458482282095,0.30493705648741476,0.2986883215582515,0.3467366051458174,0.32961132010560246
TMAX_P90_2D__month_pm7,0.6454546159874001,0.674724183942461,0.8930689949208468,1.0,0.23226645963412101,0.23419645370109765,0.2527480668083676,0.25227465585517633,0.5547054322876818,0.5802144595106802,0.6155896153433239,0.6576486621419223,0.22778204276681818,0.23042243083003952,0.24775966277850883,0.24895158917010005,0.5363211432731174,0.5151461505173296,0.5669997332731488,0.4930240669689571,0.20460369259072692,0.2043667328292853,0.21785741575609383,0.211759894293085,0.3357603261479385,0.3362388389985333,0.38403852173507647,0.3829712536336699,0.5558505449764621,0.5679311012192761,0.7173619288458197,0.742998420156343,0.22236692375774433,0.22136816339217488,0.23732905830353143,0.23601744808392208,0.5427413287059318,0.5622320612832947,0.6177287135206033,0.6462973832988353,0.2275894472713459,0.22881113450101168,0.24667420001027274,0.24661759959363574,0.3921366007282748,0.36441322446365676,0.39420176860419787,0.3370093764746917,0.1751743533887146,0.1718127989830395,0.18057407360821112,0.17405399842190128,0.30041110710421925,0.29618974366559675,0.34191810670943923,0.33142103058894185
TMIN_P90_2D__w05,0.25227983930102144,0.24988758338667613,0.23835782697026464,0.23226645963412101,1.0,0.8576360213973767,0.6904242456991172,0.6821004964583204,0.2723754567521574,0.2717004718642158,0.2638915257829368,0.26235136531331577,0.6832658468573383,0.7026534644746184,0.6250668035921995,0.6342829315802289,0.19598503318646468,0.18583797751508957,0.17228888675562382,0.1608951226109502,0.5279267587134302,0.48079058058261537,0.4686779430198548,0.4361465290427039,0.5008525201476883,0.49354664726688907,0.4404479028737613,0.43016717611985356,0.23510658573350968,0.23042132264056372,0.21715230395364052,0.20900422450211226,0.7495817240786202,0.6644680349855999,0.5687522619377089,0.5529590069284065,0.2670346290585532,0.26490550172179067,0.25490654205607477,0.25182569905901336,0.6625627928828709,0.6643588625208102,0.5876807003063259,0.5884284690709338,0.16243980955472598,0.1517457599027678,0.14048668773955555,0.12850734638577477,0.3682313574030929,0.33335418197738964,0.3300628461783464,0.3045525780269303,0.42255375164545855,0.40973078926446804,0.37485857202405765,0.3581543335472682
TMIN_P90_2D__w15,0.25037689040291566,0.24980856644780788,0.23968582865945606,0.23419645370109765,0.8576360213973767,1.0,0.7222915917123447,0.7170732061024422,0.26757833956593,0.2689981062475879,0.2631260934653608,0.2624267672871283,0.6503840524747081,0.6711547364476091,0.6229801363391289,0.6340729369146493,0.19730581234036484,0.18891696053008739,0.1752519150856976,0.1643608342131604,0.5535531099457535,0.5049886267521781,0.49583855888724204,0.46276796404730275,0.49197663656602547,0.4998060762766645,0.4486475353563092,0.4416145426114152,0.234847223873499,0.23173668718223173,0.2196222227583046,0.21193569725789743,0.6930598338467283,0.7483597066769587,0.5964970920516077,0.5819667789170987,0.26412698731331297,0.2642737023440865,0.25605185188962604,0.2535501990223095,0.6427841012843143,0.654526255279798,0.5945513394723327,0.596943760023103,0.16486991721365624,0.1549875984039685,0.14355566342118037,0.13155410498276632,0.38641140154998027,0.35013179828703284,0.34880794810203114,0.32258726225445955,0.4227174744454489,0.41969310008750277,0.38528593508500775,0.3707490490241388
TMIN_P90_2D__month,0.2372071653448753,0.23761961979144317,0.25934760504548077,0.2527480668083676,0.6904242456991172,0.7222915917123447,1.0,0.91351765274867,0.2535943063585068,0.25582559984400066,0.2833193897750287,0.28223536436268515,0.6096225541938134,0.6367941555188,0.6713982364980164,0.702694476667394,0.1879664537970301,0.18039870177845796,0.18921470174733881,0.17582690529743752,0.5065095799119362,0.4840743251969521,0.5058963902486863,0.46247640218039765,0.4405881254555202,0.4473107842405237,0.509588312379173,0.4977079859306117,0.22290450975097156,0.2210573142726606,0.23763669205233354,0.22847989101985985,0.5854400953128178,0.5959573307020101,0.7613494275230257,0.6975456098726244,0.2509835204582165,0.25204516328381044,0.27733744464219195,0.2741798211102725,0.5921768307040264,0.6098843769336229,0.6606162152099041,0.6743607543676964,0.15758267453512972,0.1486468195450692,0.15422274864505942,0.13985459352280238,0.3640878685674268,0.3400225772132572,0.35393869061726174,0.32209082810980444,0.38283877315828846,0.38075002069593533,0.4348072843876588,0.4131260870200669
TMIN_P90_2D__month_pm7,0.2341240836683363,0.2349191782942308,0.25700344008750403,0.25227465585517633,0.6821004964583204,0.7170732061024422,0.91351765274867,1.0,0.24715559451394975,0.24984491947132256,0.2767049461301004,0.2774971247215711,0.5872964186488658,0.6158185316190777,0.6311515437501029,0.6605717435997565,0.18908245293987933,0.18215510946390928,0.19144500258860733,0.17941393424839816,0.5220867796157951,0.5010927149502113,0.5381559272524951,0.49196717321000105,0.43353594815698837,0.44184513370626866,0.5014424005809577,0.4995141660783066,0.22285230999507152,0.22168904752396165,0.23860425035799826,0.2310713277160814,0.5887666011284625,0.6014370606284227,0.7328866322623606,0.7587022290224988,0.24718786725614192,0.24888696802278656,0.27411445590894584,0.27293092032663874,0.5798561496619877,0.6007741839431272,0.6341221455524929,0.6531403868507321,0.160679742760579,0.15204503263668484,0.15791618248494635,0.14432630699229268,0.37844340905999185,0.3545654489845012,0.37650832840699655,0.34262962061411134,0.38254592717337377,0.38188476947444616,0.43583057090239413,0.42187846317285865
TMAX_P85_2D__w05,0.6875547449634634,0.6499853023222331,0.5857839583852841,0.5547054322876818,0.2723754567521574,0.26757833956593,0.2535943063585068,0.24715559451394975,1.0,0.8883862453681559,0.6910114405523097,0.6785838028581938,0.29928588475024326,0.29723022346764244,0.28292681133310293,0.27898886566368825,0.377467273010883,0.3394247729208913,0.3296271446372089,0.2882888287628909,0.2012956370985115,0.19248899898612984,0.18070764462809918,0.17145345603744083,0.4054247001839302,0.3913591784235701,0.35431007509386736,0.336540392881533,0.5156465605164325,0.48443199270493376,0.44911194375546054,0.4168187528145813,0.2363175763169171,0.22995711143869893,0.219090290647212,0.21255556563548944,0.7806361814713046,0.7103343875233966,0.5800773725875324,0.5625639862094155,0.2759374024700165,0.2720021685915655,0.26007513937141474,0.2547949265786516,0.2638377269291225,0.23323454242209718,0.229435776324544,0.1970663227045025,0.15812083881837338,0.14912492588770065,0.13899601334309658,0.1310981466134671,0.3232110563690265,0.30853472501003615,0.2845963884923571,0.26445757815949483
TMAX_P85_2D__w15,0.7093815123548676,0.6730205460733895,0.6067215495205751,0.5802144595106802,0.2717004718642158,0.2689981062475879,0.25582559984400066,0.24984491947132256,0.8883862453681559,1.0,0.7072679158536259,0.6991093064018946,0.29626720373465765,0.29653762423095126,0.2825729551993424,0.27907456033219347,0.39077911107798563,0.351394996397605,0.34213302553027763,0.29849568954808575,0.20298048628986834,0.19623012779501187,0.1843399995749474,0.17505953763156332,0.4035780868704118,0.3961725147854374,0.3590411411742314,0.34213021166093033,0.532736672893948,0.5015713895306949,0.46589563792004374,0.43553822690150545,0.23763592651657134,0.23291362069387056,0.22222916826960068,0.21604968506019612,0.7305616321095681,0.7752105537750615,0.5940989280928987,0.5800829212020148,0.2749372058781072,0.2734842963298064,0.2612839321090111,0.2564021790720043,0.27314228217932474,0.241459839507093,0.23814963587486263,0.20403840898362774,0.16034369319639133,0.15270796540325138,0.14237070170533966,0.13442804824896556,0.324561880031725,0.314106938452056,0.2896991112538816,0.2698523898396922
