run_a,run_b,jaccard,n_axes_differing,axes_differing,single_axis,metric_a,metric_b,percentile_a,percentile_b,duration_a,duration_b,window_a,window_b
TMAX_P95_3D__month_pm7,TMIN_P95_3D__month_pm7,0.1775,1,metric,metric,TMAX,TMIN,95,95,3,3,month_pm7,month_pm7
TMAX_P95_3D__month,TMIN_P95_3D__month,0.1794,1,metric,metric,TMAX,TMIN,95,95,3,3,month,month
TMAX_P95_2D__month_pm7,TMIN_P95_2D__month_pm7,0.19,1,metric,metric,TMAX,TMIN,95,95,2,2,month_pm7,month_pm7
TMAX_P95_3D__w15,TMIN_P95_3D__w15,0.1913,1,metric,metric,TMAX,TMIN,95,95,3,3,w15,w15
TMAX_P95_3D__w05,TMIN_P95_3D__w05,0.1921,1,metric,metric,TMAX,TMIN,95,95,3,3,w05,w05
TMAX_P95_2D__month,TMIN_P95_2D__month,0.1949,1,metric,metric,TMAX,TMIN,95,95,2,2,month,month
TMAX_P95_2D__w15,TMIN_P95_2D__w15,0.1974,1,metric,metric,TMAX,TMIN,95,95,2,2,w15,w15
TMAX_P95_2D__w05,TMIN_P95_2D__w05,0.2,1,metric,metric,TMAX,TMIN,95,95,2,2,w05,w05
TMAX_P90_3D__w15,TMIN_P90_3D__w15,0.2358,1,metric,metric,TMAX,TMIN,90,90,3,3,w15,w15
TMAX_P90_3D__month_pm7,TMIN_P90_3D__month_pm7,0.237,1,metric,metric,TMAX,TMIN,90,90,3,3,month_pm7,month_pm7
TMAX_P90_3D__w05,TMIN_P90_3D__w05,0.2391,1,metric,metric,TMAX,TMIN,90,90,3,3,w05,w05
TMAX_P90_3D__month,TMIN_P90_3D__month,0.2403,1,metric,metric,TMAX,TMIN,90,90,3,3,month,month
TMAX_P90_2D__w15,TMIN_P90_2D__w15,0.2498,1,metric,metric,TMAX,TMIN,90,90,2,2,w15,w15
TMAX_P90_2D__w05,TMIN_P90_2D__w05,0.2523,1,metric,metric,TMAX,TMIN,90,90,2,2,w05,w05
TMAX_P90_2D__month_pm7,TMIN_P90_2D__month_pm7,0.2523,1,metric,metric,TMAX,TMIN,90,90,2,2,month_pm7,month_pm7
TMAX_P90_2D__month,TMIN_P90_2D__month,0.2593,1,metric,metric,TMAX,TMIN,90,90,2,2,month,month
TMAX_P85_3D__w15,TMIN_P85_3D__w15,0.2739,1,metric,metric,TMAX,TMIN,85,85,3,3,w15,w15
TMAX_P85_3D__w05,TMIN_P85_3D__w05,0.2761,1,metric,metric,TMAX,TMIN,85,85,3,3,w05,w05
TMAX_P85_3D__month_pm7,TMIN_P85_3D__month_pm7,0.2808,1,metric,metric,TMAX,TMIN,85,85,3,3,month_pm7,month_pm7
TMAX_P85_3D__month_pm7,TMAX_P95_3D__month_pm7,0.284,1,percentile,percentile,TMAX,TMAX,85,95,3,3,month_pm7,month_pm7
TMIN_P85_3D__month_pm7,TMIN_P95_3D__month_pm7,0.2853,1,percentile,percentile,TMIN,TMIN,85,95,3,3,month_pm7,month_pm7
TMAX_P85_3D__month,TMIN_P85_3D__month,0.287,1,metric,metric,TMAX,TMIN,85,85,3,3,month,month
TMAX_P85_2D__w15,TMIN_P85_2D__w15,0.2965,1,metric,metric,TMAX,TMIN,85,85,2,2,w15,w15
TMIN_P85_3D__w15,TMIN_P95_3D__w15,0.2981,1,percentile,percentile,TMIN,TMIN,85,95,3,3,w15,w15
TMIN_P85_3D__month,TMIN_P95_3D__month,0.2982,1,percentile,percentile,TMIN,TMIN,85,95,3,3,month,month
TMAX_P85_2D__w05,TMIN_P85_2D__w05,0.2993,1,metric,metric,TMAX,TMIN,85,85,2,2,w05,w05
TMAX_P85_2D__month_pm7,TMIN_P85_2D__month_pm7,0.3008,1,metric,metric,TMAX,TMIN,85,85,2,2,month_pm7,month_pm7
TMAX_P85_2D__month,TMIN_P85_2D__month,0.3086,1,metric,metric,TMAX,TMIN,85,85,2,2,month,month
TMAX_P85_3D__month,TMAX_P95_3D__month,0.3086,1,percentile,percentile,TMAX,TMAX,85,95,3,3,month,month
TMAX_P85_3D__w15,TMAX_P95_3D__w15,0.3115,1,percentile,percentile,TMAX,TMAX,85,95,3,3,w15,w15
TMIN_P85_3D__w05,TMIN_P95_3D__w05,0.318,1,percentile,percentile,TMIN,TMIN,85,95,3,3,w05,w05
TMAX_P85_2D__month_pm7,TMAX_P95_2D__month_pm7,0.3242,1,percentile,percentile,TMAX,TMAX,85,95,2,2,month_pm7,month_pm7
TMIN_P85_2D__month_pm7,TMIN_P95_2D__month_pm7,0.325,1,percentile,percentile,TMIN,TMIN,85,95,2,2,month_pm7,month_pm7
TMAX_P85_3D__w05,TMAX_P95_3D__w05,0.338,1,percentile,percentile,TMAX,TMAX,85,95,3,3,w05,w05
TMIN_P85_2D__w15,TMIN_P95_2D__w15,0.3389,1,percentile,percentile,TMIN,TMIN,85,95,2,2,w15,w15
TMIN_P85_2D__month,TMIN_P95_2D__month,0.3397,1,percentile,percentile,TMIN,TMIN,85,95,2,2,month,month
TMAX_P90_3D__month_pm7,MHI_P90_3D__month_pm7,0.345,1,metric,metric,TMAX,MHI,90,90,3,3,month_pm7,month_pm7
TMAX_P85_2D__month,TMAX_P95_2D__month,0.349,1,percentile,percentile,TMAX,TMAX,85,95,2,2,month,month
TMAX_P90_3D__w15,MHI_P90_3D__w15,0.3507,1,metric,metric,TMAX,MHI,90,90,3,3,w15,w15
TMAX_P85_2D__w15,TMAX_P95_2D__w15,0.3514,1,percentile,percentile,TMAX,TMAX,85,95,2,2,w15,w15
TMAX_P90_3D__month,MHI_P90_3D__month,0.3582,1,metric,metric,TMAX,MHI,90,90,3,3,month,month
TMAX_P90_3D__w05,MHI_P90_3D__w05,0.3592,1,metric,metric,TMAX,MHI,90,90,3,3,w05,w05
TMIN_P85_2D__w05,TMIN_P95_2D__w05,0.3607,1,percentile,percentile,TMIN,TMIN,85,95,2,2,w05,w05
TMAX_P85_2D__w05,TMAX_P95_2D__w05,0.3775,1,percentile,percentile,TMAX,TMAX,85,95,2,2,w05,w05
TMAX_P90_2D__month_pm7,MHI_P90_2D__month_pm7,0.383,1,metric,metric,TMAX,MHI,90,90,2,2,month_pm7,month_pm7
TMAX_P90_2D__w15,MHI_P90_2D__w15,0.3832,1,metric,metric,TMAX,MHI,90,90,2,2,w15,w15
TMAX_P90_2D__w05,MHI_P90_2D__w05,0.391,1,metric,metric,TMAX,MHI,90,90,2,2,w05,w05
TMAX_P90_2D__month,MHI_P90_2D__month,0.396,1,metric,metric,TMAX,MHI,90,90,2,2,month,month
TMIN_P90_3D__month_pm7,TMIN_P95_3D__month_pm7,0.4516,1,percentile,percentile,TMIN,TMIN,90,95,3,3,month_pm7,month_pm7
TMAX_P90_3D__month_pm7,TMAX_P95_3D__month_pm7,0.4536,1,percentile,percentile,TMAX,TMAX,90,95,3,3,month_pm7,month_pm7
TMIN_P90_3D__w05,MHI_P90_3D__w05,0.4621,1,metric,metric,TMIN,MHI,90,90,3,3,w05,w05
TMIN_P90_3D__w15,MHI_P90_3D__w15,0.4622,1,metric,metric,TMIN,MHI,90,90,3,3,w15,w15
TMIN_P90_3D__month,TMIN_P95_3D__month,0.4649,1,percentile,percentile,TMIN,TMIN,90,95,3,3,month,month
TMIN_P90_3D__month_pm7,MHI_P90_3D__month_pm7,0.4655,1,metric,metric,TMIN,MHI,90,90,3,3,month_pm7,month_pm7
TMIN_P90_3D__w15,TMIN_P95_3D__w15,0.4679,1,percentile,percentile,TMIN,TMIN,90,95,3,3,w15,w15
TMIN_P90_3D__month,MHI_P90_3D__month,0.473,1,metric,metric,TMIN,MHI,90,90,3,3,month,month
TMAX_P90_3D__month,TMAX_P95_3D__month,0.4776,1,percentile,percentile,TMAX,TMAX,90,95,3,3,month,month
TMAX_P90_3D__w15,TMAX_P95_3D__w15,0.4814,1,percentile,percentile,TMAX,TMAX,90,95,3,3,w15,w15
TMIN_P90_3D__w05,TMIN_P95_3D__w05,0.4912,1,percentile,percentile,TMIN,TMIN,90,95,3,3,w05,w05
TMIN_P90_2D__month_pm7,TMIN_P95_2D__month_pm7,0.492,1,percentile,percentile,TMIN,TMIN,90,95,2,2,month_pm7,month_pm7
TMAX_P90_2D__month_pm7,TMAX_P95_2D__month_pm7,0.493,1,percentile,percentile,TMAX,TMAX,90,95,2,2,month_pm7,month_pm7
TMIN_P90_2D__month_pm7,MHI_P90_2D__month_pm7,0.4995,1,metric,metric,TMIN,MHI,90,90,2,2,month_pm7,month_pm7
TMIN_P90_2D__w15,MHI_P90_2D__w15,0.4998,1,metric,metric,TMIN,MHI,90,90,2,2,w15,w15
TMIN_P90_2D__w05,MHI_P90_2D__w05,0.5009,1,metric,metric,TMIN,MHI,90,90,2,2,w05,w05
TMIN_P90_2D__w15,TMIN_P95_2D__w15,0.505,1,percentile,percentile,TMIN,TMIN,90,95,2,2,w15,w15
TMIN_P90_2D__month,TMIN_P95_2D__month,0.5059,1,percentile,percentile,TMIN,TMIN,90,95,2,2,month,month
TMIN_P90_2D__month,MHI_P90_2D__month,0.5096,1,metric,metric,TMIN,MHI,90,90,2,2,month,month
TMAX_P90_3D__w05,TMAX_P95_3D__w05,0.5117,1,percentile,percentile,TMAX,TMAX,90,95,3,3,w05,w05
TMAX_P90_2D__month,TMAX_P95_2D__month,0.5177,1,percentile,percentile,TMAX,TMAX,90,95,2,2,month,month
TMAX_P90_2D__w15,TMAX_P95_2D__w15,0.5221,1,percentile,percentile,TMAX,TMAX,90,95,2,2,w15,w15
TMIN_P90_2D__w05,TMIN_P95_2D__w05,0.5279,1,percentile,percentile,TMIN,TMIN,90,95,2,2,w05,w05
TMAX_P95_3D__w05,TMAX_P95_3D__month_pm7,0.5468,1,window,window,TMAX,TMAX,95,95,3,3,w05,month_pm7
TMAX_P90_2D__w05,TMAX_P95_2D__w05,0.549,1,percentile,percentile,TMAX,TMAX,90,95,2,2,w05,w05
MHI_P90_3D__w05,MHI_P90_3D__month_pm7,0.5725,1,window,window,MHI,MHI,90,90,3,3,w05,month_pm7
TMAX_P95_3D__w05,TMAX_P95_3D__month,0.5733,1,window,window,TMAX,TMAX,95,95,3,3,w05,month
TMIN_P95_3D__w05,TMIN_P95_3D__month_pm7,0.5806,1,window,window,TMIN,TMIN,95,95,3,3,w05,month_pm7
TMAX_P95_2D__w05,TMAX_P95_2D__month_pm7,0.5807,1,window,window,TMAX,TMAX,95,95,2,2,w05,month_pm7
MHI_P90_3D__w05,MHI_P90_3D__month,0.5846,1,window,window,MHI,MHI,90,90,3,3,w05,month
