axis,contrast_pair,from_run,to_run,from_value,to_value,days_from,days_to,days_ratio_hi_over_lo,pct_change,jaccard
duration,2 vs 3,TMAX_P95_3D__month_pm7,TMAX_P95_2D__month_pm7,3,2,32851,48059,1.4629,46.3,0.6836
duration,2 vs 3,TMAX_P95_3D__w15,TMAX_P95_2D__w15,3,2,38876,56576,1.4553,45.5,0.6871
duration,2 vs 3,TMIN_P95_3D__w15,TMIN_P95_2D__w15,3,2,42638,61496,1.4423,44.2,0.6933
duration,2 vs 3,TMAX_P95_3D__month,TMAX_P95_2D__month,3,2,38426,55270,1.4383,43.8,0.6952
duration,2 vs 3,TMIN_P95_3D__month_pm7,TMIN_P95_2D__month_pm7,3,2,39412,56590,1.4359,43.6,0.6964
duration,2 vs 3,TMIN_P95_3D__w05,TMIN_P95_2D__w05,3,2,47099,67525,1.4337,43.4,0.6975
duration,2 vs 3,TMAX_P95_3D__w05,TMAX_P95_2D__w05,3,2,43977,62917,1.4307,43.1,0.699
duration,2 vs 3,TMIN_P95_3D__month,TMIN_P95_2D__month,3,2,43309,61903,1.4293,42.9,0.6996
duration,2 vs 3,MHI_P90_3D__w15,MHI_P90_2D__w15,3,2,77785,110243,1.4173,41.7,0.7056
duration,2 vs 3,MHI_P90_3D__w05,MHI_P90_2D__w05,3,2,82824,116802,1.4102,41.0,0.7091
duration,2 vs 3,MHI_P90_3D__month_pm7,MHI_P90_2D__month_pm7,3,2,71012,99482,1.4009,40.1,0.7138
duration,2 vs 3,MHI_P90_3D__month,MHI_P90_2D__month,3,2,79886,110334,1.3811,38.1,0.724
duration,2 vs 3,TMAX_P90_3D__month_pm7,TMAX_P90_2D__month_pm7,3,2,72426,97478,1.3459,34.6,0.743
duration,2 vs 3,TMAX_P90_3D__w15,TMAX_P90_2D__w15,3,2,80755,108359,1.3418,34.2,0.7453
duration,2 vs 3,TMIN_P90_3D__w15,TMIN_P90_2D__w15,3,2,91133,121777,1.3363,33.6,0.7484
duration,2 vs 3,TMIN_P90_3D__w05,TMIN_P90_2D__w05,3,2,95876,127906,1.3341,33.4,0.7496
duration,2 vs 3,TMAX_P90_3D__w05,TMAX_P90_2D__w05,3,2,85949,114603,1.3334,33.3,0.75
duration,2 vs 3,TMAX_P90_3D__month,TMAX_P90_2D__month,3,2,80451,106769,1.3271,32.7,0.7535
duration,2 vs 3,TMIN_P90_3D__month_pm7,TMIN_P90_2D__month_pm7,3,2,87272,115028,1.318,31.8,0.7587
duration,2 vs 3,TMIN_P90_3D__month,TMIN_P90_2D__month,3,2,93161,122363,1.3135,31.3,0.7613
duration,2 vs 3,TMAX_P85_3D__w15,TMAX_P85_2D__w15,3,2,124812,161004,1.29,29.0,0.7752
duration,2 vs 3,TMAX_P85_3D__month_pm7,TMAX_P85_2D__month_pm7,3,2,115678,148222,1.2813,28.1,0.7804
duration,2 vs 3,TMAX_P85_3D__w05,TMAX_P85_2D__w05,3,2,130118,166682,1.281,28.1,0.7806
duration,2 vs 3,TMAX_P85_3D__month,TMAX_P85_2D__month,3,2,124531,158349,1.2716,27.2,0.7864
