run_id,definition_id,def_number,user_item,metric,metric_label,percentile,min_duration,window_key,window_label,window_order,counties_total,counties_with_any_heatwave_day,heatwave_days_QA_pooled,heatwave_events_QA_pooled,per_county_heatwave_days_median,per_county_heatwave_days_q25,per_county_heatwave_days_q75,per_county_heatwave_days_min,per_county_heatwave_days_max,event_duration_median_days,event_duration_q75_days,event_duration_max_days,pct_heatwave_days_jun_sep,pct_heatwave_days_imputed,artifact_county_days_set_missing,artifact_handling,baseline,season,absolute_floor,comparison_op,analysis_years,runtime_seconds
MHI_P90_2D__w05,MHI_P90_2D,9,7,MHI,daily-mean heat index,90,2,w05,centered 5-day window (+/-2 days),1,254,254,116802,35358,448.0,369.0,537.75,82,930,3.0,4.0,48,35.97,16.81,97,rh_clip_2023_03_01_set_missing,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,3.8
MHI_P90_2D__w15,MHI_P90_2D,9,7,MHI,daily-mean heat index,90,2,w15,centered 15-day window (+/-7 days),2,254,254,110243,33508,425.0,343.0,514.5,66,875,3.0,4.0,48,36.86,16.56,97,rh_clip_2023_03_01_set_missing,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,3.7
MHI_P90_2D__month,MHI_P90_2D,9,7,MHI,daily-mean heat index,90,2,month,calendar-month bucket,3,254,254,110334,33139,426.0,348.5,512.5,75,877,3.0,4.0,48,36.34,16.55,97,rh_clip_2023_03_01_set_missing,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,3.4
MHI_P90_2D__month_pm7,MHI_P90_2D,9,7,MHI,daily-mean heat index,90,2,month_pm7,calendar month +/- 7 days,4,254,254,99482,30244,384.0,312.0,470.5,60,832,3.0,4.0,48,38.66,16.31,97,rh_clip_2023_03_01_set_missing,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.9
MHI_P90_3D__w05,MHI_P90_3D,16,14,MHI,daily-mean heat index,90,3,w05,centered 5-day window (+/-2 days),1,254,254,82824,18369,313.0,245.25,392.75,63,709,4.0,5.0,48,38.16,17.45,97,rh_clip_2023_03_01_set_missing,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.4
MHI_P90_3D__w15,MHI_P90_3D,16,14,MHI,daily-mean heat index,90,3,w15,centered 15-day window (+/-7 days),2,254,254,77785,17279,290.0,228.0,376.75,48,697,4.0,5.0,48,39.21,17.38,97,rh_clip_2023_03_01_set_missing,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.5
MHI_P90_3D__month,MHI_P90_3D,16,14,MHI,daily-mean heat index,90,3,month,calendar-month bucket,3,254,254,79886,17915,301.0,234.0,378.75,54,679,4.0,5.0,48,38.09,17.31,97,rh_clip_2023_03_01_set_missing,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.1
MHI_P90_3D__month_pm7,MHI_P90_3D,16,14,MHI,daily-mean heat index,90,3,month_pm7,calendar month +/- 7 days,4,254,254,71012,16009,266.0,199.25,335.75,38,638,4.0,5.0,48,41.02,17.07,97,rh_clip_2023_03_01_set_missing,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.0
TMAX_P85_2D__w05,TMAX_P85_2D,5,3,TMAX,daily maximum temperature,85,2,w05,centered 5-day window (+/-2 days),1,254,254,166682,43751,636.5,557.25,742.25,234,1251,3.0,4.0,66,36.43,16.0,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,4.4
TMAX_P85_2D__w15,TMAX_P85_2D,5,3,TMAX,daily maximum temperature,85,2,w15,centered 15-day window (+/-7 days),2,254,254,161004,42631,617.0,541.0,720.75,215,1220,3.0,4.0,66,37.06,16.01,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,4.2
TMAX_P85_2D__month,TMAX_P85_2D,5,3,TMAX,daily maximum temperature,85,2,month,calendar-month bucket,3,254,254,158349,41318,605.5,533.0,707.25,207,1185,3.0,4.0,66,36.41,16.16,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,4.2
TMAX_P85_2D__month_pm7,TMAX_P85_2D,5,3,TMAX,daily maximum temperature,85,2,month_pm7,calendar month +/- 7 days,4,254,254,148222,39146,564.5,494.0,660.0,185,1074,3.0,4.0,69,37.36,16.03,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,4.0
