run_id,definition_id,metric_code,percentile,min_duration,window_key,heatwave_days_total,pct_Jan,pct_Feb,pct_Mar,pct_Apr,pct_May,pct_Jun,pct_Jul,pct_Aug,pct_Sep,pct_Oct,pct_Nov,pct_Dec,pct_jun_sep,pct_outside_jun_sep,peak_month
TMAX_P90_2D__w05,TMAX_P90_2D,TMAX,90,2,w05,114603,5.17,8.21,7.8,4.13,8.02,7.59,9.62,10.96,8.64,11.61,7.32,10.92,36.81,63.19,Oct
TMAX_P90_2D__w15,TMAX_P90_2D,TMAX,90,2,w15,108359,5.27,8.49,7.51,4.06,7.95,7.81,9.66,11.47,8.66,11.0,7.18,10.93,37.6,62.4,Aug
TMAX_P90_2D__month,TMAX_P90_2D,TMAX,90,2,month,106769,5.23,8.09,8.03,3.63,8.23,7.78,9.99,11.94,7.06,10.95,8.12,10.95,36.78,63.22,Aug
TMAX_P90_2D__month_pm7,TMAX_P90_2D,TMAX,90,2,month_pm7,97478,5.59,8.79,7.78,3.57,7.87,8.75,10.46,13.41,5.91,9.44,7.64,10.79,38.54,61.46,Aug
TMIN_P90_2D__w05,TMIN_P90_2D,TMIN,90,2,w05,127906,5.22,6.98,7.14,6.1,7.8,9.45,11.39,12.09,9.2,7.21,6.75,10.67,42.13,57.87,Aug
TMIN_P90_2D__w15,TMIN_P90_2D,TMIN,90,2,w15,121777,5.28,7.13,7.08,6.01,7.51,9.51,11.56,12.54,9.05,7.3,6.33,10.7,42.67,57.33,Aug
TMIN_P90_2D__month,TMIN_P90_2D,TMIN,90,2,month,122363,5.36,6.41,6.79,6.19,7.28,9.94,11.52,12.64,9.08,7.64,7.2,9.96,43.18,56.82,Aug
TMIN_P90_2D__month_pm7,TMIN_P90_2D,TMIN,90,2,month_pm7,115028,5.11,6.5,6.93,5.72,6.83,10.77,12.16,14.19,7.95,7.15,6.55,10.14,45.07,54.93,Aug
TMAX_P85_2D__w05,TMAX_P85_2D,TMAX,85,2,w05,166682,5.6,8.17,8.19,4.87,7.91,7.88,9.34,10.09,9.12,11.24,7.2,10.39,36.43,63.57,Oct
TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,161004,5.71,8.24,8.03,4.85,7.81,8.13,9.36,10.38,9.18,10.82,7.07,10.42,37.06,62.94,Oct
