logged_utc,state,run_id,definition_id,def_number,git_commit,input_fingerprint,heatwave_days_QA_pooled,heatwave_events_QA_pooled,per_county_heatwave_days_median,runtime_seconds
2026-07-29T20:50:24Z,TX,MHI_P90_2D__month,MHI_P90_2D,9,9e49806,md5:f0276ee5888539f9,110334,33139,426.0,3.4
2026-07-29T20:50:26Z,TX,MHI_P90_3D__month,MHI_P90_3D,16,9e49806,md5:f0276ee5888539f9,79886,17915,301.0,2.1
2026-07-29T20:50:32Z,TX,MHI_P90_2D__month_pm7,MHI_P90_2D,9,9e49806,md5:f0276ee5888539f9,99482,30244,384.0,2.9
2026-07-29T20:50:34Z,TX,MHI_P90_3D__month_pm7,MHI_P90_3D,16,9e49806,md5:f0276ee5888539f9,71012,16009,266.0,2.0
2026-07-29T20:51:10Z,TX,MHI_P90_2D__w05,MHI_P90_2D,9,9e49806,md5:f0276ee5888539f9,116802,35358,448.0,3.8
2026-07-29T20:51:12Z,TX,MHI_P90_3D__w05,MHI_P90_3D,16,9e49806,md5:f0276ee5888539f9,82824,18369,313.0,2.4
2026-07-29T20:51:54Z,TX,MHI_P90_2D__w15,MHI_P90_2D,9,9e49806,md5:f0276ee5888539f9,110243,33508,425.0,3.7
2026-07-29T20:51:56Z,TX,MHI_P90_3D__w15,MHI_P90_3D,16,9e49806,md5:f0276ee5888539f9,77785,17279,290.0,2.5
2026-07-29T20:52:04Z,TX,TMAX_P85_2D__month,TMAX_P85_2D,5,9e49806,md5:f0276ee5888539f9,158349,41318,605.5,4.2
2026-07-29T20:52:07Z,TX,TMAX_P85_3D__month,TMAX_P85_3D,12,9e49806,md5:f0276ee5888539f9,124531,24409,476.5,3.0
2026-07-29T20:52:11Z,TX,TMAX_P90_2D__month,TMAX_P90_2D,3,9e49806,md5:f0276ee5888539f9,106769,29755,403.5,3.2
2026-07-29T20:52:13Z,TX,TMAX_P90_3D__month,TMAX_P90_3D,10,9e49806,md5:f0276ee5888539f9,80451,16596,299.0,2.1
2026-07-29T20:52:15Z,TX,TMAX_P95_2D__month,TMAX_P95_2D,7,9e49806,md5:f0276ee5888539f9,55270,16898,207.5,2.0
2026-07-29T20:52:16Z,TX,TMAX_P95_3D__month,TMAX_P95_3D,14,9e49806,md5:f0276ee5888539f9,38426,8476,138.5,1.3
2026-07-29T20:52:24Z,TX,TMAX_P85_2D__month_pm7,TMAX_P85_2D,5,9e49806,md5:f0276ee5888539f9,148222,39146,564.5,4.0
2026-07-29T20:52:27Z,TX,TMAX_P85_3D__month_pm7,TMAX_P85_3D,12,9e49806,md5:f0276ee5888539f9,115678,22874,433.5,2.9
