county_fips,county_name,nws_office,nws_office_name,advisory_hi_f,extreme_warning_hi_f,threshold_source,verification_status,crosswalk_method
48327,Menard,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48189,Hale,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48011,Armstrong,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48057,Calhoun,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48077,Clay,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48361,Orange,LCH,Lake Charles,108,113,humid SE-TX edge (approx),approximate,nearest_office_approx
48177,Gonzales,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48147,Fannin,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48265,Kerr,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48391,Refugio,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48247,Jim Hogg,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48127,Dimmit,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48353,Nolan,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48041,Brazos,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48245,Jefferson,LCH,Lake Charles,108,113,humid SE-TX edge (approx),approximate,nearest_office_approx
48027,Bell,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48019,Bandera,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48215,Hidalgo,BRO,Brownsville/Rio Grande Valley,111,115,weather.gov/bro/mapcolors,documented,nearest_office_approx
48413,Schleicher,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48181,Grayson,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48107,Crosby,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48119,Delta,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48507,Zavala,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48397,Rockwall,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48133,Eastland,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48123,DeWitt,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48005,Angelina,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48309,McLennan,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48277,Lamar,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48289,Leon,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48433,Stonewall,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48311,McMullen,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48435,Sutton,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48157,Fort Bend,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48367,Parker,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48271,Kinney,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48149,Fayette,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48045,Briscoe,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48203,Harrison,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48383,Reagan,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48083,Coleman,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48357,Ochiltree,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48103,Crane,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48477,Washington,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48305,Lynn,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48333,Mills,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48359,Oldham,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48403,Sabine,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48223,Hopkins,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48225,Houston,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48029,Bexar,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48461,Upton,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48143,Erath,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48381,Randall,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48401,Rusk,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48099,Coryell,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48091,Comal,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48007,Aransas,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48237,Jack,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48211,Hemphill,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48417,Shackelford,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48407,San Jacinto,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48259,Kendall,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48481,Wharton,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48153,Floyd,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48255,Karnes,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48257,Kaufman,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48131,Duval,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48251,Johnson,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48159,Franklin,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48137,Edwards,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48473,Waller,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48323,Maverick,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48273,Kleberg,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48165,Gaines,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48317,Martin,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48037,Bowie,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48003,Andrews,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48375,Potter,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48169,Garza,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48055,Caldwell,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48369,Parmer,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48449,Titus,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48445,Terry,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48155,Foard,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48385,Real,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48065,Carson,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48275,Knox,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
