run_id,event_id,county_fips,county_name,start_date,end_date,event_duration_days,pct_event_days_imputed,county_temperature_imputation_pct,tmax_stations_min,tmax_stations_median,tmin_stations_min,min_exceedance_degF_in_event,median_exceedance_degF_in_event,figure,disposition
TMAX_P85_2D__w15,48_201_2023_013_TMAX_P85_2D,48201,Harris,2023-07-10,2023-09-13,66,0.0,0.0,3.0,3.0,3.0,0.0,3.946,fig10_long_event_TMAX_P85_2D__w15_48_201_2023_013_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_201_2023_007_TMAX_P85_3D,48201,Harris,2023-07-10,2023-09-13,66,0.0,0.0,3.0,3.0,3.0,0.0,3.946,fig10_long_event_TMAX_P85_3D__w15_48_201_2023_007_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMIN_P85_2D__w15,48_377_2023_017_TMIN_P85_2D,48377,Presidio,2023-06-17,2023-08-21,66,0.0,2.2,1.0,1.0,1.0,0.0,7.515,fig10_long_event_TMIN_P85_2D__w15_48_377_2023_017_TMIN_P85_2D.png,"RETAINED - inspected, not deleted"
TMIN_P85_3D__w15,48_377_2023_013_TMIN_P85_3D,48377,Presidio,2023-06-17,2023-08-21,66,0.0,2.2,1.0,1.0,1.0,0.0,7.515,fig10_long_event_TMIN_P85_3D__w15_48_377_2023_013_TMIN_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_319_2023_014_TMAX_P85_2D,48319,Mason,2023-07-09,2023-09-11,65,0.0,0.0,2.0,2.0,2.0,0.09,5.383,fig10_long_event_TMAX_P85_2D__w15_48_319_2023_014_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_319_2023_010_TMAX_P85_3D,48319,Mason,2023-07-09,2023-09-11,65,0.0,0.0,2.0,2.0,2.0,0.09,5.383,fig10_long_event_TMAX_P85_3D__w15_48_319_2023_010_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_339_2023_013_TMAX_P85_2D,48339,Montgomery,2023-07-09,2023-08-27,50,0.0,0.0,4.0,4.0,3.0,0.045,3.488,fig10_long_event_TMAX_P85_2D__w15_48_339_2023_013_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_407_2023_013_TMAX_P85_2D,48407,San Jacinto,2023-07-10,2023-08-28,50,100.0,100.0,,,,0.414,3.4,fig10_long_event_TMAX_P85_2D__w15_48_407_2023_013_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_473_2023_014_TMAX_P85_2D,48473,Waller,2023-07-10,2023-08-28,50,100.0,100.0,,,,0.428,3.386,fig10_long_event_TMAX_P85_2D__w15_48_473_2023_014_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_339_2023_007_TMAX_P85_3D,48339,Montgomery,2023-07-09,2023-08-27,50,0.0,0.0,4.0,4.0,3.0,0.045,3.488,fig10_long_event_TMAX_P85_3D__w15_48_339_2023_007_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_407_2023_010_TMAX_P85_3D,48407,San Jacinto,2023-07-10,2023-08-28,50,100.0,100.0,,,,0.414,3.4,fig10_long_event_TMAX_P85_3D__w15_48_407_2023_010_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_473_2023_012_TMAX_P85_3D,48473,Waller,2023-07-10,2023-08-28,50,100.0,100.0,,,,0.428,3.386,fig10_long_event_TMAX_P85_3D__w15_48_473_2023_012_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_015_2023_012_TMAX_P85_2D,48015,Austin,2023-07-11,2023-08-28,49,40.8,23.9,1.0,1.0,1.0,0.235,2.211,fig10_long_event_TMAX_P85_2D__w15_48_015_2023_012_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_185_2023_013_TMAX_P85_2D,48185,Grimes,2023-07-10,2023-08-27,49,100.0,100.0,,,,0.581,3.684,fig10_long_event_TMAX_P85_2D__w15_48_185_2023_013_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_471_2023_012_TMAX_P85_2D,48471,Walker,2023-07-11,2023-08-28,49,0.0,0.0,2.0,2.0,2.0,0.54,3.6,fig10_long_event_TMAX_P85_2D__w15_48_471_2023_012_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_015_2023_009_TMAX_P85_3D,48015,Austin,2023-07-11,2023-08-28,49,40.8,23.9,1.0,1.0,1.0,0.235,2.211,fig10_long_event_TMAX_P85_3D__w15_48_015_2023_009_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_185_2023_010_TMAX_P85_3D,48185,Grimes,2023-07-10,2023-08-27,49,100.0,100.0,,,,0.581,3.684,fig10_long_event_TMAX_P85_3D__w15_48_185_2023_010_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_471_2023_010_TMAX_P85_3D,48471,Walker,2023-07-11,2023-08-28,49,0.0,0.0,2.0,2.0,2.0,0.54,3.6,fig10_long_event_TMAX_P85_3D__w15_48_471_2023_010_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
MHI_P85_2D__w15,48_377_2023_016_MHI_P85_2D,48377,Presidio,2023-07-05,2023-08-21,48,0.0,2.2,1.0,1.0,1.0,2.49,5.902,fig10_long_event_MHI_P85_2D__w15_48_377_2023_016_MHI_P85_2D.png,"RETAINED - inspected, not deleted"
MHI_P90_2D__w15,48_377_2023_016_MHI_P90_2D,48377,Presidio,2023-07-05,2023-08-21,48,0.0,2.2,1.0,1.0,1.0,1.409,4.849,fig10_long_event_MHI_P90_2D__w15_48_377_2023_016_MHI_P90_2D.png,"RETAINED - inspected, not deleted"
MHI_P90_3D__w15,48_377_2023_008_MHI_P90_3D,48377,Presidio,2023-07-05,2023-08-21,48,0.0,2.2,1.0,1.0,1.0,1.409,4.849,fig10_long_event_MHI_P90_3D__w15_48_377_2023_008_MHI_P90_3D.png,"RETAINED - inspected, not deleted"
TMIN_P90_2D__w15,48_377_2023_016_TMIN_P90_2D,48377,Presidio,2023-07-05,2023-08-21,48,0.0,2.2,1.0,1.0,1.0,2.88,6.945,fig10_long_event_TMIN_P90_2D__w15_48_377_2023_016_TMIN_P90_2D.png,"RETAINED - inspected, not deleted"
TMIN_P90_3D__w15,48_377_2023_012_TMIN_P90_3D,48377,Presidio,2023-07-05,2023-08-21,48,0.0,2.2,1.0,1.0,1.0,2.88,6.945,fig10_long_event_TMIN_P90_3D__w15_48_377_2023_012_TMIN_P90_3D.png,"RETAINED - inspected, not deleted"
TMIN_P95_2D__w15,48_377_2023_011_TMIN_P95_2D,48377,Presidio,2023-07-05,2023-08-21,48,0.0,2.2,1.0,1.0,1.0,0.885,4.984,fig10_long_event_TMIN_P95_2D__w15_48_377_2023_011_TMIN_P95_2D.png,"RETAINED - inspected, not deleted"
TMIN_P95_3D__w15,48_377_2023_005_TMIN_P95_3D,48377,Presidio,2023-07-05,2023-08-21,48,0.0,2.2,1.0,1.0,1.0,0.885,4.984,fig10_long_event_TMIN_P95_3D__w15_48_377_2023_005_TMIN_P95_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_245_2023_013_TMAX_P85_2D,48245,Jefferson,2023-07-29,2023-09-13,47,0.0,0.0,3.0,3.0,3.0,0.36,3.0,fig10_long_event_TMAX_P85_2D__w15_48_245_2023_013_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_373_2023_011_TMAX_P85_2D,48373,Polk,2023-07-12,2023-08-27,47,100.0,86.0,,,,0.196,3.415,fig10_long_event_TMAX_P85_2D__w15_48_373_2023_011_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_457_2023_012_TMAX_P85_2D,48457,Tyler,2023-07-13,2023-08-28,47,0.0,0.0,3.0,3.0,3.0,1.02,5.4,fig10_long_event_TMAX_P85_2D__w15_48_457_2023_012_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_245_2023_010_TMAX_P85_3D,48245,Jefferson,2023-07-29,2023-09-13,47,0.0,0.0,3.0,3.0,3.0,0.36,3.0,fig10_long_event_TMAX_P85_3D__w15_48_245_2023_010_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_373_2023_009_TMAX_P85_3D,48373,Polk,2023-07-12,2023-08-27,47,100.0,86.0,,,,0.196,3.415,fig10_long_event_TMAX_P85_3D__w15_48_373_2023_009_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_457_2023_011_TMAX_P85_3D,48457,Tyler,2023-07-13,2023-08-28,47,0.0,0.0,3.0,3.0,3.0,1.02,5.4,fig10_long_event_TMAX_P85_3D__w15_48_457_2023_011_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P90_2D__w15,48_201_2023_015_TMAX_P90_2D,48201,Harris,2023-07-29,2023-09-13,47,0.0,0.0,3.0,3.0,3.0,0.06,3.954,fig10_long_event_TMAX_P90_2D__w15_48_201_2023_015_TMAX_P90_2D.png,"RETAINED - inspected, not deleted"
TMAX_P90_3D__w15,48_201_2023_009_TMAX_P90_3D,48201,Harris,2023-07-29,2023-09-13,47,0.0,0.0,3.0,3.0,3.0,0.06,3.954,fig10_long_event_TMAX_P90_3D__w15_48_201_2023_009_TMAX_P90_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_199_2023_019_TMAX_P85_2D,48199,Hardin,2023-07-14,2023-08-28,46,0.0,1.3,1.0,1.0,1.0,3.06,7.613,fig10_long_event_TMAX_P85_2D__w15_48_199_2023_019_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_351_2023_014_TMAX_P85_2D,48351,Newton,2023-07-13,2023-08-27,46,0.0,0.9,1.0,1.0,1.0,1.98,5.94,fig10_long_event_TMAX_P85_2D__w15_48_351_2023_014_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_199_2023_012_TMAX_P85_3D,48199,Hardin,2023-07-14,2023-08-28,46,0.0,1.3,1.0,1.0,1.0,3.06,7.613,fig10_long_event_TMAX_P85_3D__w15_48_199_2023_012_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_351_2023_008_TMAX_P85_3D,48351,Newton,2023-07-13,2023-08-27,46,0.0,0.9,1.0,1.0,1.0,1.98,5.94,fig10_long_event_TMAX_P85_3D__w15_48_351_2023_008_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P90_2D__w15,48_199_2023_018_TMAX_P90_2D,48199,Hardin,2023-07-14,2023-08-28,46,0.0,1.3,1.0,1.0,1.0,1.53,7.239,fig10_long_event_TMAX_P90_2D__w15_48_199_2023_018_TMAX_P90_2D.png,"RETAINED - inspected, not deleted"
TMAX_P90_2D__w15,48_245_2023_011_TMAX_P90_2D,48245,Jefferson,2023-07-30,2023-09-13,46,0.0,0.0,3.0,3.0,3.0,0.54,2.277,fig10_long_event_TMAX_P90_2D__w15_48_245_2023_011_TMAX_P90_2D.png,"RETAINED - inspected, not deleted"
TMAX_P90_2D__w15,48_351_2023_013_TMAX_P90_2D,48351,Newton,2023-07-13,2023-08-27,46,0.0,0.9,1.0,1.0,1.0,1.08,5.04,fig10_long_event_TMAX_P90_2D__w15_48_351_2023_013_TMAX_P90_2D.png,"RETAINED - inspected, not deleted"
TMAX_P90_2D__w15,48_457_2023_006_TMAX_P90_2D,48457,Tyler,2023-07-13,2023-08-27,46,0.0,0.0,3.0,3.0,3.0,0.6,4.466,fig10_long_event_TMAX_P90_2D__w15_48_457_2023_006_TMAX_P90_2D.png,"RETAINED - inspected, not deleted"
TMAX_P90_3D__w15,48_199_2023_007_TMAX_P90_3D,48199,Hardin,2023-07-14,2023-08-28,46,0.0,1.3,1.0,1.0,1.0,1.53,7.239,fig10_long_event_TMAX_P90_3D__w15_48_199_2023_007_TMAX_P90_3D.png,"RETAINED - inspected, not deleted"
TMAX_P90_3D__w15,48_245_2023_008_TMAX_P90_3D,48245,Jefferson,2023-07-30,2023-09-13,46,0.0,0.0,3.0,3.0,3.0,0.54,2.277,fig10_long_event_TMAX_P90_3D__w15_48_245_2023_008_TMAX_P90_3D.png,"RETAINED - inspected, not deleted"
TMAX_P90_3D__w15,48_351_2023_006_TMAX_P90_3D,48351,Newton,2023-07-13,2023-08-27,46,0.0,0.9,1.0,1.0,1.0,1.08,5.04,fig10_long_event_TMAX_P90_3D__w15_48_351_2023_006_TMAX_P90_3D.png,"RETAINED - inspected, not deleted"
TMAX_P90_3D__w15,48_457_2023_005_TMAX_P90_3D,48457,Tyler,2023-07-13,2023-08-27,46,0.0,0.0,3.0,3.0,3.0,0.6,4.466,fig10_long_event_TMAX_P90_3D__w15_48_457_2023_005_TMAX_P90_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_031_2023_015_TMAX_P85_2D,48031,Blanco,2023-07-08,2023-08-21,45,0.0,19.2,1.0,1.0,1.0,0.9,5.94,fig10_long_event_TMAX_P85_2D__w15_48_031_2023_015_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_053_2023_012_TMAX_P85_2D,48053,Burnet,2023-07-09,2023-08-22,45,0.0,0.0,3.0,3.0,3.0,0.12,4.56,fig10_long_event_TMAX_P85_2D__w15_48_053_2023_012_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_123_2023_014_TMAX_P85_2D,48123,DeWitt,2023-07-09,2023-08-22,45,0.0,1.4,1.0,2.0,1.0,0.9,3.06,fig10_long_event_TMAX_P85_2D__w15_48_123_2023_014_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_259_2022_012_TMAX_P85_2D,48259,Kendall,2022-06-30,2022-08-13,45,0.0,0.8,1.0,2.0,1.0,0.54,3.96,fig10_long_event_TMAX_P85_2D__w15_48_259_2022_012_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_031_2023_011_TMAX_P85_3D,48031,Blanco,2023-07-08,2023-08-21,45,0.0,19.2,1.0,1.0,1.0,0.9,5.94,fig10_long_event_TMAX_P85_3D__w15_48_031_2023_011_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_053_2023_010_TMAX_P85_3D,48053,Burnet,2023-07-09,2023-08-22,45,0.0,0.0,3.0,3.0,3.0,0.12,4.56,fig10_long_event_TMAX_P85_3D__w15_48_053_2023_010_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_123_2023_011_TMAX_P85_3D,48123,DeWitt,2023-07-09,2023-08-22,45,0.0,1.4,1.0,2.0,1.0,0.9,3.06,fig10_long_event_TMAX_P85_3D__w15_48_123_2023_011_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_259_2022_009_TMAX_P85_3D,48259,Kendall,2022-06-30,2022-08-13,45,0.0,0.8,1.0,2.0,1.0,0.54,3.96,fig10_long_event_TMAX_P85_3D__w15_48_259_2022_009_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_007_2023_014_TMAX_P85_2D,48007,Aransas,2023-07-09,2023-08-21,44,0.0,0.2,2.0,3.0,3.0,0.42,2.099,fig10_long_event_TMAX_P85_2D__w15_48_007_2023_014_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_259_2023_011_TMAX_P85_2D,48259,Kendall,2023-07-09,2023-08-21,44,0.0,0.8,2.0,2.0,2.0,1.44,5.76,fig10_long_event_TMAX_P85_2D__w15_48_259_2023_011_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
