state,run_id,definition_id,metric,percentile,minimum_duration,window,event_id,county_fips,county_name,climate_division,start_date,end_date,event_duration_days,months_touched,event_crosses_month,event_crosses_year,peak_day_date,peak_metric_value,peak_day_threshold_value,days_in_event,imputed_days_in_event,pct_event_days_imputed,temperature_imputation_pct,fully_imputed_county,data_complete,review_reason,disposition
TX,TMIN_P85_3D__w15,TMIN_P85_3D,TMIN,85,3,w15,48_115_2023_010_TMIN_P85_3D,48115,Dawson,High Plains,2023-07-17,2023-08-14,29,2,True,False,2023-08-12,79.17,69.98,29,29,100.0,65.2,False,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_3D__w15,TMIN_P85_3D,TMIN,85,3,w15,48_283_2019_010_TMIN_P85_3D,48283,La Salle,South Texas,2019-08-03,2019-08-31,29,1,False,False,2019-08-15,80.96,75.92,29,0,0.0,0.7,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,MHI_P85_2D__w15,MHI_P85_2D,MHI,85,2,w15,48_287_2019_012_MHI_P85_2D,48287,Lee,South Central,2019-08-04,2019-08-31,28,1,False,False,2019-08-26,107.67,94.26,28,0,0.0,2.2,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_037_2018_002_TMAX_P85_2D,48037,Bowie,East Texas,2018-05-07,2018-06-03,28,2,True,False,2018-06-02,96.53,91.4,28,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_183_2018_002_TMAX_P85_2D,48183,Gregg,East Texas,2018-05-07,2018-06-03,28,2,True,False,2018-06-02,95.96,92.24,28,0,0.0,0.1,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w15,TMAX_P85_3D,TMAX,85,3,w15,48_037_2018_001_TMAX_P85_3D,48037,Bowie,East Texas,2018-05-07,2018-06-03,28,2,True,False,2018-06-02,96.53,91.4,28,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w15,TMAX_P85_3D,TMAX,85,3,w15,48_183_2018_001_TMAX_P85_3D,48183,Gregg,East Texas,2018-05-07,2018-06-03,28,2,True,False,2018-06-02,95.96,92.24,28,0,0.0,0.1,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_2D__w15,TMIN_P85_2D,TMIN,85,2,w15,48_115_2019_015_TMIN_P85_2D,48115,Dawson,High Plains,2019-09-06,2019-10-03,28,2,True,False,2019-10-01,70.95,60.98,28,28,100.0,65.2,False,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_2D__w15,TMIN_P85_2D,TMIN,85,2,w15,48_421_2019_013_TMIN_P85_2D,48421,Sherman,High Plains,2019-09-06,2019-10-03,28,2,True,False,2019-09-12,67.47,62.06,28,28,100.0,58.9,False,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_2D__w15,TMIN_P85_2D,TMIN,85,2,w15,48_421_2022_010_TMIN_P85_2D,48421,Sherman,High Plains,2022-07-01,2022-07-28,28,1,False,False,2022-07-20,76.33,68.0,28,28,100.0,58.9,False,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_3D__w15,TMIN_P85_3D,TMIN,85,3,w15,48_115_2019_012_TMIN_P85_3D,48115,Dawson,High Plains,2019-09-06,2019-10-03,28,2,True,False,2019-10-01,70.95,60.98,28,28,100.0,65.2,False,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_3D__w15,TMIN_P85_3D,TMIN,85,3,w15,48_421_2019_009_TMIN_P85_3D,48421,Sherman,High Plains,2019-09-06,2019-10-03,28,2,True,False,2019-09-12,67.47,62.06,28,28,100.0,58.9,False,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_3D__w15,TMIN_P85_3D,TMIN,85,3,w15,48_421_2022_005_TMIN_P85_3D,48421,Sherman,High Plains,2022-07-01,2022-07-28,28,1,False,False,2022-07-20,76.33,68.0,28,28,100.0,58.9,False,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,MHI_P85_2D__w15,MHI_P85_2D,MHI,85,2,w15,48_131_2023_010_MHI_P85_2D,48131,Duval,South Texas,2023-06-10,2023-07-06,27,2,True,False,2023-06-22,111.65,96.98,27,0,0.0,0.7,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,MHI_P90_2D__w15,MHI_P90_2D,MHI,90,2,w15,48_287_2019_006_MHI_P90_2D,48287,Lee,South Central,2019-08-05,2019-08-31,27,1,False,False,2019-08-26,107.67,95.15,27,0,0.0,2.2,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,MHI_P90_3D__w15,MHI_P90_3D,MHI,90,3,w15,48_287_2019_005_MHI_P90_3D,48287,Lee,South Central,2019-08-05,2019-08-31,27,1,False,False,2019-08-26,107.67,95.15,27,0,0.0,2.2,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_215_2019_014_TMAX_P85_2D,48215,Hidalgo,Lower Valley,2019-08-04,2019-08-30,27,1,False,False,2019-08-13,105.3,101.3,27,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_457_2015_006_TMAX_P85_2D,48457,Tyler,East Texas,2015-07-17,2015-08-12,27,2,True,False,2015-08-11,104.22,97.26,27,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
