run_id,definition_id,window,evaluable_county_days,days_within_1e-9_degF_of_threshold,days_within_1e-6_degF_of_threshold,days_within_0.01_degF_of_threshold,candidate_days
MHI_P85_2D__month,MHI_P85_2D,month,1020475,0,0,958,209713
MHI_P85_2D__month_pm7,MHI_P85_2D,month_pm7,1020475,0,0,905,197729
MHI_P85_2D__w05,MHI_P85_2D,w05,1020475,0,1,950,217236
MHI_P85_2D__w15,MHI_P85_2D,w15,1020475,0,0,947,210697
MHI_P90_2D__month,MHI_P90_2D,month,1020475,0,0,837,144764
MHI_P90_3D__month,MHI_P90_3D,month,1020475,0,0,837,144764
MHI_P90_2D__month_pm7,MHI_P90_2D,month_pm7,1020475,0,1,723,132508
MHI_P90_3D__month_pm7,MHI_P90_3D,month_pm7,1020475,0,1,723,132508
MHI_P90_2D__w05,MHI_P90_2D,w05,1020475,0,0,784,153610
MHI_P90_3D__w05,MHI_P90_3D,w05,1020475,0,0,784,153610
MHI_P90_2D__w15,MHI_P90_2D,w15,1020475,0,0,754,146671
MHI_P90_3D__w15,MHI_P90_3D,w15,1020475,0,0,754,146671
MHI_P95_2D__month,MHI_P95_2D,month,1020475,0,1,505,77739
MHI_P95_2D__month_pm7,MHI_P95_2D,month_pm7,1020475,0,0,476,67673
MHI_P95_2D__w05,MHI_P95_2D,w05,1020475,0,1,551,86975
MHI_P95_2D__w15,MHI_P95_2D,w15,1020475,0,1,565,79241
TMAX_P85_2D__month,TMAX_P85_2D,month,1020572,14871,14871,15201,190148
TMAX_P85_3D__month,TMAX_P85_3D,month,1020572,14871,14871,15201,190148
TMAX_P85_2D__month_pm7,TMAX_P85_2D,month_pm7,1020572,14914,14914,15226,179303
TMAX_P85_3D__month_pm7,TMAX_P85_3D,month_pm7,1020572,14914,14914,15226,179303
TMAX_P85_2D__w05,TMAX_P85_2D,w05,1020572,13040,13040,13593,199925
TMAX_P85_3D__w05,TMAX_P85_3D,w05,1020572,13040,13040,13593,199925
TMAX_P85_2D__w15,TMAX_P85_2D,w15,1020572,15222,15222,15722,193776
TMAX_P85_3D__w15,TMAX_P85_3D,w15,1020572,15222,15222,15722,193776
TMAX_P90_2D__month,TMAX_P90_2D,month,1020572,12551,12551,12917,133324
TMAX_P90_3D__month,TMAX_P90_3D,month,1020572,12551,12551,12917,133324
TMAX_P90_2D__month_pm7,TMAX_P90_2D,month_pm7,1020572,12457,12457,12763,122788
TMAX_P90_3D__month_pm7,TMAX_P90_3D,month_pm7,1020572,12457,12457,12763,122788
TMAX_P90_2D__w05,TMAX_P90_2D,w05,1020572,10537,10537,11159,143319
TMAX_P90_3D__w05,TMAX_P90_3D,w05,1020572,10537,10537,11159,143319
TMAX_P90_2D__w15,TMAX_P90_2D,w15,1020572,12645,12645,13095,136561
TMAX_P90_3D__w15,TMAX_P90_3D,w15,1020572,12645,12645,13095,136561
TMAX_P95_2D__month,TMAX_P95_2D,month,1020572,8685,8685,8918,73661
TMAX_P95_3D__month,TMAX_P95_3D,month,1020572,8685,8685,8918,73661
TMAX_P95_2D__month_pm7,TMAX_P95_2D,month_pm7,1020572,8172,8172,8378,64944
TMAX_P95_3D__month_pm7,TMAX_P95_3D,month_pm7,1020572,8172,8172,8378,64944
TMAX_P95_2D__w05,TMAX_P95_2D,w05,1020572,6976,6976,7323,83799
TMAX_P95_3D__w05,TMAX_P95_3D,w05,1020572,6976,6976,7323,83799
TMAX_P95_2D__w15,TMAX_P95_2D,w15,1020572,8438,8438,8754,76157
TMAX_P95_3D__w15,TMAX_P95_3D,w15,1020572,8438,8438,8754,76157
TMIN_P85_2D__month,TMIN_P85_2D,month,1020572,18197,18197,18689,219281
TMIN_P85_3D__month,TMIN_P85_3D,month,1020572,18197,18197,18689,219281
TMIN_P85_2D__month_pm7,TMIN_P85_2D,month_pm7,1020572,18071,18071,18506,210531
TMIN_P85_3D__month_pm7,TMIN_P85_3D,month_pm7,1020572,18071,18071,18506,210531
TMIN_P85_2D__w05,TMIN_P85_2D,w05,1020572,16018,16018,16723,225641
TMIN_P85_3D__w05,TMIN_P85_3D,w05,1020572,16018,16018,16723,225641
TMIN_P85_2D__w15,TMIN_P85_2D,w15,1020572,18127,18127,18743,219383
TMIN_P85_3D__w15,TMIN_P85_3D,w15,1020572,18127,18127,18743,219383
TMIN_P90_2D__month,TMIN_P90_2D,month,1020572,16098,16098,16589,154200
