run_id,quantity,rebuilt,pipeline_published,result,note,checked_utc
MHI_P85_2D__month,heatwave_days,171115,171115,PASS,QA pooled county-days,2026-07-30T18:32:57Z
MHI_P85_2D__month,heatwave_events,47470,47470,PASS,QA pooled events,2026-07-30T18:32:57Z
MHI_P85_2D__month_pm7,heatwave_days,159534,159534,PASS,QA pooled county-days,2026-07-30T18:32:57Z
MHI_P85_2D__month_pm7,heatwave_events,44973,44973,PASS,QA pooled events,2026-07-30T18:32:57Z
MHI_P85_2D__w05,heatwave_days,177271,177271,PASS,QA pooled county-days,2026-07-30T18:32:57Z
MHI_P85_2D__w05,heatwave_events,49881,49881,PASS,QA pooled events,2026-07-30T18:32:57Z
MHI_P85_2D__w15,heatwave_days,170894,170894,PASS,QA pooled county-days,2026-07-30T18:32:57Z
MHI_P85_2D__w15,heatwave_events,48323,48323,PASS,QA pooled events,2026-07-30T18:32:57Z
MHI_P90_2D__month,heatwave_days,110334,110334,PASS,QA pooled county-days,2026-07-30T18:32:57Z
MHI_P90_2D__month,heatwave_events,33139,33139,PASS,QA pooled events,2026-07-30T18:32:57Z
MHI_P90_3D__month,heatwave_days,79886,79886,PASS,QA pooled county-days,2026-07-30T18:32:57Z
MHI_P90_3D__month,heatwave_events,17915,17915,PASS,QA pooled events,2026-07-30T18:32:57Z
MHI_P90_2D__month_pm7,heatwave_days,99482,99482,PASS,QA pooled county-days,2026-07-30T18:32:57Z
MHI_P90_2D__month_pm7,heatwave_events,30244,30244,PASS,QA pooled events,2026-07-30T18:32:57Z
MHI_P90_3D__month_pm7,heatwave_days,71012,71012,PASS,QA pooled county-days,2026-07-30T18:32:57Z
MHI_P90_3D__month_pm7,heatwave_events,16009,16009,PASS,QA pooled events,2026-07-30T18:32:57Z
MHI_P90_2D__w05,heatwave_days,116802,116802,PASS,QA pooled county-days,2026-07-30T18:32:57Z
MHI_P90_2D__w05,heatwave_events,35358,35358,PASS,QA pooled events,2026-07-30T18:32:57Z
MHI_P90_3D__w05,heatwave_days,82824,82824,PASS,QA pooled county-days,2026-07-30T18:32:57Z
MHI_P90_3D__w05,heatwave_events,18369,18369,PASS,QA pooled events,2026-07-30T18:32:57Z
MHI_P90_2D__w15,heatwave_days,110243,110243,PASS,QA pooled county-days,2026-07-30T18:32:57Z
MHI_P90_2D__w15,heatwave_events,33508,33508,PASS,QA pooled events,2026-07-30T18:32:57Z
MHI_P90_3D__w15,heatwave_days,77785,77785,PASS,QA pooled county-days,2026-07-30T18:32:57Z
MHI_P90_3D__w15,heatwave_events,17279,17279,PASS,QA pooled events,2026-07-30T18:32:57Z
MHI_P95_2D__month,heatwave_days,53273,53273,PASS,QA pooled county-days,2026-07-30T18:32:57Z
MHI_P95_2D__month,heatwave_events,17517,17517,PASS,QA pooled events,2026-07-30T18:32:57Z
MHI_P95_2D__month_pm7,heatwave_days,45107,45107,PASS,QA pooled county-days,2026-07-30T18:32:57Z
MHI_P95_2D__month_pm7,heatwave_events,15112,15112,PASS,QA pooled events,2026-07-30T18:32:57Z
MHI_P95_2D__w05,heatwave_days,58890,58890,PASS,QA pooled county-days,2026-07-30T18:32:57Z
MHI_P95_2D__w05,heatwave_events,19314,19314,PASS,QA pooled events,2026-07-30T18:32:57Z
MHI_P95_2D__w15,heatwave_days,52786,52786,PASS,QA pooled county-days,2026-07-30T18:32:57Z
MHI_P95_2D__w15,heatwave_events,17428,17428,PASS,QA pooled events,2026-07-30T18:32:57Z
TMAX_P85_2D__month,heatwave_days,158349,158349,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMAX_P85_2D__month,heatwave_events,41318,41318,PASS,QA pooled events,2026-07-30T18:32:57Z
TMAX_P85_3D__month,heatwave_days,124531,124531,PASS,QA pooled county-days,2026-07-30T18:32:57Z
