axis,run_a,run_b,definition_a,definition_b,value_a,value_b,metric,percentile,min_duration,window
window,MHI_P85_2D__w05,MHI_P85_2D__w15,MHI_P85_2D,MHI_P85_2D,w05,w15,MHI,85,2,
window,MHI_P85_2D__w05,MHI_P85_2D__month,MHI_P85_2D,MHI_P85_2D,w05,month,MHI,85,2,
window,MHI_P85_2D__w05,MHI_P85_2D__month_pm7,MHI_P85_2D,MHI_P85_2D,w05,month_pm7,MHI,85,2,
percentile,MHI_P85_2D__w05,MHI_P95_2D__w05,MHI_P85_2D,MHI_P95_2D,85,95,MHI,,2,w05
metric,MHI_P85_2D__w05,TMAX_P85_2D__w05,MHI_P85_2D,TMAX_P85_2D,MHI,TMAX,,85,2,w05
metric,MHI_P85_2D__w05,TMIN_P85_2D__w05,MHI_P85_2D,TMIN_P85_2D,MHI,TMIN,,85,2,w05
percentile,MHI_P85_2D__w05,MHI_P90_2D__w05,MHI_P85_2D,MHI_P90_2D,85,90,MHI,,2,w05
window,MHI_P85_2D__w15,MHI_P85_2D__month,MHI_P85_2D,MHI_P85_2D,w15,month,MHI,85,2,
window,MHI_P85_2D__w15,MHI_P85_2D__month_pm7,MHI_P85_2D,MHI_P85_2D,w15,month_pm7,MHI,85,2,
percentile,MHI_P85_2D__w15,MHI_P95_2D__w15,MHI_P85_2D,MHI_P95_2D,85,95,MHI,,2,w15
metric,MHI_P85_2D__w15,TMAX_P85_2D__w15,MHI_P85_2D,TMAX_P85_2D,MHI,TMAX,,85,2,w15
metric,MHI_P85_2D__w15,TMIN_P85_2D__w15,MHI_P85_2D,TMIN_P85_2D,MHI,TMIN,,85,2,w15
percentile,MHI_P85_2D__w15,MHI_P90_2D__w15,MHI_P85_2D,MHI_P90_2D,85,90,MHI,,2,w15
window,MHI_P85_2D__month,MHI_P85_2D__month_pm7,MHI_P85_2D,MHI_P85_2D,month,month_pm7,MHI,85,2,
percentile,MHI_P85_2D__month,MHI_P95_2D__month,MHI_P85_2D,MHI_P95_2D,85,95,MHI,,2,month
metric,MHI_P85_2D__month,TMAX_P85_2D__month,MHI_P85_2D,TMAX_P85_2D,MHI,TMAX,,85,2,month
metric,MHI_P85_2D__month,TMIN_P85_2D__month,MHI_P85_2D,TMIN_P85_2D,MHI,TMIN,,85,2,month
percentile,MHI_P85_2D__month,MHI_P90_2D__month,MHI_P85_2D,MHI_P90_2D,85,90,MHI,,2,month
percentile,MHI_P85_2D__month_pm7,MHI_P95_2D__month_pm7,MHI_P85_2D,MHI_P95_2D,85,95,MHI,,2,month_pm7
metric,MHI_P85_2D__month_pm7,TMAX_P85_2D__month_pm7,MHI_P85_2D,TMAX_P85_2D,MHI,TMAX,,85,2,month_pm7
metric,MHI_P85_2D__month_pm7,TMIN_P85_2D__month_pm7,MHI_P85_2D,TMIN_P85_2D,MHI,TMIN,,85,2,month_pm7
percentile,MHI_P85_2D__month_pm7,MHI_P90_2D__month_pm7,MHI_P85_2D,MHI_P90_2D,85,90,MHI,,2,month_pm7
window,MHI_P95_2D__w05,MHI_P95_2D__w15,MHI_P95_2D,MHI_P95_2D,w05,w15,MHI,95,2,
window,MHI_P95_2D__w05,MHI_P95_2D__month,MHI_P95_2D,MHI_P95_2D,w05,month,MHI,95,2,
window,MHI_P95_2D__w05,MHI_P95_2D__month_pm7,MHI_P95_2D,MHI_P95_2D,w05,month_pm7,MHI,95,2,
metric,MHI_P95_2D__w05,TMAX_P95_2D__w05,MHI_P95_2D,TMAX_P95_2D,MHI,TMAX,,95,2,w05
metric,MHI_P95_2D__w05,TMIN_P95_2D__w05,MHI_P95_2D,TMIN_P95_2D,MHI,TMIN,,95,2,w05
percentile,MHI_P95_2D__w05,MHI_P90_2D__w05,MHI_P95_2D,MHI_P90_2D,95,90,MHI,,2,w05
window,MHI_P95_2D__w15,MHI_P95_2D__month,MHI_P95_2D,MHI_P95_2D,w15,month,MHI,95,2,
window,MHI_P95_2D__w15,MHI_P95_2D__month_pm7,MHI_P95_2D,MHI_P95_2D,w15,month_pm7,MHI,95,2,
metric,MHI_P95_2D__w15,TMAX_P95_2D__w15,MHI_P95_2D,TMAX_P95_2D,MHI,TMAX,,95,2,w15
metric,MHI_P95_2D__w15,TMIN_P95_2D__w15,MHI_P95_2D,TMIN_P95_2D,MHI,TMIN,,95,2,w15
percentile,MHI_P95_2D__w15,MHI_P90_2D__w15,MHI_P95_2D,MHI_P90_2D,95,90,MHI,,2,w15
window,MHI_P95_2D__month,MHI_P95_2D__month_pm7,MHI_P95_2D,MHI_P95_2D,month,month_pm7,MHI,95,2,
metric,MHI_P95_2D__month,TMAX_P95_2D__month,MHI_P95_2D,TMAX_P95_2D,MHI,TMAX,,95,2,month
metric,MHI_P95_2D__month,TMIN_P95_2D__month,MHI_P95_2D,TMIN_P95_2D,MHI,TMIN,,95,2,month
percentile,MHI_P95_2D__month,MHI_P90_2D__month,MHI_P95_2D,MHI_P90_2D,95,90,MHI,,2,month
metric,MHI_P95_2D__month_pm7,TMAX_P95_2D__month_pm7,MHI_P95_2D,TMAX_P95_2D,MHI,TMAX,,95,2,month_pm7
metric,MHI_P95_2D__month_pm7,TMIN_P95_2D__month_pm7,MHI_P95_2D,TMIN_P95_2D,MHI,TMIN,,95,2,month_pm7
percentile,MHI_P95_2D__month_pm7,MHI_P90_2D__month_pm7,MHI_P95_2D,MHI_P90_2D,95,90,MHI,,2,month_pm7
window,TMAX_P90_2D__w05,TMAX_P90_2D__w15,TMAX_P90_2D,TMAX_P90_2D,w05,w15,TMAX,90,2,
window,TMAX_P90_2D__w05,TMAX_P90_2D__month,TMAX_P90_2D,TMAX_P90_2D,w05,month,TMAX,90,2,
window,TMAX_P90_2D__w05,TMAX_P90_2D__month_pm7,TMAX_P90_2D,TMAX_P90_2D,w05,month_pm7,TMAX,90,2,
metric,TMAX_P90_2D__w05,TMIN_P90_2D__w05,TMAX_P90_2D,TMIN_P90_2D,TMAX,TMIN,,90,2,w05
percentile,TMAX_P90_2D__w05,TMAX_P85_2D__w05,TMAX_P90_2D,TMAX_P85_2D,90,85,TMAX,,2,w05
percentile,TMAX_P90_2D__w05,TMAX_P95_2D__w05,TMAX_P90_2D,TMAX_P95_2D,90,95,TMAX,,2,w05
metric,TMAX_P90_2D__w05,MHI_P90_2D__w05,TMAX_P90_2D,MHI_P90_2D,TMAX,MHI,,90,2,w05
duration,TMAX_P90_2D__w05,TMAX_P90_3D__w05,TMAX_P90_2D,TMAX_P90_3D,2,3,TMAX,90,,w05
window,TMAX_P90_2D__w15,TMAX_P90_2D__month,TMAX_P90_2D,TMAX_P90_2D,w15,month,TMAX,90,2,
window,TMAX_P90_2D__w15,TMAX_P90_2D__month_pm7,TMAX_P90_2D,TMAX_P90_2D,w15,month_pm7,TMAX,90,2,
metric,TMAX_P90_2D__w15,TMIN_P90_2D__w15,TMAX_P90_2D,TMIN_P90_2D,TMAX,TMIN,,90,2,w15
percentile,TMAX_P90_2D__w15,TMAX_P85_2D__w15,TMAX_P90_2D,TMAX_P85_2D,90,85,TMAX,,2,w15
percentile,TMAX_P90_2D__w15,TMAX_P95_2D__w15,TMAX_P90_2D,TMAX_P95_2D,90,95,TMAX,,2,w15
metric,TMAX_P90_2D__w15,MHI_P90_2D__w15,TMAX_P90_2D,MHI_P90_2D,TMAX,MHI,,90,2,w15
duration,TMAX_P90_2D__w15,TMAX_P90_3D__w15,TMAX_P90_2D,TMAX_P90_3D,2,3,TMAX,90,,w15
window,TMAX_P90_2D__month,TMAX_P90_2D__month_pm7,TMAX_P90_2D,TMAX_P90_2D,month,month_pm7,TMAX,90,2,
metric,TMAX_P90_2D__month,TMIN_P90_2D__month,TMAX_P90_2D,TMIN_P90_2D,TMAX,TMIN,,90,2,month
percentile,TMAX_P90_2D__month,TMAX_P85_2D__month,TMAX_P90_2D,TMAX_P85_2D,90,85,TMAX,,2,month
percentile,TMAX_P90_2D__month,TMAX_P95_2D__month,TMAX_P90_2D,TMAX_P95_2D,90,95,TMAX,,2,month
metric,TMAX_P90_2D__month,MHI_P90_2D__month,TMAX_P90_2D,MHI_P90_2D,TMAX,MHI,,90,2,month
duration,TMAX_P90_2D__month,TMAX_P90_3D__month,TMAX_P90_2D,TMAX_P90_3D,2,3,TMAX,90,,month
metric,TMAX_P90_2D__month_pm7,TMIN_P90_2D__month_pm7,TMAX_P90_2D,TMIN_P90_2D,TMAX,TMIN,,90,2,month_pm7
percentile,TMAX_P90_2D__month_pm7,TMAX_P85_2D__month_pm7,TMAX_P90_2D,TMAX_P85_2D,90,85,TMAX,,2,month_pm7
percentile,TMAX_P90_2D__month_pm7,TMAX_P95_2D__month_pm7,TMAX_P90_2D,TMAX_P95_2D,90,95,TMAX,,2,month_pm7
metric,TMAX_P90_2D__month_pm7,MHI_P90_2D__month_pm7,TMAX_P90_2D,MHI_P90_2D,TMAX,MHI,,90,2,month_pm7
duration,TMAX_P90_2D__month_pm7,TMAX_P90_3D__month_pm7,TMAX_P90_2D,TMAX_P90_3D,2,3,TMAX,90,,month_pm7
window,TMIN_P90_2D__w05,TMIN_P90_2D__w15,TMIN_P90_2D,TMIN_P90_2D,w05,w15,TMIN,90,2,
window,TMIN_P90_2D__w05,TMIN_P90_2D__month,TMIN_P90_2D,TMIN_P90_2D,w05,month,TMIN,90,2,
window,TMIN_P90_2D__w05,TMIN_P90_2D__month_pm7,TMIN_P90_2D,TMIN_P90_2D,w05,month_pm7,TMIN,90,2,
percentile,TMIN_P90_2D__w05,TMIN_P85_2D__w05,TMIN_P90_2D,TMIN_P85_2D,90,85,TMIN,,2,w05
percentile,TMIN_P90_2D__w05,TMIN_P95_2D__w05,TMIN_P90_2D,TMIN_P95_2D,90,95,TMIN,,2,w05
metric,TMIN_P90_2D__w05,MHI_P90_2D__w05,TMIN_P90_2D,MHI_P90_2D,TMIN,MHI,,90,2,w05
duration,TMIN_P90_2D__w05,TMIN_P90_3D__w05,TMIN_P90_2D,TMIN_P90_3D,2,3,TMIN,90,,w05
window,TMIN_P90_2D__w15,TMIN_P90_2D__month,TMIN_P90_2D,TMIN_P90_2D,w15,month,TMIN,90,2,
window,TMIN_P90_2D__w15,TMIN_P90_2D__month_pm7,TMIN_P90_2D,TMIN_P90_2D,w15,month_pm7,TMIN,90,2,
percentile,TMIN_P90_2D__w15,TMIN_P85_2D__w15,TMIN_P90_2D,TMIN_P85_2D,90,85,TMIN,,2,w15
percentile,TMIN_P90_2D__w15,TMIN_P95_2D__w15,TMIN_P90_2D,TMIN_P95_2D,90,95,TMIN,,2,w15
metric,TMIN_P90_2D__w15,MHI_P90_2D__w15,TMIN_P90_2D,MHI_P90_2D,TMIN,MHI,,90,2,w15
duration,TMIN_P90_2D__w15,TMIN_P90_3D__w15,TMIN_P90_2D,TMIN_P90_3D,2,3,TMIN,90,,w15
window,TMIN_P90_2D__month,TMIN_P90_2D__month_pm7,TMIN_P90_2D,TMIN_P90_2D,month,month_pm7,TMIN,90,2,
percentile,TMIN_P90_2D__month,TMIN_P85_2D__month,TMIN_P90_2D,TMIN_P85_2D,90,85,TMIN,,2,month
percentile,TMIN_P90_2D__month,TMIN_P95_2D__month,TMIN_P90_2D,TMIN_P95_2D,90,95,TMIN,,2,month
metric,TMIN_P90_2D__month,MHI_P90_2D__month,TMIN_P90_2D,MHI_P90_2D,TMIN,MHI,,90,2,month
duration,TMIN_P90_2D__month,TMIN_P90_3D__month,TMIN_P90_2D,TMIN_P90_3D,2,3,TMIN,90,,month
percentile,TMIN_P90_2D__month_pm7,TMIN_P85_2D__month_pm7,TMIN_P90_2D,TMIN_P85_2D,90,85,TMIN,,2,month_pm7
percentile,TMIN_P90_2D__month_pm7,TMIN_P95_2D__month_pm7,TMIN_P90_2D,TMIN_P95_2D,90,95,TMIN,,2,month_pm7
metric,TMIN_P90_2D__month_pm7,MHI_P90_2D__month_pm7,TMIN_P90_2D,MHI_P90_2D,TMIN,MHI,,90,2,month_pm7
duration,TMIN_P90_2D__month_pm7,TMIN_P90_3D__month_pm7,TMIN_P90_2D,TMIN_P90_3D,2,3,TMIN,90,,month_pm7
window,TMAX_P85_2D__w05,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX_P85_2D,w05,w15,TMAX,85,2,
window,TMAX_P85_2D__w05,TMAX_P85_2D__month,TMAX_P85_2D,TMAX_P85_2D,w05,month,TMAX,85,2,
window,TMAX_P85_2D__w05,TMAX_P85_2D__month_pm7,TMAX_P85_2D,TMAX_P85_2D,w05,month_pm7,TMAX,85,2,
metric,TMAX_P85_2D__w05,TMIN_P85_2D__w05,TMAX_P85_2D,TMIN_P85_2D,TMAX,TMIN,,85,2,w05
percentile,TMAX_P85_2D__w05,TMAX_P95_2D__w05,TMAX_P85_2D,TMAX_P95_2D,85,95,TMAX,,2,w05
duration,TMAX_P85_2D__w05,TMAX_P85_3D__w05,TMAX_P85_2D,TMAX_P85_3D,2,3,TMAX,85,,w05
window,TMAX_P85_2D__w15,TMAX_P85_2D__month,TMAX_P85_2D,TMAX_P85_2D,w15,month,TMAX,85,2,
window,TMAX_P85_2D__w15,TMAX_P85_2D__month_pm7,TMAX_P85_2D,TMAX_P85_2D,w15,month_pm7,TMAX,85,2,
metric,TMAX_P85_2D__w15,TMIN_P85_2D__w15,TMAX_P85_2D,TMIN_P85_2D,TMAX,TMIN,,85,2,w15
percentile,TMAX_P85_2D__w15,TMAX_P95_2D__w15,TMAX_P85_2D,TMAX_P95_2D,85,95,TMAX,,2,w15
duration,TMAX_P85_2D__w15,TMAX_P85_3D__w15,TMAX_P85_2D,TMAX_P85_3D,2,3,TMAX,85,,w15
window,TMAX_P85_2D__month,TMAX_P85_2D__month_pm7,TMAX_P85_2D,TMAX_P85_2D,month,month_pm7,TMAX,85,2,
metric,TMAX_P85_2D__month,TMIN_P85_2D__month,TMAX_P85_2D,TMIN_P85_2D,TMAX,TMIN,,85,2,month
percentile,TMAX_P85_2D__month,TMAX_P95_2D__month,TMAX_P85_2D,TMAX_P95_2D,85,95,TMAX,,2,month
duration,TMAX_P85_2D__month,TMAX_P85_3D__month,TMAX_P85_2D,TMAX_P85_3D,2,3,TMAX,85,,month
metric,TMAX_P85_2D__month_pm7,TMIN_P85_2D__month_pm7,TMAX_P85_2D,TMIN_P85_2D,TMAX,TMIN,,85,2,month_pm7
percentile,TMAX_P85_2D__month_pm7,TMAX_P95_2D__month_pm7,TMAX_P85_2D,TMAX_P95_2D,85,95,TMAX,,2,month_pm7
duration,TMAX_P85_2D__month_pm7,TMAX_P85_3D__month_pm7,TMAX_P85_2D,TMAX_P85_3D,2,3,TMAX,85,,month_pm7
window,TMIN_P85_2D__w05,TMIN_P85_2D__w15,TMIN_P85_2D,TMIN_P85_2D,w05,w15,TMIN,85,2,
window,TMIN_P85_2D__w05,TMIN_P85_2D__month,TMIN_P85_2D,TMIN_P85_2D,w05,month,TMIN,85,2,
