state,definition_id,metric,percentile,minimum_duration,window,n_counties_all,n_counties_complete,n_counties_flagged,n_counties_fully_imputed,median_days_all,median_days_complete,median_days_flagged,median_days_fully_imputed,ratio_fully_imputed_over_complete,ratio_flagged_over_complete
TX,MHI_P85_2D,MHI,85,2,w15,254,188,66,22,677,680,665,723,1.064,0.978
TX,MHI_P90_2D,MHI,90,2,w15,254,188,66,22,425,425,402,471,1.108,0.946
TX,MHI_P90_3D,MHI,90,3,w15,254,188,66,22,290,293,274,340,1.16,0.937
TX,MHI_P95_2D,MHI,95,2,w15,254,188,66,22,195,199,180,215,1.08,0.907
TX,TMAX_P85_2D,TMAX,85,2,w15,254,188,66,22,617,630,563,618,0.981,0.893
TX,TMAX_P85_3D,TMAX,85,3,w15,254,188,66,22,470,483,434,511,1.059,0.9
TX,TMAX_P90_2D,TMAX,90,2,w15,254,188,66,22,403,422,364,406,0.962,0.864
TX,TMAX_P90_3D,TMAX,90,3,w15,254,188,66,22,297,309,266,310,1.002,0.859
TX,TMAX_P95_2D,TMAX,95,2,w15,254,188,66,22,210,222,179,202,0.91,0.804
TX,TMAX_P95_3D,TMAX,95,3,w15,254,188,66,22,141,144,117,139,0.969,0.816
TX,TMIN_P85_2D,TMIN,85,2,w15,254,188,66,22,701,700,701,832,1.189,1.002
TX,TMIN_P85_3D,TMIN,85,3,w15,254,188,66,22,556,547,566,689,1.261,1.036
TX,TMIN_P90_2D,TMIN,90,2,w15,254,188,66,22,471,476,450,551,1.157,0.944
TX,TMIN_P90_3D,TMIN,90,3,w15,254,188,66,22,348,348,348,451,1.297,1.001
TX,TMIN_P95_2D,TMIN,95,2,w15,254,188,66,22,231,234,206,275,1.177,0.882
TX,TMIN_P95_3D,TMIN,95,3,w15,254,188,66,22,156,156,152,195,1.246,0.974
