,MHI_P85_2D,MHI_P90_2D,MHI_P90_3D,MHI_P95_2D,TMAX_P85_2D,TMAX_P85_3D,TMAX_P90_2D,TMAX_P90_3D,TMAX_P95_2D,TMAX_P95_3D,TMIN_P85_2D,TMIN_P85_3D,TMIN_P90_2D,TMIN_P90_3D,TMIN_P95_2D,TMIN_P95_3D
MHI_P85_2D,1.0,0.6450957903729797,0.45516519011785084,0.30888152890095616,0.4486467140094889,0.39164933219129733,0.3792996147387138,0.3046041069401171,0.24208238686003844,0.17182742959929836,0.5546769859374931,0.4824116094239206,0.4874895174201418,0.386643029132379,0.3044185994297133,0.2155498756169343
MHI_P90_2D,0.6450957903729797,1.0,0.7055776784013498,0.4788149814500694,0.3961725147854374,0.3761116087371422,0.3831630231895979,0.33132122817411913,0.2881875535718423,0.2144131084525739,0.471123439667129,0.44879011498198046,0.4998060762766645,0.4277429189265837,0.38849677007284517,0.28565421778947636
MHI_P90_3D,0.45516519011785084,0.7055776784013498,1.0,0.5092296133618448,0.314106938452056,0.35415845091604226,0.33235988834013314,0.35072503280113143,0.28887162220495555,0.25789547459107426,0.360603595328697,0.4231711247180148,0.41969310008750277,0.4621770179614802,0.3994996081268463,0.36078874512684334
MHI_P95_2D,0.30888152890095616,0.4788149814500694,0.5092296133618448,1.0,0.2549970355325182,0.2734325704124362,0.29944117860512376,0.2991886212398334,0.3083770009331706,0.25743525021949076,0.2668065636188601,0.2869527496434369,0.3504169696594619,0.35173288250211326,0.423223492490473,0.35295618885580604
TMAX_P85_2D,0.4486467140094889,0.3961725147854374,0.314106938452056,0.2549970355325182,1.0,0.7752105537750615,0.6730205460733895,0.5015713895306949,0.351394996397605,0.241459839507093,0.29653762423095126,0.2734842963298064,0.2689981062475879,0.23291362069387056,0.19623012779501187,0.15270796540325138
TMAX_P85_3D,0.39164933219129733,0.3761116087371422,0.35415845091604226,0.2734325704124362,0.7752105537750615,1.0,0.6572917110893144,0.6470131077140019,0.4012854979759587,0.3114764605967375,0.27366262845545697,0.27386184198010005,0.2642737023440865,0.24864839860532084,0.21186969870427225,0.1769956912609212
TMAX_P90_2D,0.3792996147387138,0.3831630231895979,0.33235988834013314,0.29944117860512376,0.6730205460733895,0.6572917110893144,1.0,0.7452542013123045,0.522116298600024,0.3587703836321856,0.25158389800862885,0.2458505350071615,0.24980856644780788,0.23039158242720661,0.20924222576603257,0.1720002794228366
TMAX_P90_3D,0.3046041069401171,0.33132122817411913,0.35072503280113143,0.2991886212398334,0.5015713895306949,0.6470131077140019,0.7452542013123045,1.0,0.5450065813898546,0.48140672404185497,0.21842514928320825,0.23286576900191727,0.23173668718223173,0.2358308109312876,0.21768346444560482,0.19680510562355724
TMAX_P95_2D,0.24208238686003844,0.2881875535718423,0.28887162220495555,0.3083770009331706,0.351394996397605,0.4012854979759587,0.522116298600024,0.5450065813898546,1.0,0.6871464932126696,0.16839128983486815,0.17883720380826384,0.18891696053008739,0.1935887904841942,0.19741192219540393,0.1808800599878596
TMAX_P95_3D,0.17182742959929836,0.2144131084525739,0.25789547459107426,0.25743525021949076,0.241459839507093,0.3114764605967375,0.3587703836321856,0.48140672404185497,0.6871464932126696,1.0,0.13054767317155774,0.14973420897937512,0.1549875984039685,0.17606245363920903,0.18269763276656414,0.1912723233858475
TMIN_P85_2D,0.5546769859374931,0.471123439667129,0.360603595328697,0.2668065636188601,0.29653762423095126,0.27366262845545697,0.25158389800862885,0.21842514928320825,0.16839128983486815,0.13054767317155774,1.0,0.7882321818302066,0.6711547364476091,0.5022651617027843,0.3389255086968982,0.234992614801261
TMIN_P85_3D,0.4824116094239206,0.44879011498198046,0.4231711247180148,0.2869527496434369,0.2734842963298064,0.27386184198010005,0.2458505350071615,0.23286576900191727,0.17883720380826384,0.14973420897937512,0.7882321818302066,1.0,0.654526255279798,0.6372045867710809,0.38587265876995636,0.2981261362047266
TMIN_P90_2D,0.4874895174201418,0.4998060762766645,0.41969310008750277,0.3504169696594619,0.2689981062475879,0.2642737023440865,0.24980856644780788,0.23173668718223173,0.18891696053008739,0.1549875984039685,0.6711547364476091,0.654526255279798,1.0,0.7483597066769587,0.5049886267521781,0.35013179828703284
TMIN_P90_3D,0.386643029132379,0.4277429189265837,0.4621770179614802,0.35173288250211326,0.23291362069387056,0.24864839860532084,0.23039158242720661,0.2358308109312876,0.1935887904841942,0.17606245363920903,0.5022651617027843,0.6372045867710809,0.7483597066769587,1.0,0.5334204048827046,0.4678656469116566
TMIN_P95_2D,0.3044185994297133,0.38849677007284517,0.3994996081268463,0.423223492490473,0.19623012779501187,0.21186969870427225,0.20924222576603257,0.21768346444560482,0.19741192219540393,0.18269763276656414,0.3389255086968982,0.38587265876995636,0.5049886267521781,0.5334204048827046,1.0,0.6933459086769871
TMIN_P95_3D,0.2155498756169343,0.28565421778947636,0.36078874512684334,0.35295618885580604,0.15270796540325138,0.1769956912609212,0.1720002794228366,0.19680510562355724,0.1808800599878596,0.1912723233858475,0.234992614801261,0.2981261362047266,0.35013179828703284,0.4678656469116566,0.6933459086769871,1.0
