definition_id,metric,percentile,minimum_duration,window,month,heatwave_days,eligible_days,heatwave_days_per_1000_eligible_county_days,month_share_pct_of_all_heatwave_days,is_jun_sep
MHI_P85_2D,MHI,85,2,month,1,9742,86612,112.479,5.69,False
MHI_P85_2D,MHI,85,2,month,2,13028,78990,164.932,7.61,False
MHI_P85_2D,MHI,85,2,month,3,13984,86526,161.616,8.17,False
MHI_P85_2D,MHI,85,2,month,4,10663,83820,127.213,6.23,False
MHI_P85_2D,MHI,85,2,month,5,12694,86614,146.558,7.42,False
MHI_P85_2D,MHI,85,2,month,6,15959,83820,190.396,9.33,True
MHI_P85_2D,MHI,85,2,month,7,14865,86614,171.624,8.69,True
MHI_P85_2D,MHI,85,2,month,8,17379,86614,200.649,10.16,True
MHI_P85_2D,MHI,85,2,month,9,14397,83820,171.761,8.41,True
MHI_P85_2D,MHI,85,2,month,10,17227,86611,198.901,10.07,False
MHI_P85_2D,MHI,85,2,month,11,13843,83820,165.152,8.09,False
MHI_P85_2D,MHI,85,2,month,12,17334,86614,200.129,10.13,False
MHI_P85_2D,MHI,85,2,month_pm7,1,9350,86612,107.953,5.86,False
MHI_P85_2D,MHI,85,2,month_pm7,2,12836,78990,162.502,8.05,False
MHI_P85_2D,MHI,85,2,month_pm7,3,13376,86526,154.589,8.38,False
MHI_P85_2D,MHI,85,2,month_pm7,4,9686,83820,115.557,6.07,False
MHI_P85_2D,MHI,85,2,month_pm7,5,10972,86614,126.677,6.88,False
MHI_P85_2D,MHI,85,2,month_pm7,6,15731,83820,187.676,9.86,True
MHI_P85_2D,MHI,85,2,month_pm7,7,14761,86614,170.423,9.25,True
MHI_P85_2D,MHI,85,2,month_pm7,8,19182,86614,221.465,12.02,True
MHI_P85_2D,MHI,85,2,month_pm7,9,10984,83820,131.043,6.89,True
MHI_P85_2D,MHI,85,2,month_pm7,10,14527,86611,167.727,9.11,False
MHI_P85_2D,MHI,85,2,month_pm7,11,11927,83820,142.293,7.48,False
MHI_P85_2D,MHI,85,2,month_pm7,12,16202,86614,187.06,10.16,False
MHI_P85_2D,MHI,85,2,w05,1,9699,86612,111.982,5.47,False
MHI_P85_2D,MHI,85,2,w05,2,13940,78990,176.478,7.86,False
MHI_P85_2D,MHI,85,2,w05,3,15008,86526,173.451,8.47,False
MHI_P85_2D,MHI,85,2,w05,4,10797,83820,128.812,6.09,False
MHI_P85_2D,MHI,85,2,w05,5,13844,86614,159.836,7.81,False
MHI_P85_2D,MHI,85,2,w05,6,15750,83820,187.903,8.88,True
MHI_P85_2D,MHI,85,2,w05,7,15290,86614,176.53,8.63,True
MHI_P85_2D,MHI,85,2,w05,8,17088,86614,197.289,9.64,True
MHI_P85_2D,MHI,85,2,w05,9,16225,83820,193.57,9.15,True
MHI_P85_2D,MHI,85,2,w05,10,16920,86611,195.356,9.54,False
MHI_P85_2D,MHI,85,2,w05,11,13063,83820,155.846,7.37,False
MHI_P85_2D,MHI,85,2,w05,12,19647,86614,226.834,11.08,False
MHI_P85_2D,MHI,85,2,w15,1,9631,86612,111.197,5.64,False
MHI_P85_2D,MHI,85,2,w15,2,13696,78990,173.389,8.01,False
MHI_P85_2D,MHI,85,2,w15,3,14573,86526,168.423,8.53,False
MHI_P85_2D,MHI,85,2,w15,4,10168,83820,121.308,5.95,False
MHI_P85_2D,MHI,85,2,w15,5,12997,86614,150.057,7.61,False
MHI_P85_2D,MHI,85,2,w15,6,15512,83820,185.063,9.08,True
MHI_P85_2D,MHI,85,2,w15,7,14968,86614,172.813,8.76,True
MHI_P85_2D,MHI,85,2,w15,8,17133,86614,197.809,10.03,True
MHI_P85_2D,MHI,85,2,w15,9,15356,83820,183.202,8.99,True
MHI_P85_2D,MHI,85,2,w15,10,15974,86611,184.434,9.35,False
MHI_P85_2D,MHI,85,2,w15,11,11972,83820,142.83,7.01,False
MHI_P85_2D,MHI,85,2,w15,12,18914,86614,218.371,11.07,False
MHI_P90_2D,MHI,90,2,month,1,5897,86612,68.085,5.34,False
MHI_P90_2D,MHI,90,2,month,2,8831,78990,111.799,8.0,False
MHI_P90_2D,MHI,90,2,month,3,9141,86526,105.645,8.28,False
MHI_P90_2D,MHI,90,2,month,4,6466,83820,77.141,5.86,False
MHI_P90_2D,MHI,90,2,month,5,7867,86614,90.828,7.13,False
MHI_P90_2D,MHI,90,2,month,6,9840,83820,117.394,8.92,True
MHI_P90_2D,MHI,90,2,month,7,9456,86614,109.174,8.57,True
MHI_P90_2D,MHI,90,2,month,8,11830,86614,136.583,10.72,True
MHI_P90_2D,MHI,90,2,month,9,8970,83820,107.015,8.13,True
MHI_P90_2D,MHI,90,2,month,10,10441,86611,120.551,9.46,False
MHI_P90_2D,MHI,90,2,month,11,9389,83820,112.014,8.51,False
MHI_P90_2D,MHI,90,2,month,12,12206,86614,140.924,11.06,False
MHI_P90_2D,MHI,90,2,month_pm7,1,5486,86612,63.34,5.51,False
MHI_P90_2D,MHI,90,2,month_pm7,2,8698,78990,110.115,8.74,False
MHI_P90_2D,MHI,90,2,month_pm7,3,8509,86526,98.34,8.55,False
MHI_P90_2D,MHI,90,2,month_pm7,4,5252,83820,62.658,5.28,False
MHI_P90_2D,MHI,90,2,month_pm7,5,6230,86614,71.928,6.26,False
MHI_P90_2D,MHI,90,2,month_pm7,6,9659,83820,115.235,9.71,True
MHI_P90_2D,MHI,90,2,month_pm7,7,9335,86614,107.777,9.38,True
MHI_P90_2D,MHI,90,2,month_pm7,8,13132,86614,151.615,13.2,True
MHI_P90_2D,MHI,90,2,month_pm7,9,6337,83820,75.602,6.37,True
MHI_P90_2D,MHI,90,2,month_pm7,10,8036,86611,92.783,8.08,False
MHI_P90_2D,MHI,90,2,month_pm7,11,7679,83820,91.613,7.72,False
MHI_P90_2D,MHI,90,2,month_pm7,12,11129,86614,128.49,11.19,False
MHI_P90_2D,MHI,90,2,w05,1,6168,86612,71.214,5.28,False
MHI_P90_2D,MHI,90,2,w05,2,9684,78990,122.598,8.29,False
MHI_P90_2D,MHI,90,2,w05,3,9637,86526,111.377,8.25,False
MHI_P90_2D,MHI,90,2,w05,4,6351,83820,75.77,5.44,False
MHI_P90_2D,MHI,90,2,w05,5,9142,86614,105.549,7.83,False
MHI_P90_2D,MHI,90,2,w05,6,9779,83820,116.667,8.37,True
MHI_P90_2D,MHI,90,2,w05,7,9972,86614,115.132,8.54,True
MHI_P90_2D,MHI,90,2,w05,8,11574,86614,133.627,9.91,True
MHI_P90_2D,MHI,90,2,w05,9,10693,83820,127.571,9.15,True
MHI_P90_2D,MHI,90,2,w05,10,11095,86611,128.102,9.5,False
MHI_P90_2D,MHI,90,2,w05,11,8651,83820,103.209,7.41,False
MHI_P90_2D,MHI,90,2,w05,12,14056,86614,162.283,12.03,False
MHI_P90_2D,MHI,90,2,w15,1,6002,86612,69.298,5.44,False
MHI_P90_2D,MHI,90,2,w15,2,9620,78990,121.788,8.73,False
MHI_P90_2D,MHI,90,2,w15,3,8938,86526,103.298,8.11,False
MHI_P90_2D,MHI,90,2,w15,4,5895,83820,70.329,5.35,False
MHI_P90_2D,MHI,90,2,w15,5,8109,86614,93.622,7.36,False
MHI_P90_2D,MHI,90,2,w15,6,9448,83820,112.718,8.57,True
MHI_P90_2D,MHI,90,2,w15,7,9578,86614,110.583,8.69,True
MHI_P90_2D,MHI,90,2,w15,8,11497,86614,132.738,10.43,True
MHI_P90_2D,MHI,90,2,w15,9,10112,83820,120.639,9.17,True
MHI_P90_2D,MHI,90,2,w15,10,10169,86611,117.41,9.22,False
MHI_P90_2D,MHI,90,2,w15,11,7695,83820,91.804,6.98,False
MHI_P90_2D,MHI,90,2,w15,12,13180,86614,152.169,11.96,False
