pair,county_fips,a_only,shared,b_only,total_classified_by_either,disagreement_rate_pct,county_name,climate_division,temperature_imputation_pct,fully_imputed_county,data_complete
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48001,475,171,0,646,73.53,Anderson,East Texas,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48003,410,163,0,573,71.55,Andrews,High Plains,3.2,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48005,525,254,0,779,67.39,Angelina,East Texas,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48007,537,387,0,924,58.12,Aransas,South Central,0.2,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48009,398,96,0,494,80.57,Archer,North Central,89.4,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48011,609,304,0,913,66.7,Armstrong,High Plains,100.0,True,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48013,467,215,0,682,68.48,Atascosa,South Texas,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48015,500,199,0,699,71.53,Austin,South Central,23.9,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48017,388,127,0,515,75.34,Bailey,High Plains,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48019,462,215,0,677,68.24,Bandera,Edwards Plateau,16.4,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48021,556,220,0,776,71.65,Bastrop,South Central,0.3,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48023,463,201,0,664,69.73,Baylor,Low Rolling Plains,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48025,362,180,0,542,66.79,Bee,South Central,4.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48027,501,222,0,723,69.29,Bell,North Central,0.1,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48029,425,157,0,582,73.02,Bexar,South Central,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48031,439,242,0,681,64.46,Blanco,Edwards Plateau,19.2,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48033,366,145,0,511,71.62,Borden,Low Rolling Plains,23.2,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48035,366,98,0,464,78.88,Bosque,North Central,60.6,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48037,495,180,0,675,73.33,Bowie,East Texas,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48039,601,439,0,1040,57.79,Brazoria,Upper Coast,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48041,433,268,0,701,61.77,Brazos,East Texas,0.1,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48043,480,240,0,720,66.67,Brewster,Trans-Pecos,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48045,520,257,0,777,66.92,Briscoe,High Plains,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48047,326,51,0,377,86.47,Brooks,South Texas,70.2,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48049,459,193,0,652,70.4,Brown,North Central,9.7,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48051,460,196,0,656,70.12,Burleson,South Central,18.9,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48053,562,236,0,798,70.43,Burnet,Edwards Plateau,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48055,615,304,0,919,66.92,Caldwell,South Central,0.1,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48057,551,281,0,832,66.23,Calhoun,Upper Coast,0.1,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48059,343,150,0,493,69.57,Callahan,North Central,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48061,608,398,0,1006,60.44,Cameron,Lower Valley,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48063,556,162,0,718,77.44,Camp,East Texas,82.5,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48065,605,308,0,913,66.27,Carson,High Plains,77.3,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48067,487,205,0,692,70.38,Cass,East Texas,0.6,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48069,459,169,0,628,73.09,Castro,High Plains,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48071,473,217,0,690,68.55,Chambers,Upper Coast,0.3,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48073,308,120,0,428,71.96,Cherokee,East Texas,0.2,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48075,488,197,0,685,71.24,Childress,Low Rolling Plains,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48077,500,160,0,660,75.76,Clay,North Central,100.0,True,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48079,454,173,0,627,72.41,Cochran,High Plains,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48081,263,66,0,329,79.94,Coke,Edwards Plateau,0.3,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48083,521,237,0,758,68.73,Coleman,Low Rolling Plains,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48085,478,179,0,657,72.75,Collin,North Central,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48087,364,125,0,489,74.44,Collingsworth,Low Rolling Plains,70.7,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48089,636,279,0,915,69.51,Colorado,South Central,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48091,466,174,0,640,72.81,Comal,South Central,7.8,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48093,478,370,0,848,56.37,Comanche,North Central,3.9,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48095,300,132,0,432,69.44,Concho,Edwards Plateau,0.1,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48097,348,112,0,460,75.65,Cooke,North Central,0.6,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48099,521,281,0,802,64.96,Coryell,North Central,1.4,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48101,470,170,0,640,73.44,Cottle,Low Rolling Plains,0.3,False,True
