pair,county_fips,a_only,b_only,shared,total_classified_by_either,disagreement_rate_pct,county_name,climate_division,temperature_imputation_pct,fully_imputed_county,data_complete
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48001,75,95,302,472,36.02,Anderson,East Texas,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48003,81,94,273,448,39.06,Andrews,High Plains,3.2,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48005,83,82,444,609,27.09,Angelina,East Texas,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48007,126,113,557,796,30.03,Aransas,South Central,0.2,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48009,83,101,178,362,50.83,Archer,North Central,89.4,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48011,179,141,451,771,41.5,Armstrong,High Plains,100.0,True,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48013,75,88,347,510,31.96,Atascosa,South Texas,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48015,88,87,342,517,33.85,Austin,South Central,23.9,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48017,105,89,226,420,46.19,Bailey,High Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48019,85,72,358,515,30.49,Bandera,Edwards Plateau,16.4,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48021,86,91,389,566,31.27,Bastrop,South Central,0.3,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48023,105,127,306,538,43.12,Baylor,Low Rolling Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48025,47,54,300,401,25.19,Bee,South Central,4.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48027,91,107,353,551,35.93,Bell,North Central,0.1,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48029,65,82,283,430,34.19,Bexar,South Central,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48031,82,86,374,542,31.0,Blanco,Edwards Plateau,19.2,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48033,81,84,225,390,42.31,Borden,Low Rolling Plains,23.2,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48035,70,55,189,314,39.81,Bosque,North Central,60.6,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48037,86,139,313,538,41.82,Bowie,East Texas,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48039,110,112,632,854,26.0,Brazoria,Upper Coast,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48041,65,78,406,549,26.05,Brazos,East Texas,0.1,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48043,134,110,352,596,40.94,Brewster,Trans-Pecos,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48045,124,105,425,654,35.02,Briscoe,High Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48047,41,45,150,236,36.44,Brooks,South Texas,70.2,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48049,101,94,299,494,39.47,Brown,North Central,9.7,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48051,68,120,334,522,36.02,Burleson,South Central,18.9,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48053,110,117,398,625,36.32,Burnet,Edwards Plateau,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48055,91,110,519,720,27.92,Caldwell,South Central,0.1,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48057,108,126,451,685,34.16,Calhoun,Upper Coast,0.1,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48059,79,84,225,388,42.01,Callahan,North Central,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48061,130,106,588,824,28.64,Cameron,Lower Valley,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48063,96,98,342,536,36.19,Camp,East Texas,82.5,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48065,156,134,475,765,37.91,Carson,High Plains,77.3,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48067,78,97,338,513,34.11,Cass,East Texas,0.6,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48069,106,99,284,489,41.92,Castro,High Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48071,80,87,377,544,30.7,Chambers,Upper Coast,0.3,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48073,57,74,206,337,38.87,Cherokee,East Texas,0.2,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48075,118,82,325,525,38.1,Childress,Low Rolling Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48077,118,110,285,513,44.44,Clay,North Central,100.0,True,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48079,81,119,313,513,38.99,Cochran,High Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48081,63,61,114,238,52.1,Coke,Edwards Plateau,0.3,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48083,111,105,400,616,35.06,Coleman,Low Rolling Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48085,107,96,309,512,39.65,Collin,North Central,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48087,97,81,213,391,45.52,Collingsworth,Low Rolling Plains,70.7,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48089,126,129,444,699,36.48,Colorado,South Central,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48091,89,84,287,460,37.61,Comal,South Central,7.8,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48093,107,106,507,720,29.58,Comanche,North Central,3.9,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48095,53,77,194,324,40.12,Concho,Edwards Plateau,0.1,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48097,70,107,170,347,51.01,Cooke,North Central,0.6,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48099,98,93,447,638,29.94,Coryell,North Central,1.4,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48101,97,97,297,491,39.51,Cottle,Low Rolling Plains,0.3,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48103,104,98,398,600,33.67,Crane,Trans-Pecos,2.8,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48105,108,101,379,588,35.54,Crockett,Edwards Plateau,0.5,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48107,111,120,348,579,39.9,Crosby,High Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48109,103,86,270,459,41.18,Culberson,Trans-Pecos,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48111,139,141,444,724,38.67,Dallam,High Plains,62.4,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48113,91,97,242,430,43.72,Dallas,North Central,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48115,129,119,460,708,35.03,Dawson,High Plains,65.2,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48117,119,103,408,630,35.24,Deaf Smith,High Plains,11.0,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48119,142,115,339,596,43.12,Delta,North Central,100.0,True,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48121,106,105,319,530,39.81,Denton,North Central,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48123,78,103,613,794,22.8,DeWitt,South Central,1.4,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48125,95,104,280,479,41.54,Dickens,Low Rolling Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48127,56,65,288,409,29.58,Dimmit,South Texas,1.6,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48129,132,110,321,563,42.98,Donley,Low Rolling Plains,76.8,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48131,55,57,436,548,20.44,Duval,South Texas,0.7,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48133,152,145,433,730,40.68,Eastland,North Central,100.0,True,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48135,105,89,343,537,36.13,Ector,Trans-Pecos,0.3,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48137,88,69,225,382,41.1,Edwards,Edwards Plateau,13.8,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48139,77,91,303,471,35.67,Ellis,North Central,0.3,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48141,163,147,291,601,51.58,El Paso,Trans-Pecos,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48143,122,113,400,635,37.01,Erath,North Central,0.9,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48145,56,77,271,404,32.92,Falls,North Central,88.7,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48147,102,112,314,528,40.53,Fannin,North Central,0.1,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48149,78,104,315,497,36.62,Fayette,South Central,0.6,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48151,94,87,242,423,42.79,Fisher,Low Rolling Plains,58.6,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48153,116,80,264,460,42.61,Floyd,High Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48155,150,107,363,620,41.45,Foard,Low Rolling Plains,100.0,True,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48157,112,108,489,709,31.03,Fort Bend,Upper Coast,0.2,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48159,88,95,298,481,38.05,Franklin,East Texas,4.4,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48161,64,80,187,331,43.5,Freestone,East Texas,100.0,True,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48163,72,81,287,440,34.77,Frio,South Texas,48.8,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48165,130,109,372,611,39.12,Gaines,High Plains,0.2,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48167,135,123,626,884,29.19,Galveston,Upper Coast,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48169,103,86,376,565,33.45,Garza,Low Rolling Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48171,60,58,182,300,39.33,Gillespie,Edwards Plateau,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48173,143,116,348,607,42.67,Glasscock,High Plains,100.0,True,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48175,31,53,153,237,35.44,Goliad,South Central,0.7,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48177,98,109,410,617,33.55,Gonzales,South Central,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48179,99,91,277,467,40.69,Gray,High Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48181,99,107,347,553,37.25,Grayson,North Central,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48183,122,103,401,626,35.94,Gregg,East Texas,0.1,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48185,79,117,411,607,32.29,Grimes,East Texas,100.0,True,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48187,104,108,417,629,33.7,Guadalupe,South Central,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48189,102,107,272,481,43.45,Hale,High Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48191,99,102,249,450,44.67,Hall,Low Rolling Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48193,99,103,337,539,37.48,Hamilton,North Central,61.0,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48195,79,89,247,415,40.48,Hansford,High Plains,0.2,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48197,125,100,256,481,46.78,Hardeman,Low Rolling Plains,100.0,True,False
