pair,county_fips,a_only,shared,b_only,total_classified_by_either,disagreement_rate_pct,county_name,climate_division,temperature_imputation_pct,fully_imputed_county,data_complete
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48001,442,224,0,666,66.37,Anderson,East Texas,0.0,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48003,344,203,0,547,62.89,Andrews,High Plains,3.2,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48005,476,244,0,720,66.11,Angelina,East Texas,0.0,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48007,719,501,0,1220,58.93,Aransas,South Central,0.2,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48009,356,119,0,475,74.95,Archer,North Central,89.4,False,False
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48011,515,251,0,766,67.23,Armstrong,High Plains,100.0,True,False
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48013,495,228,0,723,68.46,Atascosa,South Texas,0.0,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48015,389,151,0,540,72.04,Austin,South Central,23.9,False,False
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48017,393,171,0,564,69.68,Bailey,High Plains,0.0,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48019,444,255,0,699,63.52,Bandera,Edwards Plateau,16.4,False,False
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48021,461,243,0,704,65.48,Bastrop,South Central,0.3,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48023,398,178,0,576,69.1,Baylor,Low Rolling Plains,0.0,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48025,447,225,0,672,66.52,Bee,South Central,4.0,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48027,454,260,0,714,63.59,Bell,North Central,0.1,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48029,494,268,0,762,64.83,Bexar,South Central,0.0,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48031,433,313,0,746,58.04,Blanco,Edwards Plateau,19.2,False,False
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48033,306,179,0,485,63.09,Borden,Low Rolling Plains,23.2,False,False
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48035,318,144,0,462,68.83,Bosque,North Central,60.6,False,False
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48037,390,179,0,569,68.54,Bowie,East Texas,0.0,False,True
