pair,county_fips,a_only,b_only,shared,total_classified_by_either,disagreement_rate_pct,county_name,climate_division,temperature_imputation_pct,fully_imputed_county,data_complete
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48001,229,179,198,606,67.33,Anderson,East Texas,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48003,150,127,227,504,54.96,Andrews,High Plains,3.2,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48005,213,278,249,740,66.35,Angelina,East Texas,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48007,489,253,430,1172,63.31,Aransas,South Central,0.2,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48009,144,123,138,405,65.93,Archer,North Central,89.4,False,False
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48011,136,243,387,766,49.48,Armstrong,High Plains,100.0,True,False
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48013,275,228,194,697,72.17,Atascosa,South Texas,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48015,139,234,196,569,65.55,Austin,South Central,23.9,False,False
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48017,142,134,197,473,58.35,Bailey,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48019,284,252,191,727,73.73,Bandera,Edwards Plateau,16.4,False,False
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48021,257,246,229,732,68.72,Bastrop,South Central,0.3,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48023,140,164,247,551,55.17,Baylor,Low Rolling Plains,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48025,257,139,208,604,65.56,Bee,South Central,4.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48027,246,205,239,690,65.36,Bell,North Central,0.1,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48029,351,159,189,699,72.96,Bexar,South Central,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48031,295,228,228,751,69.64,Blanco,Edwards Plateau,19.2,False,False
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48033,150,133,173,456,62.06,Borden,Low Rolling Plains,23.2,False,False
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48035,160,138,121,419,71.12,Bosque,North Central,60.6,False,False
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48037,174,199,200,573,65.1,Bowie,East Texas,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48039,250,393,349,992,64.82,Brazoria,Upper Coast,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48041,196,216,255,667,61.77,Brazos,East Texas,0.1,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48043,123,208,278,609,54.35,Brewster,Trans-Pecos,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48045,105,236,313,654,52.14,Briscoe,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48047,66,105,86,257,66.54,Brooks,South Texas,70.2,False,False
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48049,158,175,225,558,59.68,Brown,North Central,9.7,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48051,198,216,186,600,69.0,Burleson,South Central,18.9,False,False
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48053,253,231,277,761,63.6,Burnet,Edwards Plateau,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48055,358,296,314,968,67.56,Caldwell,South Central,0.1,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48057,261,297,262,820,68.05,Calhoun,Upper Coast,0.1,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48059,163,111,193,467,58.67,Callahan,North Central,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48061,283,246,472,1001,52.85,Cameron,Lower Valley,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48063,161,220,218,599,63.61,Camp,East Texas,82.5,False,False
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48065,54,311,320,685,53.28,Carson,High Plains,77.3,False,False
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48067,109,215,201,525,61.71,Cass,East Texas,0.6,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48069,83,156,234,473,50.53,Castro,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48071,89,276,181,546,66.85,Chambers,Upper Coast,0.3,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48073,143,126,137,406,66.26,Cherokee,East Texas,0.2,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48075,145,182,261,588,55.61,Childress,Low Rolling Plains,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48077,134,200,203,537,62.2,Clay,North Central,100.0,True,False
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48079,116,143,251,510,50.78,Cochran,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48081,204,73,104,381,72.7,Coke,Edwards Plateau,0.3,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48083,180,197,314,691,54.56,Coleman,Low Rolling Plains,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48085,165,219,197,581,66.09,Collin,North Central,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48087,68,146,164,378,56.61,Collingsworth,Low Rolling Plains,70.7,False,False
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48089,112,393,177,682,74.05,Colorado,South Central,0.0,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48091,226,200,176,602,70.76,Comal,South Central,7.8,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48093,173,208,406,787,48.41,Comanche,North Central,3.9,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48095,237,91,156,484,67.77,Concho,Edwards Plateau,0.1,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48097,149,103,137,389,64.78,Cooke,North Central,0.6,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48099,213,293,252,758,66.75,Coryell,North Central,1.4,False,True
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,48101,162,145,249,556,55.22,Cottle,Low Rolling Plains,0.3,False,True
