pair,county_fips,a_only,b_only,shared,total_classified_by_either,disagreement_rate_pct,county_name,climate_division,temperature_imputation_pct,fully_imputed_county,data_complete
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48001,234,267,193,694,72.19,Anderson,East Texas,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48003,223,190,154,567,72.84,Andrews,High Plains,3.2,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48005,261,363,201,825,75.64,Angelina,East Texas,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48007,669,265,250,1184,78.89,Aransas,South Central,0.2,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48009,169,192,113,474,76.16,Archer,North Central,89.4,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48011,247,346,276,869,68.24,Armstrong,High Plains,100.0,True,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48013,277,371,192,840,77.14,Atascosa,South Texas,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48015,163,385,172,720,76.11,Austin,South Central,23.9,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48017,246,245,93,584,84.08,Bailey,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48019,377,333,98,808,87.87,Bandera,Edwards Plateau,16.4,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48021,259,455,227,941,75.88,Bastrop,South Central,0.3,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48023,195,305,192,692,72.25,Baylor,Low Rolling Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48025,354,187,111,652,82.98,Bee,South Central,4.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48027,241,300,244,785,68.92,Bell,North Central,0.1,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48029,377,269,163,809,79.85,Bexar,South Central,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48031,368,289,155,812,80.91,Blanco,Edwards Plateau,19.2,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48033,176,199,147,522,71.84,Borden,Low Rolling Plains,23.2,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48035,143,244,138,525,73.71,Bosque,North Central,60.6,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48037,228,287,146,661,77.91,Bowie,East Texas,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48039,350,501,249,1100,77.36,Brazoria,Upper Coast,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48041,234,258,217,709,69.39,Brazos,East Texas,0.1,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48043,141,368,260,769,66.19,Brewster,Trans-Pecos,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48045,235,300,183,718,74.51,Briscoe,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48047,100,220,52,372,86.02,Brooks,South Texas,70.2,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48049,208,301,175,684,74.42,Brown,North Central,9.7,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48051,244,286,140,670,79.1,Burleson,South Central,18.9,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48053,284,318,246,848,70.99,Burnet,Edwards Plateau,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48055,381,388,291,1060,72.55,Caldwell,South Central,0.1,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48057,346,348,177,871,79.68,Calhoun,Upper Coast,0.1,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48059,176,188,180,544,66.91,Callahan,North Central,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48061,417,288,338,1043,67.59,Cameron,Lower Valley,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48063,221,332,158,711,77.78,Camp,East Texas,82.5,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48065,143,506,231,880,73.75,Carson,High Plains,77.3,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48067,163,349,147,659,77.69,Cass,East Texas,0.6,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48069,180,323,137,640,78.59,Castro,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48071,134,410,136,680,80.0,Chambers,Upper Coast,0.3,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48073,159,215,121,495,75.56,Cherokee,East Texas,0.2,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48075,236,237,170,643,73.56,Childress,Low Rolling Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48077,129,332,208,669,68.91,Clay,North Central,100.0,True,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48079,244,214,123,581,78.83,Cochran,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48081,254,143,54,451,88.03,Coke,Edwards Plateau,0.3,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48083,234,341,260,835,68.86,Coleman,Low Rolling Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48085,183,366,179,728,75.41,Collin,North Central,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48087,149,231,83,463,82.07,Collingsworth,Low Rolling Plains,70.7,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48089,119,653,170,942,81.95,Colorado,South Central,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48091,241,345,161,747,78.45,Comal,South Central,7.8,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48093,303,255,276,834,66.91,Comanche,North Central,3.9,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48095,236,161,157,554,71.66,Concho,Edwards Plateau,0.1,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48097,163,212,123,498,75.3,Cooke,North Central,0.6,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48099,236,359,229,824,72.21,Coryell,North Central,1.4,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48101,236,215,175,626,72.04,Cottle,Low Rolling Plains,0.3,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48103,274,296,193,763,74.71,Crane,Trans-Pecos,2.8,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48105,321,302,177,800,77.88,Crockett,Edwards Plateau,0.5,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48107,239,302,210,751,72.04,Crosby,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48109,40,472,169,681,75.18,Culberson,Trans-Pecos,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48111,297,285,225,807,72.12,Dallam,High Plains,62.4,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48113,167,272,213,652,67.33,Dallas,North Central,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48115,134,613,207,954,78.3,Dawson,High Plains,65.2,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48117,252,336,167,755,77.88,Deaf Smith,High Plains,11.0,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48119,214,375,222,811,72.63,Delta,North Central,100.0,True,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48121,217,290,221,728,69.64,Denton,North Central,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48123,482,353,299,1134,73.63,DeWitt,South Central,1.4,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48125,243,234,124,601,79.37,Dickens,Low Rolling Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48127,302,277,159,738,78.46,Dimmit,South Texas,1.6,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48129,145,428,148,721,79.47,Donley,Low Rolling Plains,76.8,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48131,280,255,177,712,75.14,Duval,South Texas,0.7,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48133,196,365,311,872,64.33,Eastland,North Central,100.0,True,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48135,171,361,228,760,70.0,Ector,Trans-Pecos,0.3,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48137,256,271,101,628,83.92,Edwards,Edwards Plateau,13.8,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48139,245,229,217,691,68.6,Ellis,North Central,0.3,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48141,395,307,118,820,85.61,El Paso,Trans-Pecos,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48143,270,294,258,822,68.61,Erath,North Central,0.9,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48145,243,161,182,586,68.94,Falls,North Central,88.7,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48147,218,319,167,704,76.28,Fannin,North Central,0.1,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48149,306,311,227,844,73.1,Fayette,South Central,0.6,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48151,182,214,144,540,73.33,Fisher,Low Rolling Plains,58.6,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48153,175,248,115,538,78.62,Floyd,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48155,234,289,252,775,67.48,Foard,Low Rolling Plains,100.0,True,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48157,318,410,251,979,74.36,Fort Bend,Upper Coast,0.2,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48159,199,191,159,549,71.04,Franklin,East Texas,4.4,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48161,179,202,138,519,73.41,Freestone,East Texas,100.0,True,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48163,155,525,132,812,83.74,Frio,South Texas,48.8,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48165,170,418,193,781,75.29,Gaines,High Plains,0.2,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48167,488,236,282,1006,71.97,Galveston,Upper Coast,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48169,271,222,210,703,70.13,Garza,Low Rolling Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48171,256,241,108,605,82.15,Gillespie,Edwards Plateau,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48173,144,356,249,749,66.76,Glasscock,High Plains,100.0,True,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48175,71,350,43,464,90.73,Goliad,South Central,0.7,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48177,401,380,246,1027,76.05,Gonzales,South Central,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48179,267,185,128,580,77.93,Gray,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48181,211,233,216,660,67.27,Grayson,North Central,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48183,222,379,207,808,74.38,Gregg,East Texas,0.1,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48185,272,360,290,922,68.55,Grimes,East Texas,100.0,True,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48187,437,344,262,1043,74.88,Guadalupe,South Central,0.0,False,True
