pair,month,a_only,shared,b_only,disagreement_rate_pct
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,1,6933,2698,0,71.99
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,2,8147,5549,0,59.48
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,3,10833,3740,0,74.34
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,4,7962,2206,0,78.3
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,5,9494,3503,0,73.05
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,6,11412,4100,0,73.57
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,7,10375,4593,0,69.31
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,8,11484,5649,0,67.03
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,9,10563,4793,0,68.79
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,10,11576,4398,0,72.47
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,11,8039,3933,0,67.15
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,12,11290,7624,0,59.69
