pair,month,a_only,b_only,shared,disagreement_rate_pct
MHI_P90_2D_w15_vs_MHI_P90_2D_month,1,429,324,5573,11.9
MHI_P90_2D_w15_vs_MHI_P90_2D_month,2,2056,1267,7564,30.52
MHI_P90_2D_w15_vs_MHI_P90_2D_month,3,1920,2123,7018,36.55
MHI_P90_2D_w15_vs_MHI_P90_2D_month,4,1754,2325,4141,49.62
MHI_P90_2D_w15_vs_MHI_P90_2D_month,5,2680,2438,5429,48.53
MHI_P90_2D_w15_vs_MHI_P90_2D_month,6,1875,2267,7573,35.36
MHI_P90_2D_w15_vs_MHI_P90_2D_month,7,868,746,8710,15.63
MHI_P90_2D_w15_vs_MHI_P90_2D_month,8,1267,1600,10230,21.89
MHI_P90_2D_w15_vs_MHI_P90_2D_month,9,3643,2501,6469,48.71
MHI_P90_2D_w15_vs_MHI_P90_2D_month,10,4297,4569,5872,60.16
MHI_P90_2D_w15_vs_MHI_P90_2D_month,11,1233,2927,6462,39.16
MHI_P90_2D_w15_vs_MHI_P90_2D_month,12,2071,1097,11109,22.19
