pair,month,a_only,shared,b_only,disagreement_rate_pct
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,1,6487,2704,0,70.58
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,2,8352,4908,0,62.99
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,3,9206,3716,0,71.24
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,4,6201,1607,0,79.42
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,5,8231,4342,0,65.47
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,6,8891,4202,0,67.91
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,7,9281,5792,0,61.57
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,8,8847,7873,0,52.91
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,9,10488,4287,0,70.98
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,10,11296,6128,0,64.83
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,11,7352,4033,0,64.58
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,12,9796,6984,0,58.38
