pair,month,a_only,b_only,shared,disagreement_rate_pct
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,1,1989,2280,3722,53.42
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,2,2738,3155,6465,47.69
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,3,3704,4499,4439,64.89
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,4,2206,3706,2189,72.98
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,5,4004,3503,4606,61.97
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,6,4948,5930,3518,75.56
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,7,5910,5018,4560,70.56
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,8,5874,4943,6554,62.27
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,9,4061,4790,5322,62.45
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,10,6234,4480,5689,65.32
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,11,3110,3024,4671,56.77
TMAX_P90_2D_w15_vs_MHI_P90_2D_w15,12,3024,4358,8822,45.56
