pair,month,a_only,b_only,shared,disagreement_rate_pct
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,1,3280,3995,2431,74.95
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,2,4865,4342,4338,67.97
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,3,5528,6006,2615,81.52
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,4,3141,6065,1254,88.01
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,5,5349,5881,3261,77.5
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,6,5079,8199,3387,79.68
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,7,5007,8612,5463,71.37
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,8,5551,8399,6877,66.98
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,9,5510,7148,3873,76.57
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,10,9261,6226,2662,85.33
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,11,4870,4797,2911,76.86
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,12,4919,6108,6927,61.42
