definition_id,window,primary_window,is_primary,jaccard_vs_primary,heatwave_days_QA_pooled,count_ratio_vs_primary,n_paired_county_years,paired_diff_median,paired_diff_q25,paired_diff_q75,paired_diff_min,paired_diff_max,pct_county_years_higher,pct_county_years_lower
MHI_P85_2D,w05,w15,False,0.8788,177271,1.0373,2792,2.0,0.0,5.0,-11.0,17.0,69.7,22.5
MHI_P85_2D,w15,w15,True,1.0,170894,1.0,2791,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHI_P85_2D,month,w15,False,0.6845,171115,1.0013,2793,0.0,-4.0,5.0,-23.0,23.0,47.7,46.6
MHI_P85_2D,month_pm7,w15,False,0.6725,159534,0.9335,2793,-4.0,-8.0,0.0,-29.0,15.0,24.4,70.4
MHI_P90_2D,w05,w15,False,0.8496,116802,1.0595,2789,2.0,0.0,4.0,-9.0,17.0,68.8,19.1
MHI_P90_2D,w15,w15,True,1.0,110243,1.0,2786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHI_P90_2D,month,w15,False,0.6409,110334,1.0008,2789,0.0,-4.0,4.0,-24.0,21.0,47.0,45.2
MHI_P90_2D,month_pm7,w15,False,0.6315,99482,0.9024,2789,-4.0,-8.0,0.0,-29.0,14.0,23.7,70.8
MHI_P90_3D,w05,w15,False,0.8348,82824,1.0648,2762,1.0,0.0,4.0,-15.0,22.0,58.8,22.1
MHI_P90_3D,w15,w15,True,1.0,77785,1.0,2745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHI_P90_3D,month,w15,False,0.6047,79886,1.027,2774,1.0,-3.0,5.0,-22.0,22.0,51.2,40.5
MHI_P90_3D,month_pm7,w15,False,0.6002,71012,0.9129,2769,-2.0,-6.0,2.0,-28.0,18.0,30.5,61.8
MHI_P95_2D,w05,w15,False,0.7883,58890,1.1156,2747,2.0,0.0,4.0,-8.0,18.0,69.2,14.9
MHI_P95_2D,w15,w15,True,1.0,52786,1.0,2709,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHI_P95_2D,month,w15,False,0.5968,53273,1.0092,2746,0.0,-3.0,3.0,-22.0,16.0,46.8,42.6
MHI_P95_2D,month_pm7,w15,False,0.5879,45107,0.8545,2733,-2.0,-5.0,0.0,-26.0,12.0,22.6,67.4
TMAX_P85_2D,w05,w15,False,0.8884,166682,1.0353,2794,2.0,0.0,4.0,-8.0,15.0,67.3,20.9
TMAX_P85_2D,w15,w15,True,1.0,161004,1.0,2794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMAX_P85_2D,month,w15,False,0.7073,158349,0.9835,2794,-1.0,-5.0,3.0,-23.0,21.0,41.9,50.9
TMAX_P85_2D,month_pm7,w15,False,0.6991,148222,0.9206,2794,-4.0,-9.0,0.0,-27.0,15.0,21.8,72.6
TMAX_P85_3D,w05,w15,False,0.8776,130118,1.0425,2788,2.0,0.0,4.0,-11.0,20.0,62.5,23.6
TMAX_P85_3D,w15,w15,True,1.0,124812,1.0,2785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMAX_P85_3D,month,w15,False,0.6794,124531,0.9977,2791,0.0,-5.0,4.0,-24.0,24.0,48.0,46.1
TMAX_P85_3D,month_pm7,w15,False,0.6731,115678,0.9268,2790,-3.0,-8.0,1.0,-28.0,17.0,29.6,64.2
TMAX_P90_2D,w05,w15,False,0.8637,114603,1.0576,2791,2.0,0.0,4.0,-9.0,20.0,68.8,18.2
TMAX_P90_2D,w15,w15,True,1.0,108359,1.0,2788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMAX_P90_2D,month,w15,False,0.6818,106769,0.9853,2792,-1.0,-4.0,3.0,-25.0,20.0,41.5,50.0
TMAX_P90_2D,month_pm7,w15,False,0.6747,97478,0.8996,2790,-4.0,-7.0,0.0,-25.0,19.0,20.5,72.1
TMAX_P90_3D,w05,w15,False,0.8518,85949,1.0643,2773,1.0,0.0,4.0,-11.0,20.0,59.4,20.3
TMAX_P90_3D,w15,w15,True,1.0,80755,1.0,2756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMAX_P90_3D,month,w15,False,0.6528,80451,0.9962,2774,0.0,-4.0,4.0,-31.0,20.0,43.8,46.9
TMAX_P90_3D,month_pm7,w15,False,0.6484,72426,0.8969,2772,-3.0,-6.0,1.0,-31.0,19.0,26.0,65.2
TMAX_P95_2D,w05,w15,False,0.8011,62917,1.1121,2764,2.0,0.0,4.0,-9.0,16.0,70.4,14.8
TMAX_P95_2D,w15,w15,True,1.0,56576,1.0,2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMAX_P95_2D,month,w15,False,0.6395,55270,0.9769,2763,0.0,-3.0,2.0,-21.0,15.0,39.9,48.2
TMAX_P95_2D,month_pm7,w15,False,0.6308,48059,0.8495,2753,-3.0,-5.0,0.0,-34.0,15.0,19.6,71.4
TMAX_P95_3D,w05,w15,False,0.7819,43977,1.1312,2609,1.0,0.0,4.0,-13.0,19.0,58.2,14.5
TMAX_P95_3D,w15,w15,True,1.0,38876,1.0,2508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMAX_P95_3D,month,w15,False,0.6143,38426,0.9884,2612,0.0,-3.0,3.0,-30.0,20.0,39.9,42.3
TMAX_P95_3D,month_pm7,w15,False,0.6024,32851,0.845,2581,-2.0,-5.0,0.0,-32.0,16.0,22.7,61.1
TMIN_P85_2D,w05,w15,False,0.8849,187198,1.0317,2793,2.0,0.0,4.0,-11.0,18.0,66.3,23.4
TMIN_P85_2D,w15,w15,True,1.0,181444,1.0,2793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMIN_P85_2D,month,w15,False,0.7513,182251,1.0044,2793,0.0,-4.0,4.0,-21.0,20.0,49.4,43.3
TMIN_P85_2D,month_pm7,w15,False,0.7471,174134,0.9597,2793,-2.0,-7.0,2.0,-32.0,17.0,31.1,62.7
TMIN_P85_3D,w05,w15,False,0.873,148116,1.0356,2789,2.0,-1.0,4.0,-15.0,20.0,60.2,26.9
TMIN_P85_3D,w15,w15,True,1.0,143020,1.0,2788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMIN_P85_3D,month,w15,False,0.7283,145237,1.0155,2793,1.0,-3.0,5.0,-24.0,24.0,52.3,41.4
TMIN_P85_3D,month_pm7,w15,False,0.7253,138124,0.9658,2791,-2.0,-6.0,3.0,-28.0,22.0,37.8,55.9
TMIN_P90_2D,w05,w15,False,0.8576,127906,1.0503,2790,2.0,0.0,4.0,-10.0,16.0,67.6,21.9
TMIN_P90_2D,w15,w15,True,1.0,121777,1.0,2789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMIN_P90_2D,month,w15,False,0.7223,122363,1.0048,2791,0.0,-3.0,4.0,-20.0,17.0,48.2,44.3
