state,def_number,definition_id,definition_sentence,metric,metric_label,percentile,minimum_duration_days,round,windows_available,n_windows_available,reference_method,comparison_op,season_rule,absolute_floor,artifact_handling,analysis_years,input_comparability,provenance_note,status
TX,1,MHI_P85_2D,"county-relative daily-mean heat index above its own 85th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1",MHI,daily-mean heat index,85,2,previous (published),"w05,w15,month,month_pm7",4,walk_forward_1979_to_Yminus1,>,year_round,none,rh_clip_2023_03_01_set_missing,2015-2025,"same input file and hash, same county boundaries, same IDW gap-filling, same walk-forward baseline, same strict '>' operator, same year-round season, no floor",re-run on the current code path; reproduces the published outputs exactly (qa/s01_legacy_rerun_verification.csv),tested
TX,2,MHI_P95_2D,"county-relative daily-mean heat index above its own 95th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1",MHI,daily-mean heat index,95,2,previous (published),"w05,w15,month,month_pm7",4,walk_forward_1979_to_Yminus1,>,year_round,none,rh_clip_2023_03_01_set_missing,2015-2025,"same input file and hash, same county boundaries, same IDW gap-filling, same walk-forward baseline, same strict '>' operator, same year-round season, no floor",re-run on the current code path; reproduces the published outputs exactly (qa/s01_legacy_rerun_verification.csv),tested
TX,3,TMAX_P90_2D,"county-relative daily maximum temperature above its own 90th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1",TMAX,daily maximum temperature,90,2,current grid,"w05,w15,month,month_pm7",4,walk_forward_1979_to_Yminus1,>,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,"same input file and hash, same county boundaries, same IDW gap-filling, same walk-forward baseline, same strict '>' operator, same year-round season, no floor",produced by the current code path in the definition grid,tested
TX,4,TMIN_P90_2D,"county-relative daily minimum temperature above its own 90th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1",TMIN,daily minimum temperature,90,2,current grid,"w05,w15,month,month_pm7",4,walk_forward_1979_to_Yminus1,>,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,"same input file and hash, same county boundaries, same IDW gap-filling, same walk-forward baseline, same strict '>' operator, same year-round season, no floor",produced by the current code path in the definition grid,tested
TX,5,TMAX_P85_2D,"county-relative daily maximum temperature above its own 85th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1",TMAX,daily maximum temperature,85,2,current grid,"w05,w15,month,month_pm7",4,walk_forward_1979_to_Yminus1,>,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,"same input file and hash, same county boundaries, same IDW gap-filling, same walk-forward baseline, same strict '>' operator, same year-round season, no floor",produced by the current code path in the definition grid,tested
TX,6,TMIN_P85_2D,"county-relative daily minimum temperature above its own 85th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1",TMIN,daily minimum temperature,85,2,current grid,"w05,w15,month,month_pm7",4,walk_forward_1979_to_Yminus1,>,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,"same input file and hash, same county boundaries, same IDW gap-filling, same walk-forward baseline, same strict '>' operator, same year-round season, no floor",produced by the current code path in the definition grid,tested
TX,7,TMAX_P95_2D,"county-relative daily maximum temperature above its own 95th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1",TMAX,daily maximum temperature,95,2,current grid,"w05,w15,month,month_pm7",4,walk_forward_1979_to_Yminus1,>,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,"same input file and hash, same county boundaries, same IDW gap-filling, same walk-forward baseline, same strict '>' operator, same year-round season, no floor",produced by the current code path in the definition grid,tested
TX,8,TMIN_P95_2D,"county-relative daily minimum temperature above its own 95th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1",TMIN,daily minimum temperature,95,2,current grid,"w05,w15,month,month_pm7",4,walk_forward_1979_to_Yminus1,>,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,"same input file and hash, same county boundaries, same IDW gap-filling, same walk-forward baseline, same strict '>' operator, same year-round season, no floor",produced by the current code path in the definition grid,tested
TX,9,MHI_P90_2D,"county-relative daily-mean heat index above its own 90th percentile, sustained >= 2 consecutive days, walk-forward baseline 1979..Y-1",MHI,daily-mean heat index,90,2,current grid,"w05,w15,month,month_pm7",4,walk_forward_1979_to_Yminus1,>,year_round,none,rh_clip_2023_03_01_set_missing,2015-2025,"same input file and hash, same county boundaries, same IDW gap-filling, same walk-forward baseline, same strict '>' operator, same year-round season, no floor",produced by the current code path in the definition grid,tested
TX,10,TMAX_P90_3D,"county-relative daily maximum temperature above its own 90th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1",TMAX,daily maximum temperature,90,3,current grid,"w05,w15,month,month_pm7",4,walk_forward_1979_to_Yminus1,>,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,"same input file and hash, same county boundaries, same IDW gap-filling, same walk-forward baseline, same strict '>' operator, same year-round season, no floor",produced by the current code path in the definition grid,tested
TX,11,TMIN_P90_3D,"county-relative daily minimum temperature above its own 90th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1",TMIN,daily minimum temperature,90,3,current grid,"w05,w15,month,month_pm7",4,walk_forward_1979_to_Yminus1,>,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,"same input file and hash, same county boundaries, same IDW gap-filling, same walk-forward baseline, same strict '>' operator, same year-round season, no floor",produced by the current code path in the definition grid,tested
TX,12,TMAX_P85_3D,"county-relative daily maximum temperature above its own 85th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1",TMAX,daily maximum temperature,85,3,current grid,"w05,w15,month,month_pm7",4,walk_forward_1979_to_Yminus1,>,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,"same input file and hash, same county boundaries, same IDW gap-filling, same walk-forward baseline, same strict '>' operator, same year-round season, no floor",produced by the current code path in the definition grid,tested
TX,13,TMIN_P85_3D,"county-relative daily minimum temperature above its own 85th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1",TMIN,daily minimum temperature,85,3,current grid,"w05,w15,month,month_pm7",4,walk_forward_1979_to_Yminus1,>,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,"same input file and hash, same county boundaries, same IDW gap-filling, same walk-forward baseline, same strict '>' operator, same year-round season, no floor",produced by the current code path in the definition grid,tested
TX,14,TMAX_P95_3D,"county-relative daily maximum temperature above its own 95th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1",TMAX,daily maximum temperature,95,3,current grid,"w05,w15,month,month_pm7",4,walk_forward_1979_to_Yminus1,>,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,"same input file and hash, same county boundaries, same IDW gap-filling, same walk-forward baseline, same strict '>' operator, same year-round season, no floor",produced by the current code path in the definition grid,tested
TX,15,TMIN_P95_3D,"county-relative daily minimum temperature above its own 95th percentile, sustained >= 3 consecutive days, walk-forward baseline 1979..Y-1",TMIN,daily minimum temperature,95,3,current grid,"w05,w15,month,month_pm7",4,walk_forward_1979_to_Yminus1,>,year_round,none,not_applicable_metric_independent_of_rh,2015-2025,"same input file and hash, same county boundaries, same IDW gap-filling, same walk-forward baseline, same strict '>' operator, same year-round season, no floor",produced by the current code path in the definition grid,tested
