state,run_id,definition_id,def_number,metric,percentile,minimum_duration_days,window,window_label,counties_total,counties_with_any_heatwave_day,counties_with_zero_heatwave_days,eligible_county_days_QA_pooled,heatwave_days_QA_pooled_2015_2025,heatwave_events_QA_pooled_2015_2025,heatwave_days_per_1000_eligible_QA_pooled,per_county_heatwave_days_2015_2025_median,per_county_heatwave_days_2015_2025_q25,per_county_heatwave_days_2015_2025_q75,per_county_heatwave_days_2015_2025_min,per_county_heatwave_days_2015_2025_max,event_duration_days_median,event_duration_days_q75,event_duration_days_max,events_of_2_days,events_of_3_days,events_7_days_or_more,events_at_or_over_review_length,events_crossing_a_month_boundary,events_crossing_a_year_boundary,rate_jun_sep_per_1000_eligible,rate_oct_may_per_1000_eligible,pct_heatwave_days_in_jun_sep,peak_month_by_rate,heatwave_days_imputed_QA_pooled,pct_heatwave_days_imputed,artifact_county_days_excluded,reference_method,season_rule,absolute_floor,comparison_op
TX,MHI_P85_2D__w05,MHI_P85_2D,1,MHI,85,2,w05,centered 5-day window (+/-2 days),254,254,0,1020475,177271,49881,173.71,699.0,586.25,801.5,167,1243,3.0,4.0,48,21760,11406,4789,23,3635,284,188.79,166.15,36.3,Dec,30655,17.29,97,walk_forward_1979_to_Yminus1,year_round,none,>
TX,MHI_P85_2D__w15,MHI_P85_2D,1,MHI,85,2,w15,centered 15-day window (+/-7 days),254,254,0,1020475,170894,48323,167.47,677.0,567.5,775.25,154,1230,3.0,4.0,48,21252,10983,4544,28,3496,322,184.73,158.81,36.85,Dec,29210,17.09,97,walk_forward_1979_to_Yminus1,year_round,none,>
TX,MHI_P85_2D__month,MHI_P85_2D,1,MHI,85,2,month,calendar-month bucket,254,254,0,1020475,171115,47470,167.68,677.5,564.5,771.75,144,1233,3.0,4.0,48,19765,10838,4690,23,2072,228,183.65,159.67,36.58,Aug,29307,17.13,97,walk_forward_1979_to_Yminus1,year_round,none,>
TX,MHI_P85_2D__month_pm7,MHI_P85_2D,1,MHI,85,2,month_pm7,calendar month +/- 7 days,254,254,0,1020475,159534,44973,156.33,629.5,516.5,716.75,130,1181,3.0,4.0,48,19121,10345,4114,29,1963,213,177.95,145.49,38.02,Aug,26947,16.89,97,walk_forward_1979_to_Yminus1,year_round,none,>
TX,MHI_P95_2D__w05,MHI_P95_2D,2,MHI,95,2,w05,centered 5-day window (+/-2 days),254,254,0,1020475,58890,19314,57.71,219.0,166.5,282.75,30,571,2.0,4.0,48,10247,4232,837,4,970,85,60.79,56.16,35.19,Dec,9299,15.79,97,walk_forward_1979_to_Yminus1,year_round,none,>
TX,MHI_P95_2D__w15,MHI_P95_2D,2,MHI,95,2,w15,centered 15-day window (+/-7 days),254,254,0,1020475,52786,17428,51.73,195.5,148.25,254.0,18,516,2.0,3.0,31,9295,3893,691,4,826,82,56.14,49.52,36.25,Dec,8158,15.45,97,walk_forward_1979_to_Yminus1,year_round,none,>
TX,MHI_P95_2D__month,MHI_P95_2D,2,MHI,95,2,month,calendar-month bucket,254,254,0,1020475,53273,17517,52.2,193.5,150.25,258.75,15,510,2.0,3.0,31,9135,4134,667,2,483,82,54.99,50.8,35.19,Dec,8221,15.43,97,walk_forward_1979_to_Yminus1,year_round,none,>
TX,MHI_P95_2D__month_pm7,MHI_P95_2D,2,MHI,95,2,month_pm7,calendar month +/- 7 days,254,254,0,1020475,45107,15112,44.2,160.5,123.5,218.75,6,482,2.0,3.0,26,8167,3528,516,2,446,72,51.67,40.46,39.04,Dec,6719,14.9,97,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P90_2D__w05,TMAX_P90_2D,3,TMAX,90,2,w05,centered 5-day window (+/-2 days),254,254,0,1020572,114603,31963,112.29,432.5,366.75,524.5,125,956,3.0,4.0,48,14327,7307,3145,72,1971,219,123.75,106.55,36.81,Oct,17462,15.24,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P90_2D__w15,TMAX_P90_2D,3,TMAX,90,2,w15,centered 15-day window (+/-7 days),254,254,0,1020572,108359,30503,106.17,403.0,341.25,497.5,114,919,3.0,4.0,47,13802,7100,2868,69,1908,219,119.54,99.47,37.6,Aug,16529,15.25,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P90_2D__month,TMAX_P90_2D,3,TMAX,90,2,month,calendar-month bucket,254,254,0,1020572,106769,29755,104.62,403.5,340.5,485.0,104,853,3.0,4.0,48,13159,6865,2760,80,1138,170,115.22,99.3,36.78,Aug,16281,15.25,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P90_2D__month_pm7,TMAX_P90_2D,3,TMAX,90,2,month_pm7,calendar month +/- 7 days,254,254,0,1020572,97478,27589,95.51,370.5,309.25,438.75,73,766,3.0,4.0,48,12526,6380,2401,81,1068,154,110.2,88.15,38.54,Aug,14769,15.15,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P90_2D__w05,TMIN_P90_2D,4,TMIN,90,2,w05,centered 5-day window (+/-2 days),254,254,0,1020572,127906,36636,125.33,492.0,390.0,599.0,98,1121,3.0,4.0,48,16015,8371,3075,20,2601,117,158.09,108.9,42.13,Aug,23734,18.56,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P90_2D__w15,TMIN_P90_2D,4,TMIN,90,2,w15,centered 15-day window (+/-7 days),254,254,0,1020572,121777,34951,119.32,471.0,369.0,564.0,92,1115,3.0,4.0,48,15322,7942,2871,19,2385,148,152.43,102.72,42.67,Aug,22434,18.42,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P90_2D__month,TMIN_P90_2D,4,TMIN,90,2,month,calendar-month bucket,254,254,0,1020572,122363,34419,119.9,473.0,372.5,571.75,74,1083,3.0,4.0,48,14601,7651,3074,29,1689,116,155.01,102.29,43.18,Aug,22768,18.61,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P90_2D__month_pm7,TMIN_P90_2D,4,TMIN,90,2,month_pm7,calendar month +/- 7 days,254,254,0,1020572,115028,32499,112.71,444.0,341.25,534.75,72,1008,3.0,4.0,48,13878,7280,2830,29,1612,105,152.09,92.96,45.07,Aug,21179,18.41,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P85_2D__w05,TMAX_P85_2D,5,TMAX,85,2,w05,centered 5-day window (+/-2 days),254,254,0,1020572,166682,43751,163.32,636.5,557.25,742.25,234,1251,3.0,4.0,66,18282,9996,5006,162,3145,283,178.14,155.89,36.43,Oct,26673,16.0,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P85_2D__w15,TMAX_P85_2D,5,TMAX,85,2,w15,centered 15-day window (+/-7 days),254,254,0,1020572,161004,42631,157.76,617.0,541.0,720.75,215,1220,3.0,4.0,66,18096,9764,4755,160,3060,294,175.03,149.1,37.06,Oct,25777,16.01,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P85_2D__month,TMAX_P85_2D,5,TMAX,85,2,month,calendar-month bucket,254,254,0,1020572,158349,41318,155.16,605.5,533.0,707.25,207,1185,3.0,4.0,66,16909,9316,4684,167,1961,231,169.12,148.16,36.41,Oct,25591,16.16,0,walk_forward_1979_to_Yminus1,year_round,none,>
