state,run_a,run_b,definition_a,definition_b,window_a,window_b,n_axes_differing,axes_differing,single_axis,heatwave_days_a_QA_pooled,heatwave_days_b_QA_pooled,county_dates_shared,county_dates_a_only,county_dates_b_only,jaccard_day_level,dice_day_level,pct_of_a_also_in_b,pct_of_b_also_in_a,count_ratio_b_over_a,county_rank_spearman
TX,TMAX_P95_3D__month_pm7,TMIN_P95_3D__month_pm7,TMAX_P95_3D,TMIN_P95_3D,month_pm7,month_pm7,1,metric,metric,32851,39412,10891,21960,28521,0.1775,0.3014,33.15,27.63,1.1997,0.5185
TX,TMAX_P95_3D__month,TMIN_P95_3D__month,TMAX_P95_3D,TMIN_P95_3D,month,month,1,metric,metric,38426,43309,12431,25995,30878,0.1794,0.3042,32.35,28.7,1.1271,0.5219
TX,TMAX_P95_2D__month_pm7,TMIN_P95_2D__month_pm7,TMAX_P95_2D,TMIN_P95_2D,month_pm7,month_pm7,1,metric,metric,48059,56590,16709,31350,39881,0.19,0.3193,34.77,29.53,1.1775,0.4799
TX,TMAX_P95_3D__w15,TMIN_P95_3D__w15,TMAX_P95_3D,TMIN_P95_3D,w15,w15,1,metric,metric,38876,42638,13088,25788,29550,0.1913,0.3211,33.67,30.7,1.0968,0.5445
TX,TMAX_P95_3D__w05,TMIN_P95_3D__w05,TMAX_P95_3D,TMIN_P95_3D,w05,w05,1,metric,metric,43977,47099,14679,29298,32420,0.1921,0.3223,33.38,31.17,1.071,0.5544
TX,TMAX_P95_2D__month,TMIN_P95_2D__month,TMAX_P95_2D,TMIN_P95_2D,month,month,1,metric,metric,55270,61903,19111,36159,42792,0.1949,0.3262,34.58,30.87,1.12,0.5071
TX,TMAX_P95_2D__w15,TMIN_P95_2D__w15,TMAX_P95_2D,TMIN_P95_2D,w15,w15,1,metric,metric,56576,61496,19466,37110,42030,0.1974,0.3297,34.41,31.65,1.087,0.5351
TX,TMAX_P95_2D__w05,TMIN_P95_2D__w05,TMAX_P95_2D,TMIN_P95_2D,w05,w05,1,metric,metric,62917,67525,21741,41176,45784,0.2,0.3333,34.56,32.2,1.0732,0.5191
TX,TMAX_P90_3D__w15,TMIN_P90_3D__w15,TMAX_P90_3D,TMIN_P90_3D,w15,w15,1,metric,metric,80755,91133,32801,47954,58332,0.2358,0.3817,40.62,35.99,1.1285,0.4966
TX,TMAX_P90_3D__month_pm7,TMIN_P90_3D__month_pm7,TMAX_P90_3D,TMIN_P90_3D,month_pm7,month_pm7,1,metric,metric,72426,87272,30598,41828,56674,0.237,0.3832,42.25,35.06,1.205,0.4907
TX,TMAX_P90_3D__w05,TMIN_P90_3D__w05,TMAX_P90_3D,TMIN_P90_3D,w05,w05,1,metric,metric,85949,95876,35082,50867,60794,0.2391,0.3859,40.82,36.59,1.1155,0.482
TX,TMAX_P90_3D__month,TMIN_P90_3D__month,TMAX_P90_3D,TMIN_P90_3D,month,month,1,metric,metric,80451,93161,33636,46815,59525,0.2403,0.3875,41.81,36.11,1.158,0.4819
TX,TMAX_P90_2D__w15,TMIN_P90_2D__w15,TMAX_P90_2D,TMIN_P90_2D,w15,w15,1,metric,metric,108359,121777,45999,62360,75778,0.2498,0.3998,42.45,37.77,1.1238,0.4567
