state,axis,contrast,from_run,to_run,from_value,to_value,metric_held,window_held,heatwave_days_from_QA_pooled,heatwave_days_to_QA_pooled,count_ratio_hi_over_lo,pct_count_difference,jaccard_day_level,county_dates_shared,county_dates_disagreeing,county_rank_spearman
TX,metric,TMAX vs TMIN,TMAX_P95_3D__month_pm7,TMIN_P95_3D__month_pm7,TMAX,TMIN,,month_pm7,32851,39412,1.1997,19.97,0.1775,10891,50481,0.5185
TX,metric,TMAX vs TMIN,TMAX_P95_3D__month,TMIN_P95_3D__month,TMAX,TMIN,,month,38426,43309,1.1271,12.71,0.1794,12431,56873,0.5219
TX,metric,TMAX vs TMIN,TMAX_P95_2D__month_pm7,TMIN_P95_2D__month_pm7,TMAX,TMIN,,month_pm7,48059,56590,1.1775,17.75,0.19,16709,71231,0.4799
TX,metric,TMAX vs TMIN,TMAX_P95_3D__w15,TMIN_P95_3D__w15,TMAX,TMIN,,w15,38876,42638,1.0968,9.68,0.1913,13088,55338,0.5445
TX,metric,TMAX vs TMIN,TMAX_P95_3D__w05,TMIN_P95_3D__w05,TMAX,TMIN,,w05,43977,47099,1.071,7.1,0.1921,14679,61718,0.5544
TX,metric,TMAX vs TMIN,TMAX_P95_2D__month,TMIN_P95_2D__month,TMAX,TMIN,,month,55270,61903,1.12,12.0,0.1949,19111,78951,0.5071
TX,metric,TMAX vs TMIN,TMAX_P95_2D__w15,TMIN_P95_2D__w15,TMAX,TMIN,,w15,56576,61496,1.087,8.7,0.1974,19466,79140,0.5351
TX,metric,TMAX vs TMIN,TMAX_P95_2D__w05,TMIN_P95_2D__w05,TMAX,TMIN,,w05,62917,67525,1.0732,7.32,0.2,21741,86960,0.5191
TX,metric,TMAX vs TMIN,TMAX_P90_3D__w15,TMIN_P90_3D__w15,TMAX,TMIN,,w15,80755,91133,1.1285,12.85,0.2358,32801,106286,0.4966
TX,metric,TMAX vs TMIN,TMAX_P90_3D__month_pm7,TMIN_P90_3D__month_pm7,TMAX,TMIN,,month_pm7,72426,87272,1.205,20.5,0.237,30598,98502,0.4907
TX,metric,TMAX vs TMIN,TMAX_P90_3D__w05,TMIN_P90_3D__w05,TMAX,TMIN,,w05,85949,95876,1.1155,11.55,0.2391,35082,111661,0.482
TX,metric,TMAX vs TMIN,TMAX_P90_3D__month,TMIN_P90_3D__month,TMAX,TMIN,,month,80451,93161,1.158,15.8,0.2403,33636,106340,0.4819
TX,metric,TMAX vs TMIN,TMAX_P90_2D__w15,TMIN_P90_2D__w15,TMAX,TMIN,,w15,108359,121777,1.1238,12.38,0.2498,45999,138138,0.4567
TX,metric,TMAX vs TMIN,TMAX_P90_2D__w05,TMIN_P90_2D__w05,TMAX,TMIN,,w05,114603,127906,1.1161,11.61,0.2523,48855,144799,0.4503
TX,metric,TMAX vs TMIN,TMAX_P90_2D__month_pm7,TMIN_P90_2D__month_pm7,TMAX,TMIN,,month_pm7,97478,115028,1.18,18.0,0.2523,42810,126886,0.437
TX,metric,TMAX vs TMIN,TMAX_P90_2D__month,TMIN_P90_2D__month,TMAX,TMIN,,month,106769,122363,1.1461,14.61,0.2593,47187,134758,0.4584
TX,metric,TMAX vs TMIN,TMAX_P85_3D__w15,TMIN_P85_3D__w15,TMAX,TMIN,,w15,124812,143020,1.1459,14.59,0.2739,57580,152672,0.4351
TX,metric,TMAX vs TMIN,TMAX_P85_3D__w05,TMIN_P85_3D__w05,TMAX,TMIN,,w05,130118,148116,1.1383,13.83,0.2761,60206,157822,0.4366
TX,metric,TMAX vs TMIN,TMAX_P85_3D__month_pm7,TMIN_P85_3D__month_pm7,TMAX,TMIN,,month_pm7,115678,138124,1.194,19.4,0.2808,55643,142516,0.4372
TX,percentile,85 vs 95,MHI_P95_2D__month_pm7,MHI_P85_2D__month_pm7,95,85,MHI,month_pm7,45107,159534,3.5368,253.68,0.2827,45107,114427,0.9468
TX,percentile,85 vs 95,TMAX_P95_3D__month_pm7,TMAX_P85_3D__month_pm7,95,85,TMAX,month_pm7,32851,115678,3.5213,252.13,0.284,32851,82827,0.9003
TX,percentile,85 vs 95,TMIN_P95_3D__month_pm7,TMIN_P85_3D__month_pm7,95,85,TMIN,month_pm7,39412,138124,3.5046,250.46,0.2853,39412,98712,0.9158
TX,metric,TMAX vs TMIN,TMAX_P85_3D__month,TMIN_P85_3D__month,TMAX,TMIN,,month,124531,145237,1.1663,16.63,0.287,60163,149442,0.4312
TX,metric,MHI vs TMAX,MHI_P95_2D__month_pm7,TMAX_P95_2D__month_pm7,MHI,TMAX,,month_pm7,45107,48059,1.0654,6.54,0.2915,21029,51108,0.6747
TX,metric,TMAX vs TMIN,TMAX_P85_2D__w15,TMIN_P85_2D__w15,TMAX,TMIN,,w15,161004,181444,1.127,12.7,0.2965,78323,185802,0.406
TX,percentile,85 vs 95,TMIN_P95_3D__w15,TMIN_P85_3D__w15,95,85,TMIN,w15,42638,143020,3.3543,235.43,0.2981,42638,100382,0.9201
TX,percentile,85 vs 95,TMIN_P95_3D__month,TMIN_P85_3D__month,95,85,TMIN,month,43309,145237,3.3535,235.35,0.2982,43309,101928,0.918
TX,metric,TMAX vs TMIN,TMAX_P85_2D__w05,TMIN_P85_2D__w05,TMAX,TMIN,,w05,166682,187198,1.1231,12.31,0.2993,81515,190850,0.4123
TX,metric,TMAX vs TMIN,TMAX_P85_2D__month_pm7,TMIN_P85_2D__month_pm7,TMAX,TMIN,,month_pm7,148222,174134,1.1748,17.48,0.3008,74536,173284,0.4102
TX,metric,MHI vs TMAX,MHI_P95_2D__month,TMAX_P95_2D__month,MHI,TMAX,,month,53273,55270,1.0375,3.75,0.3048,25357,57829,0.6955
TX,metric,MHI vs TMAX,MHI_P95_2D__w15,TMAX_P95_2D__w15,MHI,TMAX,,w15,52786,56576,1.0718,7.18,0.3084,25776,57810,0.7343
TX,metric,TMAX vs TMIN,TMAX_P85_2D__month,TMIN_P85_2D__month,TMAX,TMIN,,month,158349,182251,1.1509,15.09,0.3086,80328,179944,0.4165
TX,percentile,85 vs 95,TMAX_P95_3D__month,TMAX_P85_3D__month,95,85,TMAX,month,38426,124531,3.2408,224.08,0.3086,38426,86105,0.9265
TX,percentile,85 vs 95,MHI_P95_2D__w15,MHI_P85_2D__w15,95,85,MHI,w15,52786,170894,3.2375,223.75,0.3089,52786,118108,0.9497
TX,percentile,85 vs 95,MHI_P95_2D__month,MHI_P85_2D__month,95,85,MHI,month,53273,171115,3.212,221.2,0.3113,53273,117842,0.9537
TX,percentile,85 vs 95,TMAX_P95_3D__w15,TMAX_P85_3D__w15,95,85,TMAX,w15,38876,124812,3.2105,221.05,0.3115,38876,85936,0.9362
