state,run_id,definition_id,metric,percentile,minimum_duration,window,event_id,county_fips,county_name,climate_division,start_date,end_date,event_duration_days,months_touched,event_crosses_month,event_crosses_year,peak_day_date,peak_metric_value,peak_day_threshold_value,days_in_event,imputed_days_in_event,pct_event_days_imputed,temperature_imputation_pct,fully_imputed_county,data_complete,review_reason,disposition
TX,TMAX_P85_2D__month_pm7,TMAX_P85_2D,TMAX,85,2,month_pm7,48_321_2023_009_TMAX_P85_2D,48321,Matagorda,Upper Coast,2023-07-09,2023-09-15,69,3,True,False,2023-08-27,103.94,94.01,69,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__month_pm7,TMAX_P85_3D,TMAX,85,3,month_pm7,48_321_2023_007_TMAX_P85_3D,48321,Matagorda,Upper Coast,2023-07-09,2023-09-15,69,3,True,False,2023-08-27,103.94,94.01,69,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__month,TMAX_P85_2D,TMAX,85,2,month,48_201_2023_013_TMAX_P85_2D,48201,Harris,Upper Coast,2023-07-10,2023-09-13,66,3,True,False,2023-08-27,109.7,97.64,66,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__month,TMAX_P85_2D,TMAX,85,2,month,48_245_2023_011_TMAX_P85_2D,48245,Jefferson,Upper Coast,2023-07-10,2023-09-13,66,3,True,False,2023-08-27,107.36,95.5,66,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__month_pm7,TMAX_P85_2D,TMAX,85,2,month_pm7,48_201_2023_011_TMAX_P85_2D,48201,Harris,Upper Coast,2023-07-10,2023-09-13,66,3,True,False,2023-08-27,109.7,97.34,66,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w05,TMAX_P85_2D,TMAX,85,2,w05,48_201_2023_013_TMAX_P85_2D,48201,Harris,Upper Coast,2023-07-10,2023-09-13,66,3,True,False,2023-08-27,109.7,96.76,66,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_201_2023_013_TMAX_P85_2D,48201,Harris,Upper Coast,2023-07-10,2023-09-13,66,3,True,False,2023-08-27,109.7,97.04,66,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__month,TMAX_P85_3D,TMAX,85,3,month,48_201_2023_006_TMAX_P85_3D,48201,Harris,Upper Coast,2023-07-10,2023-09-13,66,3,True,False,2023-08-27,109.7,97.64,66,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__month,TMAX_P85_3D,TMAX,85,3,month,48_245_2023_008_TMAX_P85_3D,48245,Jefferson,Upper Coast,2023-07-10,2023-09-13,66,3,True,False,2023-08-27,107.36,95.5,66,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__month_pm7,TMAX_P85_3D,TMAX,85,3,month_pm7,48_201_2023_006_TMAX_P85_3D,48201,Harris,Upper Coast,2023-07-10,2023-09-13,66,3,True,False,2023-08-27,109.7,97.34,66,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w05,TMAX_P85_3D,TMAX,85,3,w05,48_201_2023_008_TMAX_P85_3D,48201,Harris,Upper Coast,2023-07-10,2023-09-13,66,3,True,False,2023-08-27,109.7,96.76,66,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
