state,def_number,definition_id,metric,metric_label,percentile,minimum_duration_days,window,window_label,reference_method,comparison_op,season_rule,absolute_floor,status,threshold_degF_median,threshold_degF_p5,threshold_degF_p95,threshold_degF_median_jun_sep,threshold_degF_median_dec_feb,threshold_degF_summer_minus_winter,baseline_obs_per_threshold_median,threshold_rows_low_n_ref,threshold_rows_total,heatwave_days_QA_pooled_2015_2025,heatwave_events_QA_pooled_2015_2025,per_county_days_median,per_county_days_q25,per_county_days_q75,per_county_days_min,per_county_days_max,event_duration_days_median,event_duration_days_max,events_at_or_over_review_length,pct_heatwave_days_in_jun_sep,rate_jun_sep_per_1000_eligible,rate_oct_may_per_1000_eligible,peak_month_by_rate,pct_heatwave_days_imputed,counties_with_any_heatwave_day
TX,1,MHI_P85_2D,MHI,daily-mean heat index,85,2,w05,centered 5-day window (+/-2 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,73.6,49.9,95.2,89.7,55.9,33.8,205.0,0.0,1022604.0,177271.0,49881.0,699.0,586.0,801.0,167.0,1243.0,3.0,48.0,23.0,36.3,188.79,166.15,Dec,17.29,254.0
TX,1,MHI_P85_2D,MHI,daily-mean heat index,85,2,w15,centered 15-day window (+/-7 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,73.8,50.2,95.2,89.8,56.0,33.8,615.0,0.0,1022604.0,170894.0,48323.0,677.0,567.0,775.0,154.0,1230.0,3.0,48.0,28.0,36.85,184.73,158.81,Dec,17.09,254.0
TX,1,MHI_P85_2D,MHI,daily-mean heat index,85,2,month,calendar-month bucket,walk_forward_1979_to_Yminus1,>,year_round,none,tested,73.9,50.6,95.1,89.6,56.4,33.3,1240.0,0.0,33528.0,171115.0,47470.0,677.0,564.0,771.0,144.0,1233.0,3.0,48.0,23.0,36.58,183.65,159.67,Aug,17.13,254.0
TX,1,MHI_P85_2D,MHI,daily-mean heat index,85,2,month_pm7,calendar month +/- 7 days,walk_forward_1979_to_Yminus1,>,year_round,none,tested,74.4,51.0,94.9,89.9,56.6,33.2,1809.0,0.0,33528.0,159534.0,44973.0,629.0,516.0,716.0,130.0,1181.0,3.0,48.0,29.0,38.02,177.95,145.49,Aug,16.89,254.0
TX,9,MHI_P90_2D,MHI,daily-mean heat index,90,2,w05,centered 5-day window (+/-2 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,75.0,52.0,96.4,90.9,58.4,32.5,205.0,0.0,1022604.0,116802.0,35358.0,448.0,369.0,537.0,82.0,930.0,3.0,48.0,8.0,35.97,123.27,110.04,Dec,16.81,254.0
TX,9,MHI_P90_2D,MHI,daily-mean heat index,90,2,w15,centered 15-day window (+/-7 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,75.2,52.4,96.4,91.0,58.5,32.5,615.0,0.0,1022604.0,110243.0,33508.0,425.0,343.0,514.0,66.0,875.0,3.0,48.0,6.0,36.86,119.21,102.42,Dec,16.56,254.0
TX,9,MHI_P90_2D,MHI,daily-mean heat index,90,2,month,calendar-month bucket,walk_forward_1979_to_Yminus1,>,year_round,none,tested,75.6,52.9,96.3,90.9,58.8,32.1,1240.0,0.0,33528.0,110334.0,33139.0,426.0,348.0,512.0,75.0,877.0,3.0,48.0,7.0,36.34,117.63,103.35,Dec,16.55,254.0
TX,9,MHI_P90_2D,MHI,daily-mean heat index,90,2,month_pm7,calendar month +/- 7 days,walk_forward_1979_to_Yminus1,>,year_round,none,tested,76.2,53.3,96.1,91.2,59.2,32.0,1809.0,0.0,33528.0,99482.0,30244.0,384.0,312.0,470.0,60.0,832.0,3.0,48.0,9.0,38.66,112.84,89.79,Aug,16.31,254.0
TX,16,MHI_P90_3D,MHI,daily-mean heat index,90,3,w05,centered 5-day window (+/-2 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,75.0,52.0,96.4,90.9,58.4,32.5,205.0,0.0,1022604.0,82824.0,18369.0,313.0,245.0,392.0,63.0,709.0,4.0,48.0,8.0,38.16,92.73,75.36,Dec,17.45,254.0
TX,16,MHI_P90_3D,MHI,daily-mean heat index,90,3,w15,centered 15-day window (+/-7 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,75.2,52.4,96.4,91.0,58.5,32.5,615.0,0.0,1022604.0,77785.0,17279.0,290.0,228.0,376.0,48.0,697.0,4.0,48.0,6.0,39.21,89.47,69.58,Dec,17.38,254.0
TX,16,MHI_P90_3D,MHI,daily-mean heat index,90,3,month,calendar-month bucket,walk_forward_1979_to_Yminus1,>,year_round,none,tested,75.6,52.9,96.3,90.9,58.8,32.1,1240.0,0.0,33528.0,79886.0,17915.0,301.0,234.0,378.0,54.0,679.0,4.0,48.0,7.0,38.09,89.28,72.77,Dec,17.31,254.0
TX,16,MHI_P90_3D,MHI,daily-mean heat index,90,3,month_pm7,calendar month +/- 7 days,walk_forward_1979_to_Yminus1,>,year_round,none,tested,76.2,53.3,96.1,91.2,59.2,32.0,1809.0,0.0,33528.0,71012.0,16009.0,266.0,199.0,335.0,38.0,638.0,4.0,48.0,9.0,41.02,85.45,61.63,Aug,17.07,254.0
TX,2,MHI_P95_2D,MHI,daily-mean heat index,95,2,w05,centered 5-day window (+/-2 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,76.9,54.9,98.1,92.7,61.9,30.8,205.0,0.0,1022604.0,58890.0,19314.0,219.0,166.0,282.0,30.0,571.0,2.0,48.0,4.0,35.19,60.79,56.16,Dec,15.79,254.0
TX,2,MHI_P95_2D,MHI,daily-mean heat index,95,2,w15,centered 15-day window (+/-7 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,77.2,55.3,98.1,92.8,62.2,30.6,615.0,0.0,1022604.0,52786.0,17428.0,195.0,148.0,254.0,18.0,516.0,2.0,31.0,4.0,36.25,56.14,49.52,Dec,15.45,254.0
