table,table_purpose,column,reader_facing_label,definition,unit,dtype,documentation_source,documented,note
absolute_gate_effect.csv,what each absolute gate does to each relative definition,relative_construct,Construct,construct identifier,,str,pattern,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,hybrid_construct,Construct,construct identifier,,str,pattern,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,label,Label,reader-facing short label,,str,pattern,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,percentile,Percentile,percentile of the county- and calendar-date-specific historical daily-high distribution,percentile,int64,exact,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,duration_days,Minimum duration,minimum number of consecutive qualifying days,days,int64,exact,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,absolute_gate_f,Absolute gate,absolute daily-high gate; NOT a National Weather Service advisory threshold,degF,float64,exact,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,threshold_window,Threshold window,how baseline days are pooled to estimate the threshold,,str,exact,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,pct_classified_days_retained,Days retained,share of the ungated construct's classified days that survive the gate,percent,float64,exact,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,day_level_jaccard_with_no_gate,Day level jaccard with no gate,,,float64,undocumented,False,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,median_annual_event_count_no_gate,Median annual events,median across annual county-level observations of the event count,events,float64,pattern,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,median_annual_event_count_with_gate,Median annual events,median across annual county-level observations of the event count,events,float64,pattern,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,annual_event_count_change,Annual event count change,,,float64,undocumented,False,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,median_annual_classified_days_no_gate,Median annual classified days,median across annual county-level observations of the classified-day count,records,float64,pattern,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,median_annual_classified_days_with_gate,Median annual classified days,median across annual county-level observations of the classified-day count,records,float64,pattern,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,annual_classified_day_change,Annual classified day change,,,float64,undocumented,False,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,counties_with_any_day_no_gate,Counties,number of counties,counties,int64,pattern,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,counties_with_any_day_with_gate,Counties,number of counties,counties,int64,pattern,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,counties_losing_all_days,Counties,number of counties,counties,int64,pattern,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,median_county_retention_pct,Median county retention pct,,,float64,undocumented,False,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,p10_county_retention_pct,P10 county retention pct,,,float64,undocumented,False,
