stage,artifact,verdict,detail,seconds
script_execution,e01_state_temperature_eda.py,PASS,,27.9
script_execution,e03_tables_and_figures.py,PASS,,11.8
reproduction,tables/e01_balanced_panel_counties.csv,IDENTICAL_BYTES,,
reproduction,tables/e01_county_year_temperature.csv,IDENTICAL_BYTES,,
reproduction,tables/e01_level_vs_change_summary.csv,IDENTICAL_BYTES,,
reproduction,tables/e01_record_extent_and_coverage.csv,IDENTICAL_BYTES,,
reproduction,tables/e01_state_decade_temperature.csv,IDENTICAL_BYTES,,
reproduction,tables/e01_state_month_decadal_change.csv,IDENTICAL_BYTES,,
reproduction,tables/e01_state_month_temperature.csv,IDENTICAL_BYTES,,
reproduction,tables/e01_state_year_temperature.csv,IDENTICAL_BYTES,,
reproduction,tables/e02_master_run_summary.csv,IDENTICAL_BYTES,,
reproduction,tables/e03_absolute_vs_relative.csv,IDENTICAL_BYTES,,
reproduction,tables/e03_agreement_matrix.csv,IDENTICAL_BYTES,,
reproduction,tables/e03_county_floor_effect.csv,IDENTICAL_BYTES,,
reproduction,tables/e03_floor_effect.csv,IDENTICAL_BYTES,,
reproduction,tables/e03_monthly_rates.csv,IDENTICAL_BYTES,,
reproduction,tables/e03_part2_percentile_duration_grid.csv,IDENTICAL_BYTES,,
reproduction,figures/e01_fig01_annual_series_by_state.png,IDENTICAL_BYTES,figure reproduces bit-for-bit,
reproduction,figures/e01_fig02_distribution_by_state.png,IDENTICAL_BYTES,figure reproduces bit-for-bit,
reproduction,figures/e01_fig03_decadal_change.png,IDENTICAL_BYTES,figure reproduces bit-for-bit,
reproduction,figures/e01_fig04_monthly.png,IDENTICAL_BYTES,figure reproduces bit-for-bit,
reproduction,figures/e03_fig05_part2_percentile_duration_grid.png,IDENTICAL_BYTES,figure reproduces bit-for-bit,
reproduction,figures/e03_fig05b_part2_agreement.png,IDENTICAL_BYTES,figure reproduces bit-for-bit,
reproduction,figures/e03_fig06_part2_seasonality.png,IDENTICAL_BYTES,figure reproduces bit-for-bit,
reproduction,figures/e03_fig07_floor_effect.png,IDENTICAL_BYTES,figure reproduces bit-for-bit,
reproduction,figures/e03_fig08_absolute_vs_relative.png,IDENTICAL_BYTES,figure reproduces bit-for-bit,
reproduction,figures/e03_fig09_county_floor_effect_map.png,IDENTICAL_BYTES,figure reproduces bit-for-bit,
reproduction,qa/e02_floor_operator_check.csv,NOT_RE_EXECUTED,"produced by e02, reproduced independently in r06 by exact set equality",
reproduction,qa/e02_reconciliation.csv,NOT_RE_EXECUTED,"produced by e02, reproduced independently in r06 by exact set equality",
