role,artifact,path,exists,size_bytes,md5,n_rows,n_cols
input_raw_ghcn,ghcn_county_day_weather_TX.csv,..\data\raw\gulf_states\TX\weather\ghcn_county_day_weather_TX.csv,True,284579707,76215e1f341ef9d2a5cffcaf3a8c5a39,,
input_raw_ghcn,ghcn_county_day_weather_LA.csv,..\data\raw\gulf_states\LA\weather\ghcn_county_day_weather_LA.csv,True,71632608,61d2e078fd2d95159915fcf01954d42f,,
input_raw_ghcn,ghcn_county_day_weather_MS.csv,..\data\raw\gulf_states\MS\weather\ghcn_county_day_weather_MS.csv,True,83973536,ee6874e3e15f88b2c0a672f577ade606,,
input_raw_ghcn,ghcn_county_day_weather_AL.csv,..\data\raw\gulf_states\AL\weather\ghcn_county_day_weather_AL.csv,True,72583703,31b7f24b3279af3338ed96d03b133acc,,
input_raw_ghcn,ghcn_county_day_weather_FL.csv,..\data\raw\gulf_states\FL\weather\ghcn_county_day_weather_FL.csv,True,76910689,db8b029f732e3549ce165a9238beca0f,,
input_county_day_idw,county_daily_heat.csv,outputs\TX\county_daily_heat.csv,True,694182201,f0276ee5888539f9dd4df1b3c7d2435e,,
input_coverage_report,coverage_and_imputation_report.csv,outputs\TX\coverage_and_imputation_report.csv,True,9716,2ef593e23fc25497fda94d3125a899cf,254.0,7.0
input_shapefile,tl_2020_us_county.shp,..\data\raw\census\county_shapefile\tl_2020_us_county.shp,True,129565400,6fd25631368912fe749402c019a5ef74,,
input_eligibility_reused,eligibility_county_month.csv,outputs\definition_comparison\tables\eligibility_county_month.csv,True,15730789,15d0356b0646ed5430545c302465f5f6,402336.0,11.0
input_threshold_cache,thresholds_TMAX_P80_w05.csv.gz,outputs\TX\grid\_thresholds\thresholds_TMAX_P80_w05.csv.gz,True,5997074,c6d6763c9067c56a6df783016625aa25,1022604.0,12.0
input_threshold_cache,thresholds_TMAX_P80_w15.csv.gz,outputs\TX\grid\_thresholds\thresholds_TMAX_P80_w15.csv.gz,True,5659552,90ecc838c8ea94aebded9a0a0a29cf12,1022604.0,12.0
input_threshold_cache,thresholds_TMAX_P80_month.csv.gz,outputs\TX\grid\_thresholds\thresholds_TMAX_P80_month.csv.gz,True,205992,dc6f7b4d6f87fd41dfcf6eafef2bf6ea,33528.0,12.0
input_threshold_cache,thresholds_TMAX_P80_month_pm7.csv.gz,outputs\TX\grid\_thresholds\thresholds_TMAX_P80_month_pm7.csv.gz,True,208310,cc0ab7a260ea8ed5767a67544b2dc92b,33528.0,12.0
input_threshold_cache,thresholds_TMAX_P85_w05.csv.gz,outputs\TX\grid\_thresholds\thresholds_TMAX_P85_w05.csv.gz,True,6047367,b09be9b7e69d8b4f1d90489ec58faea0,1022604.0,12.0
input_threshold_cache,thresholds_TMAX_P85_w15.csv.gz,outputs\TX\grid\_thresholds\thresholds_TMAX_P85_w15.csv.gz,True,5633783,50898aad779911299045a3bfb3260e34,1022604.0,12.0
input_threshold_cache,thresholds_TMAX_P85_month.csv.gz,outputs\TX\grid\_thresholds\thresholds_TMAX_P85_month.csv.gz,True,212472,912c9f3c7822e550c760d5eba07f894f,33528.0,12.0
input_threshold_cache,thresholds_TMAX_P85_month_pm7.csv.gz,outputs\TX\grid\_thresholds\thresholds_TMAX_P85_month_pm7.csv.gz,True,212644,27c44cf4e52b978e79e32fc17c6fdd35,33528.0,12.0
input_threshold_cache,thresholds_TMAX_P90_w05.csv.gz,outputs\TX\grid\_thresholds\thresholds_TMAX_P90_w05.csv.gz,True,5907815,d167fb9d359253c6717bd766af88b4b0,1022604.0,12.0
input_threshold_cache,thresholds_TMAX_P90_w15.csv.gz,outputs\TX\grid\_thresholds\thresholds_TMAX_P90_w15.csv.gz,True,5492825,df2fe1677e9b9ac38c9f85737dfd7af0,1022604.0,12.0
input_threshold_cache,thresholds_TMAX_P90_month.csv.gz,outputs\TX\grid\_thresholds\thresholds_TMAX_P90_month.csv.gz,True,207833,4dcc75ddf25351d122bcf67fb9dd29a1,33528.0,12.0
input_threshold_cache,thresholds_TMAX_P90_month_pm7.csv.gz,outputs\TX\grid\_thresholds\thresholds_TMAX_P90_month_pm7.csv.gz,True,208759,735c19eda2e98848c7615f2e8f2813d4,33528.0,12.0
input_benchmark_tmax,county_day_tmax.csv,..\data\raw\noaa\county_day_tmax.csv,True,249776705,8a31536dab13ccf6721f0ed4f44272bf,,
input_benchmark_tmin,county_day_tmin.csv,..\data\raw\noaa\county_day_tmin.csv,True,249474404,10a0c0beedaef88e5ca90280e3857d98,,
current_script,e01_state_temperature_eda.py,outputs\extreme_temp_tests\scripts\e01_state_temperature_eda.py,True,30350,c10c652043dec757d494413d7fbc5163,,
current_script,e02_run_extreme_definitions.py,outputs\extreme_temp_tests\scripts\e02_run_extreme_definitions.py,True,19191,c39648751c88a014e9eff9bafb946ac5,,
current_script,e03_tables_and_figures.py,outputs\extreme_temp_tests\scripts\e03_tables_and_figures.py,True,36251,27fda47ed8fe41dc733413a982559905,,
current_script,e04_report.py,outputs\extreme_temp_tests\scripts\e04_report.py,True,29607,2a7ca5bf6b958d60796fffc87c4beb1b,,
current_script,etx_config.py,outputs\extreme_temp_tests\scripts\etx_config.py,True,14888,57bc9d4ffaf0acc9f4fc3617f27df379,,
current_table,e01_balanced_panel_counties.csv,outputs\extreme_temp_tests\tables\e01_balanced_panel_counties.csv,True,22349,e68b9c7aafd9f898077575eb8571cb49,1097.0,4.0
current_table,e01_county_year_temperature.csv,outputs\extreme_temp_tests\tables\e01_county_year_temperature.csv,True,5709249,f06f7dae5b1bc26c9dd1b95b50dc72a2,65031.0,12.0
current_table,e01_level_vs_change_summary.csv,outputs\extreme_temp_tests\tables\e01_level_vs_change_summary.csv,True,2517,47ed752f0e6983139f4ae54207c6a865,15.0,10.0
current_table,e01_record_extent_and_coverage.csv,outputs\extreme_temp_tests\tables\e01_record_extent_and_coverage.csv,True,441,b217a0e71e976f77a4442ec176a758ad,5.0,9.0
current_table,e01_state_decade_temperature.csv,outputs\extreme_temp_tests\tables\e01_state_decade_temperature.csv,True,13118,1b29452d458c2d473022ced00ca3691e,150.0,13.0
current_table,e01_state_month_decadal_change.csv,outputs\extreme_temp_tests\tables\e01_state_month_decadal_change.csv,True,9423,b154b4c20dad761408d7514d962212ab,180.0,9.0
current_table,e01_state_month_temperature.csv,outputs\extreme_temp_tests\tables\e01_state_month_temperature.csv,True,7371,ab5cb5567b52b47598bc451947d186de,180.0,8.0
current_table,e01_state_year_temperature.csv,outputs\extreme_temp_tests\tables\e01_state_year_temperature.csv,True,41122,35e3fbb3ac807f4ffe086f7e9aa29e17,705.0,10.0
current_table,e02_master_run_summary.csv,outputs\extreme_temp_tests\tables\e02_master_run_summary.csv,True,16286,028a4a9cbbfbbc33dc1ab1c228682b0f,60.0,36.0
current_table,e03_absolute_vs_relative.csv,outputs\extreme_temp_tests\tables\e03_absolute_vs_relative.csv,True,2315,5fe485c724739e06500142bf4d582b9e,18.0,17.0
