construct_id,legacy_definition_id,window,quantity,rebuilt,stored,only_rebuilt,only_stored,result
REL_TX_P80_D2_W05,TMAX_P80_2D,w05,classified_county_dates,218071,218071,0,0,PASS
REL_TX_P80_D2_W05,TMAX_P80_2D,w05,event_boundaries,54102,54102,0,0,PASS
REL_TX_P80_D2_W15,TMAX_P80_2D,w15,classified_county_dates,213399,213399,0,0,PASS
REL_TX_P80_D2_W15,TMAX_P80_2D,w15,event_boundaries,53220,53220,0,0,PASS
REL_TX_P80_D2_MON,TMAX_P80_2D,month,classified_county_dates,210778,210778,0,0,PASS
REL_TX_P80_D2_MON,TMAX_P80_2D,month,event_boundaries,51922,51922,0,0,PASS
REL_TX_P80_D2_MONPM7,TMAX_P80_2D,month_pm7,classified_county_dates,201146,201146,0,0,PASS
REL_TX_P80_D2_MONPM7,TMAX_P80_2D,month_pm7,event_boundaries,50081,50081,0,0,PASS
REL_TX_P80_D3_W05,TMAX_P80_3D,w05,classified_county_dates,176247,176247,0,0,PASS
REL_TX_P80_D3_W05,TMAX_P80_3D,w05,event_boundaries,33190,33190,0,0,PASS
REL_TX_P80_D3_W15,TMAX_P80_3D,w15,classified_county_dates,171965,171965,0,0,PASS
REL_TX_P80_D3_W15,TMAX_P80_3D,w15,event_boundaries,32503,32503,0,0,PASS
REL_TX_P80_D3_MON,TMAX_P80_3D,month,classified_county_dates,170846,170846,0,0,PASS
REL_TX_P80_D3_MON,TMAX_P80_3D,month,event_boundaries,31956,31956,0,0,PASS
REL_TX_P80_D3_MONPM7,TMAX_P80_3D,month_pm7,classified_county_dates,162192,162192,0,0,PASS
REL_TX_P80_D3_MONPM7,TMAX_P80_3D,month_pm7,event_boundaries,30604,30604,0,0,PASS
REL_TX_P80_D5_W05,TMAX_P80_5D,w05,classified_county_dates,110467,110467,0,0,PASS
REL_TX_P80_D5_W05,TMAX_P80_5D,w05,event_boundaries,13757,13757,0,0,PASS
REL_TX_P80_D5_W15,TMAX_P80_5D,w15,classified_county_dates,107118,107118,0,0,PASS
REL_TX_P80_D5_W15,TMAX_P80_5D,w15,event_boundaries,13312,13312,0,0,PASS
REL_TX_P80_D5_MON,TMAX_P80_5D,month,classified_county_dates,109191,109191,0,0,PASS
REL_TX_P80_D5_MON,TMAX_P80_5D,month,event_boundaries,13713,13713,0,0,PASS
REL_TX_P80_D5_MONPM7,TMAX_P80_5D,month_pm7,classified_county_dates,102008,102008,0,0,PASS
REL_TX_P80_D5_MONPM7,TMAX_P80_5D,month_pm7,event_boundaries,12788,12788,0,0,PASS
REL_TX_P85_D2_W05,TMAX_P85_2D,w05,classified_county_dates,166682,166682,0,0,PASS
REL_TX_P85_D2_W05,TMAX_P85_2D,w05,event_boundaries,43751,43751,0,0,PASS
REL_TX_P85_D2_W15,TMAX_P85_2D,w15,classified_county_dates,161004,161004,0,0,PASS
REL_TX_P85_D2_W15,TMAX_P85_2D,w15,event_boundaries,42631,42631,0,0,PASS
REL_TX_P85_D2_MON,TMAX_P85_2D,month,classified_county_dates,158349,158349,0,0,PASS
REL_TX_P85_D2_MON,TMAX_P85_2D,month,event_boundaries,41318,41318,0,0,PASS
REL_TX_P85_D2_MONPM7,TMAX_P85_2D,month_pm7,classified_county_dates,148222,148222,0,0,PASS
REL_TX_P85_D2_MONPM7,TMAX_P85_2D,month_pm7,event_boundaries,39146,39146,0,0,PASS
REL_TX_P85_D3_W05,TMAX_P85_3D,w05,classified_county_dates,130118,130118,0,0,PASS
REL_TX_P85_D3_W05,TMAX_P85_3D,w05,event_boundaries,25469,25469,0,0,PASS
REL_TX_P85_D3_W15,TMAX_P85_3D,w15,classified_county_dates,124812,124812,0,0,PASS
REL_TX_P85_D3_W15,TMAX_P85_3D,w15,event_boundaries,24535,24535,0,0,PASS
REL_TX_P85_D3_MON,TMAX_P85_3D,month,classified_county_dates,124531,124531,0,0,PASS
REL_TX_P85_D3_MON,TMAX_P85_3D,month,event_boundaries,24409,24409,0,0,PASS
REL_TX_P85_D3_MONPM7,TMAX_P85_3D,month_pm7,classified_county_dates,115678,115678,0,0,PASS
REL_TX_P85_D3_MONPM7,TMAX_P85_3D,month_pm7,event_boundaries,22874,22874,0,0,PASS
REL_TX_P85_D5_W05,TMAX_P85_5D,w05,classified_county_dates,78074,78074,0,0,PASS
REL_TX_P85_D5_W05,TMAX_P85_5D,w05,event_boundaries,9959,9959,0,0,PASS
REL_TX_P85_D5_W15,TMAX_P85_5D,w15,classified_county_dates,74264,74264,0,0,PASS
REL_TX_P85_D5_W15,TMAX_P85_5D,w15,event_boundaries,9457,9457,0,0,PASS
REL_TX_P85_D5_MON,TMAX_P85_5D,month,classified_county_dates,75019,75019,0,0,PASS
REL_TX_P85_D5_MON,TMAX_P85_5D,month,event_boundaries,9702,9702,0,0,PASS
REL_TX_P85_D5_MONPM7,TMAX_P85_5D,month_pm7,classified_county_dates,68713,68713,0,0,PASS
REL_TX_P85_D5_MONPM7,TMAX_P85_5D,month_pm7,event_boundaries,8894,8894,0,0,PASS
REL_TX_P90_D2_W05,TMAX_P90_2D,w05,classified_county_dates,114603,114603,0,0,PASS
REL_TX_P90_D2_W05,TMAX_P90_2D,w05,event_boundaries,31963,31963,0,0,PASS
REL_TX_P90_D2_W15,TMAX_P90_2D,w15,classified_county_dates,108359,108359,0,0,PASS
REL_TX_P90_D2_W15,TMAX_P90_2D,w15,event_boundaries,30503,30503,0,0,PASS
REL_TX_P90_D2_MON,TMAX_P90_2D,month,classified_county_dates,106769,106769,0,0,PASS
REL_TX_P90_D2_MON,TMAX_P90_2D,month,event_boundaries,29755,29755,0,0,PASS
REL_TX_P90_D2_MONPM7,TMAX_P90_2D,month_pm7,classified_county_dates,97478,97478,0,0,PASS
REL_TX_P90_D2_MONPM7,TMAX_P90_2D,month_pm7,event_boundaries,27589,27589,0,0,PASS
REL_TX_P90_D3_W05,TMAX_P90_3D,w05,classified_county_dates,85949,85949,0,0,PASS
