construct_id,construct_family,short_label,max_month_rate,min_month_rate,max_over_min_ratio,coefficient_of_variation,criterion_max_over_min,criterion_coefficient_of_variation,meets_flatness_criterion,verdict
ABS_TX_A80_D2,absolute,TX->80-D2,994.77,11.465,86.766,0.7531,1.5,0.15,False,not flat
ABS_TX_A80_D3,absolute,TX->80-D3,994.504,6.027,165.008,0.8001,1.5,0.15,False,not flat
ABS_TX_A80_D5,absolute,TX->80-D5,994.389,2.298,432.719,0.8806,1.5,0.15,False,not flat
ABS_TX_A90_D2,absolute,TX->90-D2,850.336,0.058,14660.966,1.206,1.5,0.15,False,not flat
ABS_TX_A90_D3,absolute,TX->90-D3,836.92,0.023,36387.826,1.2476,1.5,0.15,False,not flat
ABS_TX_A90_D5,absolute,TX->90-D5,810.158,0.0,inf,inf,1.5,0.15,False,not flat
HYB_TX_P80_D2_A80_W15,hybrid,TX-P80-D2+A80,260.928,11.522,22.646,0.5129,1.5,0.15,False,not flat
HYB_TX_P80_D2_A90_W15,hybrid,TX-P80-D2+A90,239.661,0.058,4132.086,0.989,1.5,0.15,False,not flat
HYB_TX_P80_D3_A80_W15,hybrid,TX-P80-D3+A80,216.732,5.946,36.45,0.5971,1.5,0.15,False,not flat
HYB_TX_P80_D3_A90_W15,hybrid,TX-P80-D3+A90,215.208,0.023,9356.87,1.0421,1.5,0.15,False,not flat
HYB_TX_P80_D5_A80_W15,hybrid,TX-P80-D5+A80,171.762,2.425,70.83,0.7456,1.5,0.15,False,not flat
HYB_TX_P80_D5_A90_W15,hybrid,TX-P80-D5+A90,171.681,0.0,inf,inf,1.5,0.15,False,not flat
HYB_TX_P85_D2_A80_W15,hybrid,TX-P85-D2+A80,200.845,11.13,18.045,0.4856,1.5,0.15,False,not flat
HYB_TX_P85_D2_A90_W15,hybrid,TX-P85-D2+A90,193.04,0.058,3328.276,0.9651,1.5,0.15,False,not flat
HYB_TX_P85_D3_A80_W15,hybrid,TX-P85-D3+A80,170.758,5.646,30.244,0.5834,1.5,0.15,False,not flat
HYB_TX_P85_D3_A90_W15,hybrid,TX-P85-D3+A90,170.758,0.023,7424.261,1.0241,1.5,0.15,False,not flat
HYB_TX_P85_D5_A80_W15,hybrid,TX-P85-D5+A80,133.512,2.24,59.604,0.7461,1.5,0.15,False,not flat
HYB_TX_P85_D5_A90_W15,hybrid,TX-P85-D5+A90,133.512,0.0,inf,inf,1.5,0.15,False,not flat
HYB_TX_P90_D2_A80_W15,hybrid,TX-P90-D2+A80,143.487,9.814,14.621,0.46,1.5,0.15,False,not flat
HYB_TX_P90_D2_A90_W15,hybrid,TX-P90-D2+A90,143.487,0.058,2473.914,0.9458,1.5,0.15,False,not flat
HYB_TX_P90_D3_A80_W15,hybrid,TX-P90-D3+A80,124.922,4.734,26.388,0.5794,1.5,0.15,False,not flat
HYB_TX_P90_D3_A90_W15,hybrid,TX-P90-D3+A90,124.922,0.023,5431.391,1.0177,1.5,0.15,False,not flat
HYB_TX_P90_D5_A80_W15,hybrid,TX-P90-D5+A80,92.537,1.593,58.09,0.7623,1.5,0.15,False,not flat
HYB_TX_P90_D5_A90_W15,hybrid,TX-P90-D5+A90,92.537,0.0,inf,inf,1.5,0.15,False,not flat
REL_TX_P80_D2_W15,relative,TX-P80-D2,262.048,137.557,1.905,0.1769,1.5,0.15,False,not flat
REL_TX_P80_D3_W15,relative,TX-P80-D3,217.967,76.092,2.865,0.2658,1.5,0.15,False,not flat
REL_TX_P80_D5_W15,relative,TX-P80-D5,171.762,24.934,6.889,0.4765,1.5,0.15,False,not flat
REL_TX_P85_D2_W15,relative,TX-P85-D2,201.168,93.152,2.16,0.2063,1.5,0.15,False,not flat
REL_TX_P85_D3_W15,relative,TX-P85-D3,170.758,43.391,3.935,0.3123,1.5,0.15,False,not flat
REL_TX_P85_D5_W15,relative,TX-P85-D5,133.512,12.467,10.709,0.529,1.5,0.15,False,not flat
REL_TX_P90_D2_W15,relative,TX-P90-D2,143.487,52.434,2.737,0.2521,1.5,0.15,False,not flat
REL_TX_P90_D3_W15,relative,TX-P90-D3,124.922,18.945,6.594,0.3725,1.5,0.15,False,not flat
REL_TX_P90_D5_W15,relative,TX-P90-D5,92.537,4.044,22.883,0.5918,1.5,0.15,False,not flat
