state,county_fips,county_name,date,year,month,tmax_f,tmin_f,tmax_f_nstations,tmin_f_nstations,daily_low_minus_daily_high_f,station_sets_differ,in_texas_classification_window,action
TX,48057,Calhoun,1995-10-29,1995,10,51.08,66.02,1.0,1.0,14.94,False,False,quarantine_whole_county_date_and_report
TX,48057,Calhoun,1997-11-27,1997,11,64.94,69.08,2.0,1.0,4.14,True,False,quarantine_whole_county_date_and_report
TX,48057,Calhoun,1999-03-17,1999,3,71.96000000000001,74.47999999999999,2.0,2.0,2.52,False,False,quarantine_whole_county_date_and_report
TX,48057,Calhoun,2001-04-07,2001,4,77.0,81.5,1.0,2.0,4.5,True,False,quarantine_whole_county_date_and_report
TX,48131,Duval,1983-12-06,1983,12,48.02,50.0,1.0,1.0,1.98,False,False,quarantine_whole_county_date_and_report
TX,48131,Duval,1983-12-17,1983,12,35.06,37.49,1.0,2.0,2.43,True,False,quarantine_whole_county_date_and_report
TX,48131,Duval,1983-12-20,1983,12,35.06,37.94,1.0,1.0,2.88,False,False,quarantine_whole_county_date_and_report
TX,48131,Duval,1986-12-18,1986,12,57.56,60.08,2.0,1.0,2.52,True,False,quarantine_whole_county_date_and_report
TX,48193,Hamilton,1982-11-25,1982,11,35.06,37.94,1.0,1.0,2.88,False,False,quarantine_whole_county_date_and_report
TX,48209,Hays,1995-02-12,1995,2,37.94,41.99,1.0,2.0,4.05,True,False,quarantine_whole_county_date_and_report
TX,48253,Jones,1995-03-02,1995,3,24.08,24.44,1.0,2.0,0.36,True,False,quarantine_whole_county_date_and_report
TX,48309,McLennan,2001-01-01,2001,1,30.92,30.98,2.0,3.0,0.06,True,False,quarantine_whole_county_date_and_report
TX,48321,Matagorda,1997-01-07,1997,1,41.99,48.26,2.0,3.0,6.27,True,False,quarantine_whole_county_date_and_report
TX,48321,Matagorda,1997-01-13,1997,1,33.08,38.3,2.0,3.0,5.22,True,False,quarantine_whole_county_date_and_report
TX,48481,Wharton,2000-01-31,2000,1,50.99,51.98,2.0,1.0,0.99,True,False,quarantine_whole_county_date_and_report
TX,48501,Yoakum,1987-02-19,1987,2,33.08,34.97,1.0,2.0,1.89,True,False,quarantine_whole_county_date_and_report
LA,22071,Orleans,1979-06-01,1979,6,44.510000000000005,75.02,2.0,1.0,30.51,True,False,quarantine_whole_county_date_and_report
MS,28045,Hancock,2016-01-01,2016,1,51.08,52.07,1.0,2.0,0.99,True,False,quarantine_whole_county_date_and_report
