relative_construct,hybrid_construct,label,percentile,duration_days,absolute_gate_f,threshold_window,pct_classified_days_retained,day_level_jaccard_with_no_gate,median_annual_event_count_no_gate,median_annual_event_count_with_gate,annual_event_count_change,median_annual_classified_days_no_gate,median_annual_classified_days_with_gate,annual_classified_day_change,counties_with_any_day_no_gate,counties_with_any_day_with_gate,counties_losing_all_days,median_county_retention_pct,p10_county_retention_pct,p90_county_retention_pct,geographic_spread_of_retention_pct,pct_days_june_september_no_gate,pct_days_june_september_with_gate,pct_days_may_and_october_no_gate,pct_days_may_and_october_with_gate,pct_days_november_april_no_gate,pct_days_november_april_with_gate,warm_season_rate_no_gate,warm_season_rate_with_gate,cool_season_rate_no_gate,cool_season_rate_with_gate,construct_change,gate_note
REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,w15,75.37,0.7537,19.0,13.0,-6.0,71.0,51.0,-20.0,254,254,0,74.32,63.9,85.35,21.45,36.55,48.49,18.32,24.24,45.13,27.27,228.813,228.813,190.159,86.59,the gate changes the construct from a purely relative warm spell to a hybrid relative-and-absolute heat event; it is not a correction to the relative rule,an absolute daily-high gate chosen for this sensitivity test; NOT a National Weather Service advisory threshold
REL_TX_P80_D2_W15,HYB_TX_P80_D2_A90_W15,TX-P80-D2,80,2,90.0,w15,48.59,0.4859,19.0,8.0,-11.0,71.0,32.0,-39.0,254,254,0,48.64,37.91,57.96,20.05,36.55,74.78,18.32,21.68,45.13,3.54,228.813,227.499,190.159,7.246,the gate changes the construct from a purely relative warm spell to a hybrid relative-and-absolute heat event; it is not a correction to the relative rule,an absolute daily-high gate chosen for this sensitivity test; NOT a National Weather Service advisory threshold
REL_TX_P80_D3_W15,HYB_TX_P80_D3_A80_W15,TX-P80-D3,80,3,80.0,w15,76.11,0.7611,11.0,8.0,-3.0,54.0,39.0,-15.0,254,254,0,75.37,63.94,86.14,22.21,40.34,53.01,19.04,24.93,40.62,22.06,203.533,203.533,137.91,57.012,the gate changes the construct from a purely relative warm spell to a hybrid relative-and-absolute heat event; it is not a correction to the relative rule,an absolute daily-high gate chosen for this sensitivity test; NOT a National Weather Service advisory threshold
REL_TX_P80_D3_W15,HYB_TX_P80_D3_A90_W15,TX-P80-D3,80,3,90.0,w15,51.6,0.516,11.0,5.0,-6.0,54.0,26.0,-28.0,254,254,0,52.2,39.67,61.39,21.72,40.34,77.71,19.04,20.53,40.62,1.76,203.533,202.316,137.91,3.078,the gate changes the construct from a purely relative warm spell to a hybrid relative-and-absolute heat event; it is not a correction to the relative rule,an absolute daily-high gate chosen for this sensitivity test; NOT a National Weather Service advisory threshold
REL_TX_P80_D5_W15,HYB_TX_P80_D5_A80_W15,TX-P80-D5,80,5,80.0,w15,81.46,0.8146,4.0,3.0,-1.0,31.0,24.0,-7.0,254,254,0,81.2,70.09,89.96,19.87,49.02,60.18,20.99,25.66,29.99,14.17,154.045,154.045,63.425,24.406,the gate changes the construct from a purely relative warm spell to a hybrid relative-and-absolute heat event; it is not a correction to the relative rule,an absolute daily-high gate chosen for this sensitivity test; NOT a National Weather Service advisory threshold
REL_TX_P80_D5_W15,HYB_TX_P80_D5_A90_W15,TX-P80-D5,80,5,90.0,w15,60.66,0.6066,4.0,2.0,-2.0,31.0,16.0,-15.0,254,254,0,61.69,47.3,72.91,25.61,49.02,80.34,20.99,18.92,29.99,0.74,154.045,153.133,63.425,0.952,the gate changes the construct from a purely relative warm spell to a hybrid relative-and-absolute heat event; it is not a correction to the relative rule,an absolute daily-high gate chosen for this sensitivity test; NOT a National Weather Service advisory threshold
REL_TX_P85_D2_W15,HYB_TX_P85_D2_A80_W15,TX-P85-D2,85,2,80.0,w15,78.09,0.7809,15.0,11.0,-4.0,51.0,38.0,-13.0,254,254,0,77.54,65.89,88.14,22.26,37.06,47.45,18.63,23.84,44.31,28.71,175.027,175.027,140.867,71.285,the gate changes the construct from a purely relative warm spell to a hybrid relative-and-absolute heat event; it is not a correction to the relative rule,an absolute daily-high gate chosen for this sensitivity test; NOT a National Weather Service advisory threshold
REL_TX_P85_D2_W15,HYB_TX_P85_D2_A90_W15,TX-P85-D2,85,2,90.0,w15,50.9,0.509,15.0,6.0,-9.0,51.0,23.0,-28.0,254,254,0,50.69,38.05,61.37,23.33,37.06,72.64,18.63,23.29,44.31,4.07,175.027,174.642,140.867,6.583,the gate changes the construct from a purely relative warm spell to a hybrid relative-and-absolute heat event; it is not a correction to the relative rule,an absolute daily-high gate chosen for this sensitivity test; NOT a National Weather Service advisory threshold
REL_TX_P85_D3_W15,HYB_TX_P85_D3_A80_W15,TX-P85-D3,85,3,80.0,w15,79.09,0.7909,8.0,6.0,-2.0,38.0,28.0,-10.0,254,254,0,78.63,65.87,89.1,23.23,41.4,52.35,19.58,24.72,39.02,22.93,151.584,151.584,96.157,44.687,the gate changes the construct from a purely relative warm spell to a hybrid relative-and-absolute heat event; it is not a correction to the relative rule,an absolute daily-high gate chosen for this sensitivity test; NOT a National Weather Service advisory threshold
REL_TX_P85_D3_W15,HYB_TX_P85_D3_A90_W15,TX-P85-D3,85,3,90.0,w15,54.52,0.5452,8.0,4.0,-4.0,38.0,18.0,-20.0,254,254,0,55.09,40.7,65.13,24.43,41.4,75.77,19.58,22.24,39.02,1.99,151.584,151.264,96.157,2.667,the gate changes the construct from a purely relative warm spell to a hybrid relative-and-absolute heat event; it is not a correction to the relative rule,an absolute daily-high gate chosen for this sensitivity test; NOT a National Weather Service advisory threshold
