absolute_construct,absolute_label,absolute_gate_f,duration_days,relative_construct,relative_label,percentile,threshold_window,median_annual_classified_days_absolute,median_annual_classified_days_relative,median_annual_event_count_absolute,median_annual_event_count_relative,rate_per_1000_absolute,rate_per_1000_relative,pct_days_june_september_absolute,pct_days_june_september_relative,county_dates_shared,county_dates_absolute_only,county_dates_relative_only,jaccard,interpretation
ABS_TX_A80_D2,TX->80-D2,80.0,2,REL_TX_P80_D2_W15,TX-P80-D2,80,w15,184.0,71.0,13.0,19.0,518.036,209.097,62.48,36.55,160660,368033,52739,0.2763,"agreement, not accuracy; the two constructs answer different questions"
ABS_TX_A80_D2,TX->80-D2,80.0,2,REL_TX_P85_D2_W15,TX-P85-D2,85,w15,184.0,51.0,13.0,15.0,518.036,157.759,62.48,37.06,125586,403107,35418,0.2226,"agreement, not accuracy; the two constructs answer different questions"
ABS_TX_A80_D2,TX->80-D2,80.0,2,REL_TX_P90_D2_W15,TX-P90-D2,90,w15,184.0,33.0,13.0,10.0,518.036,106.175,62.48,37.6,87839,440854,20520,0.1599,"agreement, not accuracy; the two constructs answer different questions"
ABS_TX_A80_D3,TX->80-D3,80.0,3,REL_TX_P80_D3_W15,TX-P80-D3,80,w15,177.0,54.0,10.0,11.0,497.975,168.499,64.85,40.34,130764,377455,41201,0.238,"agreement, not accuracy; the two constructs answer different questions"
ABS_TX_A80_D3,TX->80-D3,80.0,3,REL_TX_P85_D3_W15,TX-P85-D3,85,w15,177.0,38.0,10.0,8.0,497.975,122.296,64.85,41.4,98618,409601,26194,0.1845,"agreement, not accuracy; the two constructs answer different questions"
ABS_TX_A80_D3,TX->80-D3,80.0,3,REL_TX_P90_D3_W15,TX-P90-D3,90,w15,177.0,23.0,10.0,5.0,497.975,79.127,64.85,42.52,66117,442102,14638,0.1265,"agreement, not accuracy; the two constructs answer different questions"
ABS_TX_A80_D5,TX->80-D5,80.0,5,REL_TX_P80_D5_W15,TX-P80-D5,80,w15,165.0,31.0,6.0,4.0,463.894,104.959,69.27,49.02,87210,386227,19908,0.1768,"agreement, not accuracy; the two constructs answer different questions"
ABS_TX_A80_D5,TX->80-D5,80.0,5,REL_TX_P85_D5_W15,TX-P85-D5,85,w15,165.0,20.0,6.0,3.0,463.894,72.767,69.27,50.48,62339,411098,11925,0.1284,"agreement, not accuracy; the two constructs answer different questions"
ABS_TX_A80_D5,TX->80-D5,80.0,5,REL_TX_P90_D5_W15,TX-P90-D5,90,w15,165.0,12.0,6.0,2.0,463.894,44.162,69.27,51.34,38533,434904,6538,0.0803,"agreement, not accuracy; the two constructs answer different questions"
ABS_TX_A90_D2,TX->90-D2,90.0,2,REL_TX_P80_D2_W15,TX-P80-D2,80,w15,100.0,71.0,10.0,19.0,274.974,209.097,87.58,36.55,103699,176932,109700,0.2657,"agreement, not accuracy; the two constructs answer different questions"
ABS_TX_A90_D2,TX->90-D2,90.0,2,REL_TX_P85_D2_W15,TX-P85-D2,85,w15,100.0,51.0,10.0,15.0,274.974,157.759,87.58,37.06,81955,198676,79049,0.2279,"agreement, not accuracy; the two constructs answer different questions"
ABS_TX_A90_D2,TX->90-D2,90.0,2,REL_TX_P90_D2_W15,TX-P90-D2,90,w15,100.0,33.0,10.0,10.0,274.974,106.175,87.58,37.6,57957,222674,50402,0.1751,"agreement, not accuracy; the two constructs answer different questions"
ABS_TX_A90_D3,TX->90-D3,90.0,3,REL_TX_P80_D3_W15,TX-P80-D3,80,w15,96.0,54.0,7.0,11.0,262.383,168.499,89.51,40.34,88749,179032,83216,0.2528,"agreement, not accuracy; the two constructs answer different questions"
ABS_TX_A90_D3,TX->90-D3,90.0,3,REL_TX_P85_D3_W15,TX-P85-D3,85,w15,96.0,38.0,7.0,8.0,262.383,122.296,89.51,41.4,68050,199731,56762,0.2097,"agreement, not accuracy; the two constructs answer different questions"
ABS_TX_A90_D3,TX->90-D3,90.0,3,REL_TX_P90_D3_W15,TX-P90-D3,90,w15,96.0,23.0,7.0,5.0,262.383,79.127,89.51,42.52,46450,221331,34305,0.1538,"agreement, not accuracy; the two constructs answer different questions"
ABS_TX_A90_D5,TX->90-D5,90.0,5,REL_TX_P80_D5_W15,TX-P80-D5,80,w15,88.0,31.0,5.0,4.0,241.181,104.959,91.7,49.02,64985,181158,42133,0.2254,"agreement, not accuracy; the two constructs answer different questions"
ABS_TX_A90_D5,TX->90-D5,90.0,5,REL_TX_P85_D5_W15,TX-P85-D5,85,w15,88.0,20.0,5.0,3.0,241.181,72.767,91.7,50.48,47519,198624,26745,0.1741,"agreement, not accuracy; the two constructs answer different questions"
ABS_TX_A90_D5,TX->90-D5,90.0,5,REL_TX_P90_D5_W15,TX-P90-D5,90,w15,88.0,12.0,5.0,2.0,241.181,44.162,91.7,51.34,29951,216192,15120,0.1146,"agreement, not accuracy; the two constructs answer different questions"
