construct_id,construct_family,count,mean,std,min,10%,25%,50%,75%,90%,max,short_label
ABS_TX_A80_D2,absolute,2794.0,13.336077308518254,3.5870547079366557,4.0,9.0,11.0,13.0,16.0,18.0,25.0,TX->80-D2
ABS_TX_A80_D3,absolute,2794.0,9.672154617036506,2.7312943956991527,2.0,6.0,8.0,10.0,11.0,13.0,19.0,TX->80-D3
ABS_TX_A80_D5,absolute,2794.0,5.992841803865426,1.9173634066742804,1.0,4.0,5.0,6.0,7.0,8.0,14.0,TX->80-D5
ABS_TX_A90_D2,absolute,2794.0,9.792412312097351,3.19682526576173,1.0,6.0,8.0,10.0,12.0,14.0,23.0,TX->90-D2
ABS_TX_A90_D3,absolute,2794.0,7.492841803865426,2.415811743251496,1.0,4.0,6.0,7.0,9.0,11.0,15.0,TX->90-D3
ABS_TX_A90_D5,absolute,2794.0,5.232283464566929,1.7459736333095013,0.0,3.0,4.0,5.0,6.0,7.0,13.0,TX->90-D5
HYB_TX_P80_D2_A80_W15,hybrid,2794.0,13.716177523264138,5.401327520315872,1.0,7.0,10.0,13.0,17.0,20.0,40.0,TX-P80-D2+A80
HYB_TX_P80_D2_A90_W15,hybrid,2794.0,7.7813171080887615,4.0818419682267955,0.0,3.0,5.0,8.0,11.0,13.0,28.0,TX-P80-D2+A90
HYB_TX_P80_D3_A80_W15,hybrid,2794.0,8.354330708661417,4.072526018316179,0.0,3.0,5.0,8.0,11.0,14.0,26.0,TX-P80-D3+A80
HYB_TX_P80_D3_A90_W15,hybrid,2794.0,5.104867573371511,3.071896205060647,0.0,1.0,3.0,5.0,7.0,9.0,22.0,TX-P80-D3+A90
HYB_TX_P80_D5_A80_W15,hybrid,2794.0,3.7111667859699358,2.45605206862444,0.0,1.0,2.0,3.0,5.0,7.0,16.0,TX-P80-D5+A80
HYB_TX_P80_D5_A90_W15,hybrid,2794.0,2.590909090909091,2.11953972694611,0.0,0.0,1.0,2.0,4.0,6.0,12.0,TX-P80-D5+A90
HYB_TX_P85_D2_A80_W15,hybrid,2794.0,11.474588403722262,5.2763479900349335,0.0,5.0,7.0,11.0,15.0,18.0,39.0,TX-P85-D2+A80
HYB_TX_P85_D2_A90_W15,hybrid,2794.0,6.646027201145311,4.087606730954352,0.0,2.0,3.0,6.0,9.0,12.0,25.0,TX-P85-D2+A90
HYB_TX_P85_D3_A80_W15,hybrid,2794.0,6.63815318539728,3.7892555844323885,0.0,2.0,4.0,6.0,9.0,12.0,23.0,TX-P85-D3+A80
HYB_TX_P85_D3_A90_W15,hybrid,2794.0,4.157122405153901,2.965249459189371,0.0,1.0,2.0,4.0,6.0,8.0,17.0,TX-P85-D3+A90
HYB_TX_P85_D5_A80_W15,hybrid,2794.0,2.7562634216177524,2.195022148093274,0.0,0.0,1.0,2.0,4.0,6.0,15.0,TX-P85-D5+A80
HYB_TX_P85_D5_A90_W15,hybrid,2794.0,1.9778095919828202,1.959911894625605,0.0,0.0,0.0,2.0,3.0,5.0,9.0,TX-P85-D5+A90
HYB_TX_P90_D2_A80_W15,hybrid,2794.0,8.65748031496063,4.760471287803014,0.0,3.0,5.0,8.0,12.0,15.0,29.0,TX-P90-D2+A80
HYB_TX_P90_D2_A90_W15,hybrid,2794.0,5.141732283464567,3.8223097157482524,0.0,1.0,2.0,4.0,8.0,11.0,20.0,TX-P90-D2+A90
HYB_TX_P90_D3_A80_W15,hybrid,2794.0,4.7605583392984965,3.3296513962712764,0.0,1.0,2.0,4.0,7.0,10.0,21.0,TX-P90-D3+A80
HYB_TX_P90_D3_A90_W15,hybrid,2794.0,3.0826771653543306,2.7240887198604633,0.0,0.0,1.0,2.0,5.0,7.0,16.0,TX-P90-D3+A90
HYB_TX_P90_D5_A80_W15,hybrid,2794.0,1.8049391553328562,1.8322695061099918,0.0,0.0,0.0,1.0,3.0,4.0,11.0,TX-P90-D5+A80
HYB_TX_P90_D5_A90_W15,hybrid,2794.0,1.3324982104509664,1.693282907288157,0.0,0.0,0.0,1.0,2.0,4.0,9.0,TX-P90-D5+A90
REL_TX_P80_D2_W15,relative,2794.0,19.047959914101646,5.539803998915976,1.0,12.0,15.0,19.0,23.0,26.0,41.0,TX-P80-D2
REL_TX_P80_D3_W15,relative,2794.0,11.633142448103078,4.097145225742616,0.0,7.0,8.0,11.0,14.0,17.0,29.0,TX-P80-D3
REL_TX_P80_D5_W15,relative,2794.0,4.764495347172512,2.58178351846389,0.0,2.0,3.0,4.0,6.0,8.0,17.0,TX-P80-D5
REL_TX_P85_D2_W15,relative,2794.0,15.258052970651395,5.396188328928154,1.0,8.0,11.0,15.0,19.0,22.0,37.0,TX-P85-D2
REL_TX_P85_D3_W15,relative,2794.0,8.781317108088762,3.7612885231623343,0.0,4.0,6.0,8.0,11.0,14.0,24.0,TX-P85-D3
REL_TX_P85_D5_W15,relative,2794.0,3.384753042233357,2.267422933555408,0.0,1.0,2.0,3.0,5.0,7.0,16.0,TX-P85-D5
REL_TX_P90_D2_W15,relative,2794.0,10.917322834645669,4.832530208771665,0.0,5.0,7.0,10.0,14.0,17.700000000000273,29.0,TX-P90-D2
REL_TX_P90_D3_W15,relative,2794.0,5.977451682176092,3.3311976396301546,0.0,2.0,4.0,5.0,8.0,11.0,21.0,TX-P90-D3
REL_TX_P90_D5_W15,relative,2794.0,2.14924838940587,1.8797318544076094,0.0,0.0,1.0,2.0,3.0,5.0,12.0,TX-P90-D5
