construct_id,construct_family,short_label,reader_name,legacy_definition_id,percentile,duration_days,absolute_gate_f,threshold_window,day_label,median_annual_classified_days,p25_annual_classified_days,p75_annual_classified_days,median_annual_event_count,p25_annual_event_count,p75_annual_event_count,max_annual_event_count,median_cumulative_classified_days_per_county,counties_with_any_classified_day,median_event_duration_days,p75_event_duration_days,max_event_duration_days,pct_days_june_september,pct_days_may_and_october,pct_days_november_april,peak_month,classified_days_per_1000_valid,valid_daily_observations,pct_classified_days_imputed,classified_county_dates_QA,events_QA
REL_TX_P80_D2_W15,relative,TX-P80-D2,"County-specific 80th-percentile Tmax warm spell, minimum duration two days",TMAX_P80_2D,80.0,2,,w15,relative warm-spell day,71.0,54.0,95.0,19.0,15.0,23.0,41,815.5,254,3.0,5.0,69,36.55,18.32,45.13,Oct,209.097,1020572,16.7,213399,53220
REL_TX_P80_D3_W15,relative,TX-P80-D3,"County-specific 80th-percentile Tmax warm spell, minimum duration three days",TMAX_P80_3D,80.0,3,,w15,relative warm-spell day,54.0,40.0,79.0,11.0,8.0,14.0,29,651.0,254,4.0,6.0,69,40.34,19.04,40.62,Oct,168.499,1020572,17.17,171965,32503
REL_TX_P80_D5_W15,relative,TX-P80-D5,"County-specific 80th-percentile Tmax warm spell, minimum duration five days",TMAX_P80_5D,80.0,5,,w15,relative warm-spell day,31.0,20.0,51.0,4.0,3.0,6.0,17,394.5,254,7.0,9.0,69,49.02,20.99,29.99,Aug,104.959,1020572,17.23,107118,13312
REL_TX_P85_D2_W15,relative,TX-P85-D2,"County-specific 85th-percentile Tmax warm spell, minimum duration two days",TMAX_P85_2D,85.0,2,,w15,relative warm-spell day,51.0,38.0,73.0,15.0,11.0,19.0,37,617.0,254,3.0,4.0,66,37.06,18.63,44.31,Oct,157.759,1020572,16.01,161004,42631
REL_TX_P85_D3_W15,relative,TX-P85-D3,"County-specific 85th-percentile Tmax warm spell, minimum duration three days",TMAX_P85_3D,85.0,3,,w15,relative warm-spell day,38.0,27.0,57.0,8.0,6.0,11.0,24,470.5,254,4.0,6.0,66,41.4,19.58,39.02,Aug,122.296,1020572,16.47,124812,24535
REL_TX_P85_D5_W15,relative,TX-P85-D5,"County-specific 85th-percentile Tmax warm spell, minimum duration five days",TMAX_P85_5D,85.0,5,,w15,relative warm-spell day,20.0,12.0,34.0,3.0,2.0,5.0,16,273.0,254,7.0,9.0,66,50.48,21.2,28.33,Aug,72.767,1020572,16.44,74264,9457
REL_TX_P90_D2_W15,relative,TX-P90-D2,"County-specific 90th-percentile Tmax warm spell, minimum duration two days",TMAX_P90_2D,90.0,2,,w15,relative warm-spell day,33.0,24.0,49.0,10.0,7.0,14.0,29,403.0,254,3.0,4.0,47,37.6,18.95,43.45,Aug,106.175,1020572,15.25,108359,30503
REL_TX_P90_D3_W15,relative,TX-P90-D3,"County-specific 90th-percentile Tmax warm spell, minimum duration three days",TMAX_P90_3D,90.0,3,,w15,relative warm-spell day,23.0,15.0,36.0,5.0,4.0,8.0,21,297.5,254,4.0,5.0,47,42.52,19.96,37.52,Aug,79.127,1020572,15.69,80755,16701
REL_TX_P90_D5_W15,relative,TX-P90-D5,"County-specific 90th-percentile Tmax warm spell, minimum duration five days",TMAX_P90_5D,90.0,5,,w15,relative warm-spell day,12.0,5.0,21.0,2.0,1.0,3.0,12,162.5,254,6.0,8.0,47,51.34,21.0,27.66,Aug,44.162,1020572,15.85,45071,6005
HYB_TX_P80_D2_A80_W15,hybrid,TX-P80-D2+A80,"County-specific 80th-percentile Tmax event with a 80 degF absolute gate, minimum duration two days",TMAX_P80_2D_F80,80.0,2,80.0,w15,hybrid heat-event day,51.0,34.0,77.0,13.0,10.0,17.0,40,598.5,254,3.0,5.0,69,48.49,24.24,27.27,Oct,157.605,1020572,15.9,160847,38323
