construct_id,construct_family,county_fips,county_name,year,annual_event_count,annual_classified_day_count,longest_event_duration_days,first_event_start_date,last_event_end_date,imputed_classified_day_count,valid_daily_observation_count,annual_classification_rate_per_1000,HWN_annual_event_count,HWF_annual_days_in_events,HWD_longest_event_duration_days
ABS_TX_A80_D2,absolute,48001,Anderson,2015,9,176,132,2015-03-28,2015-10-22,0,365,482.192,9,176,132
ABS_TX_A80_D2,absolute,48001,Anderson,2016,15,173,71,2016-03-14,2016-11-17,0,366,472.678,15,173,71
ABS_TX_A80_D2,absolute,48001,Anderson,2017,16,195,77,2017-02-07,2017-11-06,0,365,534.247,16,195,77
ABS_TX_A80_D2,absolute,48001,Anderson,2018,10,168,127,2018-03-16,2018-10-30,0,365,460.274,10,168,127
ABS_TX_A80_D2,absolute,48001,Anderson,2019,7,166,128,2019-04-09,2019-10-21,0,365,454.795,7,166,128
ABS_TX_A80_D2,absolute,48001,Anderson,2020,15,167,98,2020-03-12,2020-11-14,0,366,456.284,15,167,98
ABS_TX_A80_D2,absolute,48001,Anderson,2021,9,164,136,2021-04-11,2021-10-26,0,365,449.315,9,164,136
ABS_TX_A80_D2,absolute,48001,Anderson,2022,8,186,144,2022-03-26,2022-11-09,0,365,509.589,8,186,144
ABS_TX_A80_D2,absolute,48001,Anderson,2023,13,171,115,2023-02-20,2023-10-28,0,365,468.493,13,171,115
ABS_TX_A80_D2,absolute,48001,Anderson,2024,11,195,81,2024-03-04,2024-11-11,0,366,532.787,11,195,81
ABS_TX_A80_D2,absolute,48001,Anderson,2025,15,207,134,2025-02-06,2025-11-20,0,365,567.123,15,207,134
ABS_TX_A80_D2,absolute,48003,Andrews,2015,16,183,112,2015-03-23,2015-11-04,9,365,501.37,16,183,112
ABS_TX_A80_D2,absolute,48003,Andrews,2016,16,183,90,2016-02-19,2016-11-17,2,366,500.0,16,183,90
ABS_TX_A80_D2,absolute,48003,Andrews,2017,22,204,125,2017-02-11,2017-11-19,1,365,558.904,22,204,125
ABS_TX_A80_D2,absolute,48003,Andrews,2018,8,172,132,2018-03-22,2018-10-30,0,365,471.233,8,172,132
ABS_TX_A80_D2,absolute,48003,Andrews,2019,14,171,102,2019-03-28,2019-10-18,36,365,468.493,14,171,102
ABS_TX_A80_D2,absolute,48003,Andrews,2020,13,186,106,2020-03-25,2020-11-09,0,366,508.197,13,186,106
ABS_TX_A80_D2,absolute,48003,Andrews,2021,16,180,46,2021-03-12,2021-12-03,0,365,493.151,16,180,46
ABS_TX_A80_D2,absolute,48003,Andrews,2022,14,178,80,2022-03-25,2022-10-23,0,365,487.671,14,178,80
ABS_TX_A80_D2,absolute,48003,Andrews,2023,14,187,98,2023-03-05,2023-11-08,1,365,512.329,14,187,98
ABS_TX_A80_D2,absolute,48003,Andrews,2024,17,193,66,2024-02-20,2024-11-16,37,366,527.322,17,193,66
ABS_TX_A80_D2,absolute,48003,Andrews,2025,20,203,64,2025-02-05,2025-12-27,3,365,556.164,20,203,64
ABS_TX_A80_D2,absolute,48005,Angelina,2015,12,180,108,2015-03-29,2015-10-23,0,365,493.151,12,180,108
ABS_TX_A80_D2,absolute,48005,Angelina,2016,11,190,138,2016-03-14,2016-11-17,0,366,519.126,11,190,138
ABS_TX_A80_D2,absolute,48005,Angelina,2017,25,200,40,2017-02-07,2017-11-18,0,365,547.945,25,200,40
ABS_TX_A80_D2,absolute,48005,Angelina,2018,12,183,129,2018-03-16,2018-11-07,0,365,501.37,12,183,129
ABS_TX_A80_D2,absolute,48005,Angelina,2019,9,160,80,2019-04-09,2019-10-20,0,365,438.356,9,160,80
ABS_TX_A80_D2,absolute,48005,Angelina,2020,17,194,127,2020-03-11,2020-11-22,0,366,530.055,17,194,127
ABS_TX_A80_D2,absolute,48005,Angelina,2021,20,179,63,2021-02-27,2022-01-01,0,365,490.411,20,179,63
ABS_TX_A80_D2,absolute,48005,Angelina,2022,11,201,145,2022-03-05,2022-12-09,0,365,550.685,11,201,145
ABS_TX_A80_D2,absolute,48005,Angelina,2023,13,194,115,2023-02-20,2023-11-09,0,365,531.507,13,194,115
ABS_TX_A80_D2,absolute,48005,Angelina,2024,16,202,55,2024-02-25,2024-11-11,0,366,551.913,16,202,55
ABS_TX_A80_D2,absolute,48005,Angelina,2025,13,222,149,2025-02-04,2025-11-21,0,365,608.219,13,222,149
ABS_TX_A80_D2,absolute,48007,Aransas,2015,8,197,163,2015-04-06,2015-12-26,0,365,539.726,8,197,163
ABS_TX_A80_D2,absolute,48007,Aransas,2016,9,204,154,2016-04-13,2016-11-29,0,366,557.377,9,204,154
ABS_TX_A80_D2,absolute,48007,Aransas,2017,18,228,120,2017-01-02,2017-12-05,0,365,624.658,18,228,120
ABS_TX_A80_D2,absolute,48007,Aransas,2018,10,189,153,2018-03-10,2018-11-08,0,365,517.808,10,189,153
ABS_TX_A80_D2,absolute,48007,Aransas,2019,11,196,151,2019-04-06,2019-12-06,0,365,536.986,11,196,151
ABS_TX_A80_D2,absolute,48007,Aransas,2020,15,226,112,2020-02-24,2020-11-27,6,366,617.486,15,226,112
ABS_TX_A80_D2,absolute,48007,Aransas,2021,17,211,85,2021-03-30,2022-01-01,0,365,578.082,17,211,85
