county_fips,relative_construct,hybrid_construct,label,percentile,duration_days,absolute_gate_f,cumulative_classified_days_no_gate,cumulative_classified_days_with_gate,cumulative_events_no_gate,classified_days_lost,pct_retained,county_name,pct_analysis_days_imputed,fully_imputed_county,analysis_days,native_analysis_days
48001,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,859,602,204,257,70.08,Anderson,0.0,False,4018,4018
48003,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,729,567,214,162,77.78,Andrews,3.2,False,4018,3889
48005,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,980,741,235,239,75.61,Angelina,0.0,False,4018,4018
48007,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1477,1158,292,319,78.4,Aransas,0.2,False,4018,4010
48009,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,692,480,181,212,69.36,Archer,89.4,False,4018,426
48011,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1014,675,258,339,66.57,Armstrong,100.0,True,4018,0
48013,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,953,858,200,95,90.03,Atascosa,0.0,False,4018,4016
48015,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,745,596,170,149,80.0,Austin,23.9,False,4018,3058
48017,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,742,474,209,268,63.88,Bailey,0.0,False,4018,4018
48019,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,934,787,209,147,84.26,Bandera,16.4,False,4018,3358
48021,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,890,706,203,184,79.33,Bastrop,0.3,False,4018,4006
48023,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,790,557,193,233,70.51,Baylor,0.0,False,4018,4018
48025,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,869,803,206,66,92.41,Bee,4.0,False,4018,3859
48027,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,884,684,209,200,77.38,Bell,0.1,False,4018,4012
