sample,state,variable,county_fips,county_name,period,county_period_value_f,annual_observations_used,first_year_used,last_year_used,mean_contributing_stations,county_period_statistic
consistent_county,AL,Tavg,01003,Baldwin,1980-1989,66.575,10,1980,1989,2.952,mean
consistent_county,AL,Tavg,01003,Baldwin,1990-1999,66.763,10,1990,1999,2.925,mean
consistent_county,AL,Tavg,01003,Baldwin,2000-2009,67.594,10,2000,2009,3.956,mean
consistent_county,AL,Tavg,01003,Baldwin,2010-2019,67.841,10,2010,2019,4.923,mean
consistent_county,AL,Tavg,01003,Baldwin,2020-2025,68.817,6,2020,2025,3.947,mean
consistent_county,AL,Tavg,01005,Barbour,1980-1989,64.223,10,1980,1989,1.852,mean
consistent_county,AL,Tavg,01005,Barbour,1990-1999,64.272,10,1990,1999,1.94,mean
consistent_county,AL,Tavg,01005,Barbour,2000-2009,64.59,10,2000,2009,1.728,mean
consistent_county,AL,Tavg,01005,Barbour,2010-2019,66.71,10,2010,2019,2.607,mean
consistent_county,AL,Tavg,01005,Barbour,2020-2025,66.804,6,2020,2025,1.813,mean
consistent_county,AL,Tavg,01007,Bibb,1980-1989,62.855,10,1980,1989,1.0,mean
consistent_county,AL,Tavg,01007,Bibb,1990-1999,62.978,9,1990,1999,1.103,mean
consistent_county,AL,Tavg,01007,Bibb,2000-2009,63.266,10,2000,2009,1.896,mean
consistent_county,AL,Tavg,01007,Bibb,2010-2019,64.367,10,2010,2019,1.359,mean
consistent_county,AL,Tavg,01007,Bibb,2020-2025,65.858,6,2020,2025,1.0,mean
consistent_county,AL,Tavg,01015,Calhoun,1980-1989,62.133,10,1980,1989,1.0,mean
consistent_county,AL,Tavg,01015,Calhoun,1990-1999,62.91,10,1990,1999,1.0,mean
consistent_county,AL,Tavg,01015,Calhoun,2000-2009,62.86,10,2000,2009,1.0,mean
consistent_county,AL,Tavg,01015,Calhoun,2010-2019,63.58,10,2010,2019,1.0,mean
consistent_county,AL,Tavg,01015,Calhoun,2020-2025,63.906,6,2020,2025,1.0,mean
consistent_county,AL,Tavg,01021,Chilton,1980-1989,62.283,8,1980,1987,1.798,mean
consistent_county,AL,Tavg,01021,Chilton,1990-1999,62.522,10,1990,1999,1.944,mean
consistent_county,AL,Tavg,01021,Chilton,2000-2009,62.864,10,2000,2009,2.566,mean
